Year,Cars and taxis,Motorcycles,Buses & coaches,Light vans,Goods vehicles,All motor vehicles,Pedal cycles
1949,20.3,3.1,4.1,6.5,12.5,46.5,23.6
1950,25.6,4.4,4.1,7.8,11.2,53.1,19.9
1951,29.3,5.6,4.2,8.2,11.7,58.9,20.8
1952,30.6,6.0,4.2,8.7,11.3,60.8,22.9
1953,33.4,6.7,4.2,9.1,11.5,64.9,20.8
1954,37.2,6.9,4.2,9.3,12.2,69.7,18.8
1955,42.3,7.5,4.2,9.8,13.2,77.0,18.2
1956,46.2,7.4,4.2,10.0,13.0,80.8,16.2
1957,45.2,8.3,4.0,10.3,12.5,80.3,16.1
1958,55.4,8.4,3.9,11.9,13.5,93.0,14.1
1959,62.2,9.8,4.0,13.7,14.6,104.2,13.6
1960,68.0,10.0,3.9,15.0,15.3,112.3,12.0
1961,76.9,9.7,4.0,16.4,15.5,122.4,10.9
1962,83.7,8.7,4.0,16.6,15.4,128.3,9.3
1963,91.4,7.6,4.0,17.6,15.7,136.3,8.2
1964,105.7,7.5,4.0,17.7,17.4,152.3,8.0
1965,115.8,6.7,3.9,19.0,17.3,162.7,7.0
1966,126.5,6.0,3.9,19.0,17.5,172.9,6.3
1967,135.1,5.2,3.8,18.7,17.2,180.0,5.6
1968,142.7,4.7,3.8,18.9,17.6,187.7,5.0
1969,147.9,4.2,3.8,19.3,17.4,192.5,4.6
1970,155.0,4.0,3.6,20.3,17.6,200.5,4.4
1971,165.1,3.9,3.6,21.3,18.1,212.0,4.3
1972,174.7,3.7,3.6,22.2,18.4,222.5,3.9
1973,184.0,3.9,3.5,23.3,19.3,234.0,3.7
1974,180.0,4.2,3.3,23.6,18.6,229.7,3.8
1975,181.6,5.1,3.2,23.5,18.3,231.7,4.4
1976,190.4,6.3,3.3,24.2,19.2,243.5,5.0
1977,194.1,6.2,3.2,24.5,18.8,246.8,6.1
1978,202.4,6.1,3.3,25.2,19.5,256.5,5.1
1979,201.5,6.4,3.3,25.1,19.6,255.9,4.6
1980,215.0,7.7,3.5,26.1,19.7,271.9,5.1
1981,219.5,8.9,3.5,26.2,18.9,276.9,5.4
1982,227.3,9.2,3.5,26.0,18.4,284.5,6.4
1983,231.2,8.3,3.7,26.1,18.8,288.1,6.4
1984,244.0,8.1,3.9,27.5,19.6,303.1,6.4
1985,250.5,7.4,3.7,28.6,19.6,309.7,6.1
1986,264.4,7.1,3.7,30.0,20.1,325.3,5.5
1987,284.6,6.7,4.1,32.7,22.3,350.5,5.7
1988,305.4,6.0,4.3,36.2,23.8,375.7,5.2
1989,331.3,5.9,4.5,39.7,25.5,406.9,5.2
1990,335.9,5.6,4.6,39.9,24.9,410.8,5.3
1991,335.2,5.4,4.8,41.7,24.5,411.6,5.2
1992,338.0,4.5,4.6,41.2,23.8,412.1,4.7
1993,338.1,3.8,4.6,41.6,24.3,412.3,4.0
1994,345.0,3.8,4.6,43.3,24.8,421.5,4.0
1995,351.1,3.7,4.9,44.5,25.4,429.7,4.1
1996,359.9,3.8,5.0,46.2,26.2,441.1,4.1
1997,365.8,4.0,5.2,48.6,26.9,450.3,4.1
1998,370.6,4.1,5.2,50.8,27.7,458.5,4.0
1999,377.4,4.5,5.3,51.6,28.1,467.0,4.1
2000,376.0,4.6,5.1,52.2,28.2,466.2,4.1
2001,381.2,4.8,5.1,53.4,28.0,472.6,4.2
2002,390.6,5.0,5.2,54.7,28.3,483.7,4.4
2003,390.0,5.6,5.3,57.4,28.4,486.7,4.4
2004,394.2,5.1,5.1,60.2,29.3,493.9,4.1
2005,392.7,5.3,5.1,61.8,28.9,493.9,4.3
2006 ,397.4,5.1,5.3,64.3,29.0,501.1,4.5
2007,397.9,5.5,5.4,67.4,29.3,505.4,4.1
2008,395.0,5.0,5.0,66.9,28.6,500.6,4.6
2009,394.0,5.1,5.0,65.5,26.2,495.8,4.8
2010,385.9,4.6,5.0,66.1,26.3,487.9,4.8
2011,387.4,4.6,4.7,66.6,25.6,488.9,4.9
