Department for Transport statistics,,,,,,,,,,,,,,,,,
Energy and environment,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Table ENV0102  (TSGB0302) ,,,,,,,,,,,,,,,,,
"Energy consumption by transport mode and source of energy: United Kingdom, 2000-20111,2 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Million tonnes of oil equivalent/percentage,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,
(a) Transport energy consumption,,,,,,,,,,,,,,"Percent of all 
energy consumed 
by final users in 2011",,,
Road transport,Petroleum3,41.1,41.1,41.9,41.8,42.2,42.5,42.5,42.9,41.1,39.6,39.2,38.6,27,,,
,Biofuels,..,..,-,-,-,0.1,0.2,0.4,0.8,1.0,1.2,1.1,1,,,
,Electricity,..,..,..,..,-,-,-,-,-,-,-,-,-,,,
,Total,41.1,41.1,41.9,41.8,42.2,42.6,42.7,43.2,41.9,40.7,40.4,39.8,28,,,
Railways,Petroleum,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,-,,,
,Electricity,..,..,..,..,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,-,,,
,Coal,..,..,..,..,-,-,-,-,-,-,-,-,-,,,
,Total,..,..,..,..,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,
Shipping4,Petroleum,3.2,3.3,2.7,3.1,3.4,3.5,4.3,4.1,4.5,4.2,3.7,4.0,3
Aviation4,Petroleum,12.0,11.8,11.7,11.9,12.9,13.9,14.0,13.9,13.5,12.8,12.3,12.8,9
"Total transport energy consumption3,4",,..,..,..,..,59.6,61.0,62.0,62.3,60.9,58.7,57.4,57.6,41
All energy used by final users1,,..,..,..,..,162.2,161.8,159.5,156.7,156.5,146.0,151.8,140.8,100
"Energy used by transport 
as a percentage of all 
energy used by final users1",,..,..,..,..,37,38,39,40,39,40,38,41,.
(b) Transport energy consumption from renewable sources,,,,,,,,,,,,,,"Percent of all 
transport energy 
consumption in 2011"
% electricity generated from renewable sources,,..,..,..,..,3,4,4,5,5,7,7,9,
Transport renewable electricity ,,..,..,..,..,-,-,-,-,-,0.1,0.1,0.1,0.1
Road transport biofuels,,..,..,-,-,-,0.1,0.2,0.4,0.8,1.0,1.2,1.1,2.0
Total renewable transport energy consumption,,..,..,..,..,-,0.1,0.2,0.4,0.9,1.1,1.3,1.2,2.1
Total transport energy consumption3,,..,..,..,..,59.6,61.0,62.0,62.3,60.9,58.7,57.4,57.6,100.0
"Renewable energy as a 
percentage of all transport 
energy consumption",,..,..,..,..,0.1,0.1,0.3,0.9,2.1,2.6,3.0,2.9,.
,,,,,,,,,,,,,,
1. This is the energy content of both primary and secondary fuel supplied to final users. Thus it is net of the fuel ,,,,,,,,,,,,,,Sources - Department for Energy 
"    industry's own use and conversion, transmission and distribution losses. The energy necessary to evaporate the ",,,,,,,,,,,,,,and Climate Change (DECC);
    water present in the fuel or formed during the combustion process is also excluded. The non-energy use of fuels is ,,,,,,,,,,,,,,Digest of United Kingdom Energy Statistics;
    excluded. ,,,,,,,,,,,,,,National Atmospheric 
"2. There are revisions to some of the earlier data, for details see Digest of UK Energy Statistics 2012 (DUKES) ",,,,,,,,,,,,,, Emissions Inventory (NAEI)
    published by DECC.,,,,,,,,,,,,,,
3. The 'road transport - petroleum' and 'transport total' energy consumption figures differ slightly from those in ENV0101  ,,,,,,,,,,,,,,
    since they include a small amount of petroleum consumption from off-road machinery and equipment.,,,,,,,,,,,,,,Last updated: September 2012
4. These figures include international and military aviation/shipping and thus marine bunkers.,,,,,,,,,,,,,,Next updated: September 2013
,,,,,,,,,,,,,,
E-mail: environment.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,
Telephone: 020 7944 4129,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
