Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RAI0403 (alternative number TSGB0424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Railways freight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of freight train movements, impacts on road haulage and Freight Performance Measure: 2005/06-2011/12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005/06,2006/07,2007/08,2008/09R,2009/10R,2010/11R,2011/12,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a) Number of freight train movements1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
Total number of freight trains movements,455.6,364.9,332.2,316.7,278.5,265.6,273.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Impacts on road haulage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Billions,,,,,,,,,,,,,,,,,,,,,,,,,
Road vehicle kilometres equivalent3,1.2,1.4,1.4,1.4,1.4,1.4,..5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Millions,,,,,,,,,,,,,,,,,,,,,,,,,
Road vehicle journeys equivalent4,6.7,6.6,6.7,8.2,6.5,5.9,..5
,,,,,,,
"(c) Freight Performance Measure (FPM)1,6",,,,,,,
,,,,,,,Percentage
FPM,65.4,66.8,68.7,71.1,74.6,73.9,75.8
,,,,,,,
1 Figures have been sourced from Network Rail.,,,,,,,
2 Measures the total number of train movements (including infrastructure trains) on the network.,,,,,,,
"3 The equivalent distance that road vehicles would need to have travelled to move the amounts of freight carried on rail, which is affected more by volume than",,,,,,,
   by weight.,,,,,,,
4 The equivalent number of road vehicle trips necessary to move this freight.,,,,,,,
5 Data for 2011/12 will not be published until July 2013.,,,,,,,
6 Percentage of trains arriving on time at their final destination. A train is considered 'on time' if it arrives within 10 minutes of its scheduled arrival time.,,,,,,,
,,,,,,,
"R Revisions have been made to the 2009/10 and 2010/11 number of freight train movements, 2008/09 and 2009/10 road vehicle journeys equivalent and 2010/11 FPM.",,,,,,,
,,,,,,,
Telephone: 020 7944 2419,,,,,,,Sources: Office of Rail Regulation (ORR); Network Rail
E-mail: rail.stats@dft.gsi.gov.uk,,,,,,,
Notes and definitions,,,,,,,
,,,,,,,Last updated: December 2012
The figures in this table are outside the scope of National Statistics,,,,,,,Next update: December 2013
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,






























