Department for Transport statistics ,,,,
Road Freight Statistics,,,,
,,,,
Table RFS0101,,,,
Goods moved1 and goods lifted2: annual 1990-2010 and quarterly 2004-2011; by GB HGVs in the UK,,,,
,,,,
,,,,Index (2004=100)
,"Goods Moved
Tonne kms (billion)","Goods lifted
Tonnes (million)",Goods Moved,Goods lifted
Year,,,,
1990,131,"1,645",86,94
1991,125,"1,505",82,86
1992,121,"1,463",80,84
1993,129,"1,523",85,87
1994,138,"1,597",91,92
1995 ,144,"1,609",94,92
1996 ,147,"1,628",97,93
1997 ,150,"1,643",98,94
1998 ,152,"1,630",100,93
1999 ,149,"1,567",98,90
2000 ,150,"1,593",99,91
2001 ,149,"1,581",98,91
2002 ,150,"1,627",98,93
2003 ,152,"1,643",100,94
2004 ,152,"1,744",100,100
2005 ,153,"1,746",100,100
2006 ,152,"1,776",100,102
2007 ,157,"1,822",103,105
2008 ,146,"1,668",96,96
2009 ,125,"1,356",82,78
2010 ,139,"1,489",91,85
2011 ,.,.,.,.
Percentage change between,,,,
2000 - 2010,-8,-7,-8,-7
2009 - 2010,11,10,11,10
,,,,Index (Q1 2004=100)
2004 Q1,38,426,100,100
2004 Q2,39,455,102,107
2004 Q3,38,434,100,102
2004 Q4,38,429,100,101
2005 Q1,37,412,98,97
2005 Q2,40,461,105,108
2005 Q3,39,442,103,104
2005 Q4,37,431,97,101
2006 Q1,37,431,98,101
2006 Q2,38,431,100,101
2006 Q3,39,472,103,111
2006 Q4,39,442,102,104
2007 Q1,38,430,101,101
2007 Q2,40,456,106,107
2007 Q3,39,467,102,110
2007 Q4,40,469,106,110
2008 Q1,38,448,101,105
2008 Q2,37,413,99,97
2008 Q3,36,415,95,98
2008 Q4,34,391,90,92
2009 Q1,31,340,83,80
2009 Q2,32,334,84,78
2009 Q3,32,356,85,84
2009 Q4,30,326,80,77
2010 Q1,35,355,91,83
2010 Q2,34,386,90,91
2010 Q3,37,393,98,92
2010 Q4,33,355,88,83
2011 Q1 p,36,408,96,96
Percentage change between,,,,
Q1 2010 - Q1 2011,5,15,5,15
,,,,
1. Weight of goods multiplied by distance travelled,,,,
2. Weight of goods,,,,
p Provisional,,,,
,,,,
Telephone: 020 7944 4261,,,,"Source: Continuing Survey of Road Goods Transport, DfT"
Email: roadfreight.stats@dft.gsi.gov.uk,,,,Last updated: November 2012
,,,,Next update: November 2013

The figures in this table are National Statistics,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
