Department for Transport statistics ,,,,,,,,
Road Freight Statistics,,,,,,,,
,,,,,,,,
Table RFS0103,,,,,,,,
Goods lifted1 by commodity grouping: annual 1990-2004 and quarterly 2004-2011; by GB HGVs in the UK,,,,,,,,
,,,,,,,,
,,,,,Million tonnes,,,
Year,"Food, drink & tobacco",Bulk products,"Chemicals, petrol & fertiliser",Miscellaneous products,All Commodities,,,
1990,299,697,141,508,"1,645",,,
1991,291,610,131,473,"1,505",,,
1992,290,616,118,440,"1,463",,,
1993,300,616,126,479,"1,523",,,
1994,302,658,129,509,"1,597",,,
1995 ,308,626,132,542,"1,609",,,
1996 ,326,609,139,555,"1,628",,,
1997 ,342,645,136,520,"1,643",,,
1998 ,346,633,123,529,"1,630",,,
1999 ,333,600,119,515,"1,567",,,
2000 ,346,604,134,510,"1,593",,,
2001 ,321,592,133,534,"1,581",,,
2002 ,339,622,111,554,"1,627",,,
2003 ,333,627,123,559,"1,643",,,
2004 ,351,694,121,577,"1,744",,,
2005 ,339,681,138,588,"1,746",,,
2006 ,353,675,122,626,"1,776",,,
2007 ,364,693,125,640,"1,822",,,
2008 ,355,598,140,574,"1,668",,,
2009 ,352,425,114,466,"1,356",,,
2010 ,382,482,132,492,"1,489",,,
2011 ,.,.,.,.,.,,,
,,,,,,,,
Percentage change between,,,,,,,,
1990 - 2010,28,-31,-7,-3,-10
2000 - 2010,10,-20,-2,-4,-7
2009 - 2010,9,14,16,6,10
2004 Q1,88,162,30,146,426
2004 Q2,92,190,31,141,455
2004 Q3,88,168,30,149,434
2004 Q4,83,175,30,141,429
2005 Q1,81,148,37,146,412
2005 Q2,84,204,32,141,461
2005 Q3,91,168,28,155,442
2005 Q4,84,161,41,145,431
2006 Q1,85,153,35,157,431
2006 Q2,74,174,33,150,431
2006 Q3,94,181,30,167,472
2006 Q4,99,167,23,152,442
2007 Q1,93,155,27,155,430
2007 Q2,85,181,29,162,456
2007 Q3,93,187,30,157,467
2007 Q4,93,171,39,167,469
2008 Q1,84,164,42,158,448
2008 Q2,82,161,32,137,413
2008 Q3,89,142,37,147,415
2008 Q4,100,130,30,132,391
2009 Q1,89,110,34,107,340
2009 Q2,84,107,22,121,334
2009 Q3,87,108,32,130,356
2009 Q4,92,99,27,108,326
2010 Q1,97,109,25,124,355
2010 Q2,84,134,38,129,386
2010 Q3,103,125,36,129,393
2010 Q4,97,115,34,110,355
2011 Q1 p,97,123,41,148,408
Percentage change between,,,,,
Q1 2010 - Q1 2011,-1,13,67,19,15
,,,,,
1. Weight of goods transported,,,,,
p Provisional,,,,,
,,,,,
Telephone: 020 7944 4261,,,,,"Source: Continuing Survey of Road Goods Transport, DfT"
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,Last updated: November 2012
,,,,,Next update: November 2013
,,,,,
The figures in this table are National Statistics,,,,,
