Department for Transport statistics ,,,,,,,,,
Road Freight Statistics,,,,,,,,,
,,,,,,,,,
Table RFS0104,,,,,,,,,
Goods moved1 by commodity: annual 1990-2010 and quarterly 2004-2011; by GB HGVs in the UK,,,,,,,,,
,,,,,,,,,
,,,,,Billion tonne kilometres,,,,
Year,"Food, drink & tobacco",Bulk products,"Chemicals, petrol & fertiliser",Miscellaneous products,All Commodities,,,,
1990,33,41,15,43,131,,,,
1991,33,38,14,40,125,,,,
1992,33,37,13,39,121,,,,
1993,36,38,14,41,129,,,,
1994,37,40,15,47,138,,,,
1995 ,38,41,15,50,144,,,,
1996 ,39,40,15,52,147,,,,
1997 ,41,43,15,51,150,,,,
1998 ,42,41,14,54,152,,,,
1999 ,41,40,14,54,149,,,,
2000 ,44,39,14,53,150,,,,
2001 ,41,40,14,54,149,,,,
2002 ,43,39,13,55,150,,,,
2003 ,42,40,14,56,152,,,,
2004 ,42,42,13,56,152,,,,
2005 ,41,41,14,57,153,,,,
2006 ,41,40,12,58,152,,,,
2007 ,44,42,13,59,157,,,,
2008 ,42,36,13,54,146,,,,
2009 ,41,29,11,44,125,,,,
2010 ,44,33,13,49,139,,,,
2011 ,.,.,.,.,.,,,,
,,,,,,,,,
Percentage change between,,,,,,,,,
1990 - 2010,34,-19,-13,16,6
2000 - 2010,-1,-16,-13,-7,-8
2009 - 2010,7,13,13,13,11
2004 Q1,11,10,3,14,38
2004 Q2,10,11,3,14,39
2004 Q3,10,10,3,14,38
2004 Q4,11,10,3,14,38
2005 Q1,10,9,4,15,37
2005 Q2,11,12,4,13,40
2005 Q3,11,11,3,15,39
2005 Q4,10,9,4,14,37
2006 Q1,10,10,4,14,37
2006 Q2,10,11,3,14,38
2006 Q3,10,11,3,15,39
2006 Q4,12,10,3,15,39
2007 Q1,11,10,3,14,38
2007 Q2,11,11,3,15,40,
2007 Q3,11,11,3,14,39,
2007 Q4,11,10,4,15,40,
2008 Q1,10,10,4,14,38,
2008 Q2,10,10,3,13,37,
2008 Q3,10,8,3,14,36,
2008 Q4,11,8,3,12,34,
2009 Q1,11,8,3,10,31,
2009 Q2,10,8,2,12,32,
2009 Q3,10,7,3,12,32,
2009 Q4,11,6,3,11,30,
2010 Q1,12,7,3,13,35,
2010 Q2,9,9,3,13,34,
2010 Q3,12,9,3,13,37,
2010 Q4,11,8,3,12,33,
2011 Q1 p,10,8,4,14,36,
Percentage change between,,,,,
Q1 2010 - Q1 2011,-15,9,57,12,5
,,,,,
1. Weight of goods multiplied by distance travelled,,,,,
p Provisional,,,,,
,,,,,
Telephone: 020 7944 4261,,,,,"Source: Continuing Survey of Road Goods Transport, DfT"
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,Last updated: November 2012
,,,,,Next update: November 2013
,,,,,
The figures in this table are National Statistics,,,,,
