Department for Transport statistics ,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,
,,,,,,,,,,
Table RFS0107,,,,,,,,,,
Goods moved1 by type and weight of vehicle: annual 1990-2010 and quarterly 2004-2011; by GB HGVs in the UK,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Billion tonne kilometres
,Rigid vehicles,,,,,,Articulated vehicles,,,
Year,Over 3.5t to 7.5t,Over 7.5t to 17t,Over 17t to 25t,Over 25t,All Rigids,,Over 3.5t to 33t,Over 33t,All artics,All vehicles
1990,5,16,7,12,41,,22,68,90,131
1991,5,16,7,11,39,,19,68,86,125
1992,4,15,7,11,36,,17,68,85,121
1993,4,15,7,11,37,,17,76,92,129
1994,5,15,6,12,38,,17,83,99,138
1995 ,4,14,6,13,38,,16,90,106,144
1996 ,5,15,5,14,38,,16,93,109,147
1997 ,5,14,5,14,38,,14,97,111,150
1998 ,5,13,4,15,37,,14,101,115,152
1999 ,5,13,4,15,37,,14,98,112,149
2000 ,5,11,5,15,36,,14,100,114,150
2001 ,5,9,6,16,34,,13,102,115,149
2002 ,5,7,6,17,36,,10,104,114,150
2003 ,4,6,7,18,35,,9,108,116,152
2004 ,4,5,7,19,36,,7,109,116,152
2005 ,4,4,8,21,37,,6,110,116,153
2006 ,4,3,8,20,36,,6,111,117,152
2007 ,3,3,9,22,37,,6,115,120,157
2008 ,3,2,8,20,33,,5,108,113,146
2009 ,3,2,7,17,30,,5,91,96,125
2010 ,3,2,7,18,31,,4,104,108,139
2011 ,.,.,.,.,.,,.,.,.,.
Percentage change between,,,,,,,,,,
1990 - 2010,-38,-86,2,53,-24,,-82,53,20,6
2000 - 2010,-39,-78,48,19,-14,,-72,4,-6,-8
2009 - 2010,-1,4,-2,9,5,,-14,14,13,11
2004 Q1,1,1,2,4,9,,2,27,29,38
2004 Q2,1,1,2,5,9,,2,28,30,39
2004 Q3,1,1,2,5,10,,2,27,28,38
2004 Q4,1,1,2,5,9,,2,27,29,38
2005 Q1,1,1,2,5,9,,2,27,28,37
2005 Q2,1,1,2,6,10,,2,28,30,40
2005 Q3,1,1,2,6,9,,1,28,30,39
2005 Q4,1,1,2,5,8,,1,27,28,37
2006 Q1,1,1,2,5,9,,1,27,28,37
2006 Q2,1,1,2,5,9,,2,27,29,38
2006 Q3,1,1,2,5,9,,2,28,30,39
2006 Q4,1,1,3,5,9,,2,28,29,39
2007 Q1,1,1,3,6,10,,1,27,29,38
2007 Q2,1,1,2,5,9,,1,29,31,40
2007 Q3,1,1,2,6,9,,1,28,30,39
2007 Q4,1,1,2,5,9,,1,30,31,40
2008 Q1,1,1,2,5,9,,1,28,30,38
2008 Q2,1,1,2,5,9,,1,28,29,37
2008 Q3,1,0,2,5,8,,1,26,28,36
2008 Q4,1,0,2,4,7,,1,26,27,34
2009 Q1,1,1,2,4,7,,1,23,24,31
2009 Q2,1,1,2,5,8,,1,23,24,32
2009 Q3,1,1,2,4,8,,1,23,25,32
2009 Q4,1,0,2,4,7,,1,22,23,30
2010 Q1,1,1,2,5,8,,1,26,27,35
2010 Q2,1,1,2,5,8,,1,25,26,34
2010 Q3,1,1,2,4,8,,1,28,29,37
2010 Q4,1,1,2,5,8,,1,25,26,33
2011 Q1 p,1,1,1,6,9,,1,26,27,36
Percentage change between,,,,,,,,,,
Q1 2010 - Q1 2011,10,27,-20,30,16,,4,2,2,5
,,,,,,,,,,
1. Weight of goods multiplied by distance transported,,,,,,,,,,
p Provisional,,,,,,,,,,
,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,"Source: Continuing Survey of Road Goods Transport, DfT"
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,Last updated: November 2012
,,,,,,,,,,Next update: November 2013
,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,



,,,,,,,,,,
,,,,,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
