Department for Transport statistics ,,,,,,,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Table RFS0203,,,,,,,,,,,,,,,,
"International road haulage by UK-registered vehicles: goods lifted2 by country of loading, 2000-2010",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Thousand tonnes unloaded in the UK,,,,,
,Goods unloaded in the UK1,,,,,,,,,,,,,,,
Country of loading,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,,
Austria, 35 , 18 , 17 , 24 , * , 28 , * , * , * , * , * ,,,,,
Belgium," 1,154 "," 1,139 "," 1,051 "," 1,280 "," 1,184 "," 1,405 "," 1,339 "," 1,234 "," 1,410 "," 1,418 "," 1,658 ",,,,,
Denmark, 22 , 34 , 20 , 15 , * , * , * , * , * , * , * ,,,,,
Finland, * , * , 1 , * , * , * , * , * , * , * , * ,,,,,
France," 2,233 "," 2,458 "," 2,498 "," 2,348 "," 1,990 "," 2,125 "," 2,026 "," 2,336 "," 2,181 "," 1,613 "," 1,929 ",,,,,
Germany," 1,461 "," 1,267 "," 1,193 "," 1,118 ", 877 , 655 , 682 , 582 , 524 , 488 , 509 ,,,,,
Greece, 13 , 9 , 24 , 6 , * , * , * , * , * , * , * ,,,,,
Ireland, 53 , 92 , 93 , 80 , 266 , 263 , 234 , 266 , 218 , 181 , 169 ,,,,,
Italy," 1,042 ", 913 , 793 , 771 , 550 , 370 , 344 , 280 , 269 , 264 , 252 ,,,,,
Luxembourg, 57 , 38 , 52 , 37 , 108 , 117 , 52 , 47 , 39 , 36 , 71 ,,,,,
Netherlands, 809 , 789 , 773 , 789 , 777 , 718 , 784 , 626 , 792 , 848 , 801 ,,,,,
Portugal, 45 , 20 , 17 , 29 , 21 , 9 , * , * , * , * , 12 ,,,,,
Spain, 517 , 424 , 379 , 431 , 409 , 342 , 467 , 410 , 319 , 257 , 174 ,,,,,
Sweden, 14 , 6 , 3 , 4 , * , * , * , * , * , * , * ,,,,,
EU15 (excl UK)," 7,455 "," 7,208 "," 6,914 "," 6,933 "," 6,201 "," 6,048 "," 5,962 "," 5,819 "," 5,764 "," 5,122 "," 5,591 ",,,,,
Norway, * , 1 , * , * , * , * , * , * , * , * , * ,,,,,
Switzerland, 118 , 104 , 187 , 164 , 111 , 44 , 56 , 69 , 48 , 44 , 38 ,,,,,
Other Countries, 91 , 91 , 57 , 49 , 44 , 25 , 23 , 13 , * , 15 , 12 ,,,,,
Total," 7,665 "," 7,405 "," 7,159 "," 7,147 "," 6,356 "," 6,117 "," 6,044 "," 5,901 "," 5,829 "," 5,181 "," 5,641 ",,,,,
,,,,,,,,,,,,,,,,
"1. Excludes vehicles travelling between Northern Ireland and the Republic of Ireland only, i.e. where the whole journey is confined to the island of Ireland.",,,,,,,,,,,,,,,,
2. Weight of goods transported,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
An asterisk '*' means the sample size was too small for a reliable estimate.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,,Source: International Road Haulage Survey and,,,
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,,"Continuing Survey of Road Goods Transport Northern Ireland, DfT",,,
Notes & definitions,,,,,,,,,,,Last updated: October 2011,,,
,,,,,,,,,,,Next update: October 2012,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,





,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
