Department for Transport statistics ,,,,,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table RFS0207,,,,,,,,,,,,,,
"International road haulage by UK-registered vehicles: goods moved2 by commodity group, 2004-2010",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Million tonne kilometres
,Outward from the UK,,,,,,,Inward to the UK,,,,,,
,2004,2005,2006,2007,2008,2009,2010,2004,2005,2006,2007,2008,2009,2010
Agricultural products,299,198,242,118,163,102,115,501,377,599,438,392,446,306
Foodstuffs,824,585,876,886,882,758,923,"1,018","1,025","1,064","1,110","1,227","1,158","1,247"
Solid fuels,*,*,*,*,*,*,28,*,*,*,*,*,*,*
Petroleum products,*,*,*,*,*,*,38,32,*,*,17,25,21,31
Metal ore & waste,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Metal products,209,151,120,134,128,96,93,124,75,96,49,45,84,67
Building materials,91,62,71,64,55,51,56,102,67,64,169,210,137,103
Fertilisers,*,*,*,*,*,*,*,*,*,*,*,*,*,18
Chemicals,612,533,537,435,363,414,446,305,237,253,252,236,220,270
Miscellaneous,164,218,179,233,265,198,205,381,321,368,292,233,151,169
Machinery & engines,706,694,719,715,590,534,432,707,624,530,579,496,444,431
Leather & textiles,543,463,395,433,407,310,386,480,490,335,330,236,192,221
Groupage,"1,235","1,037","1,050","1,069",892,690,732,"1,377","1,109","1,200",991,837,662,821
Total,"4,709","3,992","4,212","4,129","3,791","3,180","3,471","5,062","4,401","4,568","4,260","3,974","3,545","3,703"
,,,,,,,,,,,,,,
"1. Excludes vehicles travelling between Northern Ireland and the Republic of Ireland only, i.e. where the whole journey is confined to the island of Ireland.",,,,,,,,,,,,,,
2. Weight of goods multiplied by distance transported,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
An asterisk '*' means the sample size was too small for a reliable estimate.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,,,,,Source: International Road Haulage Survey and
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,"Continuing Survey of Road Goods Transport Northern Ireland, DfT"
Notes & definitions,,,,,,,,,,,,,,Last updated: October 2011
,,,,,,,,,,,,,,Next update: October 2012
The figures in this table are National Statistics,,,,,,,,,,,,,,




,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
