Department for Transport statistics ,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,
,,,,,,,,,,
Table RFS0209,,,,,,,,,,
"Goods lifted1 to the UK by foreign-registered HGVs, by vehicle registration country: 2002-2011",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Thousand tonnes unloaded in the UK
,Goods unloaded in UK but loaded elsewhere2,,,,,,,,,
Country of vehicle registration,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU-27,,,,,,,,,,
Belgium ,"1,809","1,634","1,588","1,341","1,270","1,292",973,755,790,592
Bulgaria ,..,..,..,..,46,27,100,263,105,209
Czech Republic ,613,681,635,678,794,819,799,720,768,831
Denmark ,157,113,189,167,168,106,103,65,20,16
Germany,"1,716","2,136","2,172","2,368","2,224","2,531","2,381","1,841","1,619","1,585"
Estonia ,..,13,..,31,43,47,88,73,106,112
Ireland ,"2,852","4,398","4,069","3,490","3,486","4,058","3,644","2,652","2,614","2,805"
Greece ,..,70,71,76,200,113,63,79,26,23
Spain ,"1,883","1,627","1,978","2,056","2,384","2,264","2,160","1,568","1,467","1,421"
France ,"3,603","3,244","3,652","3,285","3,414","3,404","3,213","1,634","1,427","1,443"
Italy ,995,"1,000","1,393","1,394",765,663,580,398,589,201
Cyprus ,2,1,1,1,2,1,1,1,1,0
Latvia ,6,14,21,26,50,46,98,66,78,78
Lithuania ,..,92,135,299,481,515,482,411,527,663
Luxembourg ,151,229,214,219,198,153,160,122,114,132
Hungary ,158,187,259,428,549,876,948,918,650,699
Netherlands ,"2,390","1,897","3,267","3,198","2,943","2,856","2,715","2,143","2,222","1,948"
Austria ,432,536,614,550,465,420,280,126,132,94
Poland ,..,..,983,"1,427","2,365","2,628","3,258","3,592","4,329","3,600"
Portugal ,196,249,333,420,330,382,314,238,217,214
Romania ,..,..,..,..,197,463,520,208,303,313
Slovenia ,87,90,132,228,234,360,362,353,292,311
Slovakia ,..,73,186,221,368,563,545,566,406,549
Finland ,8,9,6,2,8,4,30,2,1,..
Sweden ,21,39,15,12,9,2,2,8,1,20
Non-EU,,,,,,,,,,
Norway ,3,14,2,..,15,7,0,15,6,0
Switzerland ,..,..,..,..,..,..,87,45,129,59
Croatia ,..,..,..,..,..,..,45,35,76,44
,,,,,,,,,,
1. Weight of goods transported,,,,,,,,,,
2. Note that these are not cabotage journeys because goods were loaded in another country not the UK,,,,,,,,,,
Note: some data may have been revised by Member States since the Road Freight Statistics (2010) publication,,,,,,,,,,
.. Indicates the data were not available,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,Source: Eurostat
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,Last updated: November 2012
,,,,,,,,,,Next update: November 2013


