Department for Transport statistics ,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,
,,,,,,,,,,
Table RFS0212,,,,,,,,,,
Cabotage1 within the UK by country of registration of vehicle: 2004-20112,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Million tonne kilometres,,
Country of vehicle registration,2004,2005,2006,2007,2008,2009,2010,2011,,
Belgium ,252,241,252,166,117,114,70,23,,
Czech Republic ,..,..,..,..,..,..,10,..,,
Denmark ,..,..,6,..,..,6,4,..,,
Germany,128,146,173,179,203,127,136,99,,
Estonia ,..,..,..,..,..,..,..,..,,
Ireland ,465,442,378,374,544,289,312,298,,
Spain ,..,..,..,..,..,..,..,..,,
France ,198,152,195,331,231,164,129,113,,
Italy ,..,32,..,..,24,..,..,..,,
Lithuania ,..,..,8,10,21,..,6,8,,
Luxembourg ,17,19,16,8,5,4,7,9,,
Hungary ,..,..,..,..,9,9,9,23,,
Netherlands ,688,756,563,309,388,353,282,240,,
Austria ,9,5,10,..,..,..,..,..,,
Poland ,52,36,117,109,117,124,212,173,,
Total,"1,855","1,875","1,760","1,539","1,712","1,231","1,272","1,054",,
Domestic freight activity by UK vehicles,"155,826","156,115","156,370","161,445","149,809","129,082","141,974",..,,
Cabotage penetration rate (%)3,1.2,1.2,1.1,0.9,1.1,0.9,0.9,0.7,,
,,,,,,,,,,
1. Cabotage is the national carriage of goods for hire or reward carried out by non-resident hauliers on a temporary basis in a host Member State,,,,,,,,,,
2. EU-27 countries where data were unavailable for all years have been excluded from this table,,,,,,,,,,
3. The cabotage penetration rate is defined as cabotage (in tonne kilometres) as a proportion of the sum of domestic and cabotage tonne kilometre,,,,,,,,,,
"    No UK domestic freight figures are available for the whole of 2011, so the 2010 figure has been used to calculate the penetration rate for 2011.",,,,,,,,,,
.. Indicates data are not available,,,,,,,,,,
,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,Source: Eurostat,,
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,Last updated: November 2012,,
,,,,,,,,Next update: November 2013,,
,,,,,,,,,,
The UK figures in this table are National Statistics,,,,,,,,,,
,,,,,,,,,,





,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,
,
,
,
,
