Department for Transport Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Freight Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table port0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All UK ports unitised freight traffic, by type of freight unit:1970 - 2011 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Thousand units,,,,,,,,,
Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,,1982,1983,1984,1985,1986,1987,(GB) 1988,,,(UK) 1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,
"Containers on Lo-Lo and conventional services 2,3. Includes all containers to 1988","1,533 ","1,586 ","1,699 ","1,975 ","1,881 ","1,692 ","1,693 ","1,746 ","1,850 ","1,812 ","1,841 ","1,865 ",,"1,965","2,033","2,086","2,130","2,164","2,379","2,608",,,"2,379","2,386","2,462","2,515","2,671","2,740","2,975","3,264","3,295","3,518","3,722","3,918","4,325","4,464","4,506","4,533","4,919",,"4,754","4,883","5,381","5,269","4,482","4,961","4,927",,,,,,,,,
Containers on Ro-Ro services2,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,,,374,377,378,337,362,373,389,371,465,514,528,550,,,,,,,,,,,,,,,,,,,,,,
Road goods vehicles (includes unaccompanied trailers to 1981),375 ,469 ,614 ,789 ,977 ,"1,067 ","1,266 ","1,398 ","1,589 ","1,780 ","1,801 ","1,853 ",,963,"1,025","1,117","1,194","1,300","1,367","1,478",,,"1,646","1,918","1,991","2,009","2,198","2,237","2,403","2,567","2,605","3,124","3,206","3,182","3,118","3,317","3,479","3,547","3,857",,"3,906","4,183","4,295","4,305","3,874","3,651","3,549",,,,,,,,,
Unaccompanied trailers,..,..,..,..,..,..,..,..,..,..,..,..,,970,"1,083","1,116","1,215","1,225","1,395","1,515",,,"1,738","1,835","1,846","1,856","1,922","2,089","2,260","2,081","2,058","2,304","2,312","2,533","2,742","2,687","2,760","2,781","2,734",,"2,840","2,944","2,989","2,737","2,634","2,754","2,723",,,,,,,,,
"Rail wagons, shipborne port-to-port trailers & barges 2,3",114 ,103 ,99 ,101 ,85 ,72 ,70 ,80 ,80 ,100 ,77 ,74 ,,62,67,66,56,43,35,33,,,33,34,30,28,28,28,29,20,- ,-,-,-,361,344,348,374,383,,665,668,744,657,676,725,728,,,,,,,,,
All main freight units,"2,021 ","2,157 ","2,412 ","2,865 ","2,944 ","2,830 ","3,029 ","3,225 ","3,519 ","3,691 ","3,719 ","3,792 ",,"3,960","4,208","4,384","4,595","4,732","5,175","5,633",,,"6,170","6,551","6,707","6,744","7,182","7,467","8,056","8,304","8,423","9,459","9,769","10,182","10,546","10,811","11,094","11,235","11,893",,"12,165","12,678","13,408","12,968","11,667","12,091","11,927",,,,,,,,,
Other unitised freight:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Import/export vehicles,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,,,..,..,..,..,..,"2,040","2,243","2,301","2,568","2,934","3,135","3,251","3,095","3,313","3,662","3,736","3,953",,"3,978","3,906","4,022","3,592","2,803","3,263","3,428",,,,,,,,,
