Department for Transport Statistics,,,,,,,,,,,,,
Sea passenger statistics,,,,,,,,,,,,,
Table spas0402,,,,,,,,,,,,,
Accompanied passenger vehicles by route: 1999 - 2011 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,       Thousand vehicles
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
(a) Cars,,,,,,,,,,,,,
Overseas route:,,,,,,,,,,,,,
  Belgium,244,260,115,120,111,112,124,129,132,118,97,86,79
  Denmark,27,23,26,27,22,23,21,48,26,21,26,25,24
  France,"3,954","3,524","3,619","3,727","3,669","3,720","3,449","3,563","3,734","3,712","3,585","3,563","3,435"
  Germany,40,22,27,32,19,24,23,-,-,-,-,-,-
  Irish Republic,854,876,833,878,879,837,773,751,781,723,735,757,698
  Netherlands,405,422,383,420,390,379,336,330,290,241,305,309,304
  Scandinavia and Baltic,36,26,15,36,44,31,39,19,21,61,-,3,2
    of which:,,,,,,,,,,,,,
      Norway,..,14,6,15,29,9,20,9,21,61,-,-,-
      Sweden,..,11,8,20,15,21,18,10,-,-,-,1,1
  Spain,84,83,93,104,80,81,94,85,88,95,103,123,122
All overseas routes,"5,644","5,235","5,111","5,344","5,213","5,207","4,861","4,927","5,072","4,972","4,850","4,867","4,666"
Channel Tunnel 2,"3,260","2,784","2,530","2,336","2,279","2,101","2,047","2,046","2,142","1,907","1,917","2,125","2,263"
Coastwise route 3 ,,,,,,,,,,,,,
  Northern Ireland 4,"1,282","1,108","1,078","1,082","1,104","1,138","1,054","1,007","1,089","1,026","1,024","1,021",978
  Isle of Man,137,140,136,166,159,157,75,147,183,152,153,157,147
  Orkneys & Shetlands 4,127,128,104,125,155,156,163,170,196,206,208,234,235
  Channel Islands,112,159,162,179,128,111,104,90,89,94,103,101,95
  Other,34,36,39,42,44,48,48,47,49,49,67,68,68
All coastwise routes 3,"1,692","1,570","1,520","1,594","1,591","1,611","1,444","1,461","1,605","1,526","1,555","1,581","1,522"
All cars,"7,336","6,806","6,631","6,939","6,804","6,818","6,305","6,388","6,677","6,498","6,405","6,448","6,188"
(b) Buses and coaches,,,,,,,,,,,,,
Overseas route:,,,,,,,,,,,,,
