Department for Transport Statistics,,,,,,,,,,,,,,,,,,
Domestic Waterborne Freight Statistics,,,,,,,,,,,,,,,,,,
Table dwf0207,,,,,,,,,,,,,,,,,,
"Major inland waterway routes, goods lifted 1, 1994 - 2011",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a)  Internal traffic,,,,,,,,,,,,,,,,,,Million tonnes
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
River Thames,2.83,2.24,1.74,1.69,1.66,1.74,1.88,1.95,2.09,2.02,1.54,1.81,2.09,1.94,2.18,2.19,1.84,1.33
River Medway,0.19,0.23,0.20,0.26,0.26,0.34,0.19,0.47,0.58,0.56,0.37,0.44,0.35,0.24,0.55,0.45,0.42,0.17
River Severn,0.01,0.02,0.01,0.01,-,-,-,-,-,-,-,0.21,0.19,0.26,0.23,0.16,0.19,0.24
Manchester Ship Canal / River Mersey,1.09,1.41,1.36,0.63,0.38,0.47,0.33,0.28,0.23,0.22,0.23,0.24,0.32,0.30,0.33,0.22,0.23,0.33
River Clyde,-,-,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-,-
River Forth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
River Humber,0.59,0.48,0.46,0.37,0.41,0.39,0.26,0.22,0.40,0.35,0.44,0.58,0.44,0.34,0.29,0.25,0.24,0.45
River Ouse,0.25,0.26,0.27,0.22,0.22,0.28,0.40,0.37,0.41,0.43,0.37,0.52,0.43,0.29,0.29,0.16,0.22,0.33
Aire and Calder,2.32,2.11,2.02,2.06,1.72,1.61,1.64,1.57,1.06,0.50,0.37,0.40,0.39,0.30,0.29,0.19,0.37,0.27
River Trent,0.26,0.24,0.23,0.19,0.26,0.27,0.32,0.33,0.30,0.26,0.26,0.25,0.24,0.17,0.18,0.10,0.16,0.22,
River Orwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
All waterways,7.05,6.59,5.74,4.75,4.26,4.28,4.30,4.26,3.96,3.18,2.60,3.40,3.56,3.36,3.69,3.27,2.94,2.96,
,,,,,,,,,,,,,,,,,,,
b)  Seagoing traffic,,,, ,,,, ,,,,,,,,,,Million tonnes,
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
River Thames,21.30,21.94,21.50,23.04,23.31,20.78,12.59,18.50,17.16,16.03,14.19,17.13,18.67,20.06,19.49,14.20,13.83,15.40,
River Medway,2.84,2.68,2.12,2.42,2.68,2.89,1.45,2.01,2.38,2.74,2.02,1.45,2.13,2.22,1.77,1.57,1.70,1.45,
River Severn,0.31,0.30,0.30,0.30,0.35,0.31,0.60,0.54,0.56,0.55,0.54,0.50,0.46,0.49,0.47,0.44,0.41,0.51,
Manchester Ship Canal / River Mersey,5.52,5.95,6.10,5.78,6.33,6.46,7.68,6.99,5.51,5.08,5.63,6.13,6.57,6.42,5.78,4.80,5.34,5.05,
