Department for Transport Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea passenger statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table spas103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK international short sea passenger movements by overseas country: 1950 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousands,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
Belgium,394,..,..,..,..,..,..,..,..,..,1334,1261,1370,1724,1787,1977,2039,1936,2213,2304,2632,2566,2652,2607,3030,3641,3975,4391,4428,4421,5192,4714,4678,4415,4608,4411,3792,3626,3232,3444,3588,3510,3239,2957,2878,2480,2053,2075,1749,1592,1507,1379,1129,740,739,778,748,751,676,566,614,495,
Denmark,83,..,..,..,..,..,..,..,..,..,88,82,85,86,99,114,107,125,135,142,150,167,160,164,220,304,340,377,405,413,458,499,523,480,428,367,406,415,333,292,309,265,244,270,285,254,208,190,195,188,164,156,132,88,97,91,89,96,90,99,98,105,
France,1666,..,..,..,..,..,..,..,..,..,2509,2850,2999,3200,3326,3644,3681,3774,3525,4408,5025,5354,5806,6152,6534,7739,7861,8602,9805,11112,12621,14734,15747,16140,15353,15645,16867,16527,15974,19246,20104,21247,22870,24643,27224,25164,25470,26975,23912,22454,19755,19485,20555,19077,18565,16834,16925,17377,16844,"16,002","15,869","15,537",
Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73,87,101,169,182,213,231,238,263,247,239,256,261,225,205,203,142,139,134,148,172,163,178,204,204,204,242,244,276,245,240,246,222,188,164,161,92,117,98,1,1,1,1,2,2,
Irish Republic 1,1273,..,..,..,..,..,..,1486,1509,1503,1459,1467,1382,1345,1458,1565,1403,1555,1734,1868,1710,1635,1397,1628,1661,1664,1576,1943,2316,2342,2502,2422,2621,2668,2792,2788,2601,2519,2384,2715,2750,3001,3097,3378,3443,3598,3859,4066,4606,4343,4234,3882,3880,3802,3656,3380,3221,3291,3069,"2,930","3,102","2,921",
Netherlands,367,..,..,..,..,..,..,..,..,..,628,615,602,605,608,623,644,710,776,944,1067,1108,1099,1123,1167,1496,1841,1977,2056,2044,1940,1958,1968,2210,2191,2207,2258,2090,2218,2365,2524,2610,2693,2550,1987,1847,1956,1961,1768,1939,2031,2026,2209,2094,2002,1848,1897,1636,1667,"1,685","1,794","1,792",
Norway,61,..,..,..,..,..,..,..,..,..,124,129,131,131,132,137,154,163,145,138,145,161,170,162,140,135,128,158,110,97,76,94,86,62,68,111,169,154,149,144,147,124,132,136,138,166,179,172,188,208,225,230,241,235,231,200,149,153,120,1,1,1,
Spain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,87,132,121,106,116,124,148,116,109,59,43,60,72,68,80,83,89,87,95,80,90,119,153,162,123,285,367,353,367,388,373,346,320,355,341,308,310,378,372,357,370,340,401,293,
