Department for Transport Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea passenger statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table spas0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK international sea passenger movements, by port and port area: 1950-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousands,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
Ro-ro ferry passengers on short sea routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thames & Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   London 1,..,..,..,..,..,..,..,191,196,206,206,205,182,175,172,209,227,146,113,104,87,119,95,92,81,67,68,88,46,7,83,6,5,5,5,2,1,2,-,-,1,-,1,3,2,2,- ,-,12,16,15,14,13,11,14,13,12,11,7,8,12,14,
   Medway,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,429,478,447,453,545,635,704,676,677,662,569,674,658,800,841,767,713,194,78,81,-,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
   Ramsgate,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,150","1,240","1,217","1,183","1,051",731,539,650,"1,021","1,220","1,241","1,549","1,464","1,459","1,736","1,838","1,881","3,521","2,807","2,655","1,836",161,50,76,88,117,137,148,193,214,233,222,171,186,110,
   Dover,..,..,..,..,..,..,..,"1,996","2,377","2,501","2,679","2,793","3,048","3,512","3,576","3,863","3,868","3,862","4,035","4,388","5,029","5,157","5,301","5,216","5,699","6,783","7,091","7,835","8,422","9,208","10,965","12,461","13,826","13,954","13,862","13,754","14,377","14,039","12,315","15,044","15,573","15,990","17,940","18,524","19,108","17,850","18,760","21,236","19,330","18,324","16,078","15,857","16,329","14,631","14,275","13,359","13,799","14,258","13,783","13,067","13,125","12,769",
   Folkestone,..,..,..,..,..,..,..,634,654,754,736,840,896,936,891,914,842,814,735,911,968,903,"1,058","1,282","1,493","1,592","1,497","1,516","1,643","1,553","1,625","1,787","1,868","2,047","1,688","1,361","1,192","1,054","1,128","1,137","1,235","1,313",526,773,867,725,856,776,905,653,440,5,-,-,-,-,-,-,-,-,-,-,
All Thames & Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,249","16,881","16,815","17,452","16,904","15,666","18,304","19,068","19,880","21,072","21,894","23,693","21,461","22,353","23,848","20,408","19,043","16,609","15,964","16,459","14,780","14,437","13,566","14,025","14,503","14,012","13,246","13,323","12,893",
South Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Newhaven,..,..,..,..,..,..,..,343,360,361,311,340,287,367,377,412,458,475,421,474,494,504,548,579,552,600,570,550,615,806,797,850,773,911,775,862,927,811,878,950,832,796,716,"1,239","1,175",979,841,750,621,337,313,337,379,397,361,167,270,329,284,244,253,258,
   Brighton,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,-,- ,46,- ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
   Portsmouth,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,341,489,579,722,"1,032","1,027",971,"1,347","1,728","1,885","1,960","2,071","2,589","2,890","2,827","2,806","3,035","3,173","3,331","3,005","3,391","3,509","3,487","3,176","3,344","3,406","3,116","3,077","2,631","2,166","2,084","2,087","2,139","2,212","2,065",
   Southampton,..,..,..,..,..,..,..,452,428,449,465,473,495,492,620,725,805,921,873,"1,007","1,009","1,014","1,114","1,133","1,039","1,140",995,869,891,978,"1,073",889,848,841,376,-,-,1,1,2,-,239,458,491,552,531,461,1,-,-,-,-,-,-,5,3,-,-,-,-,-,-,
   Poole,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,30,39,42,52,52,53,54,59,58,94,110,158,455,490,493,440,542,373,376,418,414,472,455,586,620,623,520,398,479,469,474,391,189,253,
   Weymouth,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,147,181,213,206,213,232,249,222,169,183,171,200,206,8,-,-,-,- ,- ,- ,-,53,56,60,-,8,15,20,21,18,19,15,11,7,7,
   Plymouth,..,..,..,..,..,..,..,20,17,12,11,8,7,2,..,..,..,..,..,..,..,..,..,..,..,..,..,191,239,277,322,318,322,335,344,376,382,328,431,526,639,699,567,653,702,582,562,649,642,627,583,583,631,603,617,636,564,575,571,491,484,478,
All South Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,362","3,118","3,193","3,436","3,365","3,692","4,430","4,825","5,051","5,048","5,858","6,145","5,843","5,244","5,210","5,240","4,980","4,587","4,851","5,044","4,754","4,600","3,856","3,498","3,476","3,431","3,276","3,145","3,060",
West Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Bristol,..,..,..,..,..,..,..,1,3,3,2,2,2,2,1,1,-,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
   Swansea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,178,..,..,..,201,221,58,-,-,-,-,-,1,2,101,125,3,72,121,130,153,183,163,172,150,158,133,124,122,121,118,116,100,81,-,-,-,94,59,
   Milford Haven,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,183,289,326,217,232,271,239,5,7,241,249,247,278,315,315,358,341,345,546,512,495,463,388,387,384,378,321,333,379,345,315,325,313,
   Fishguard,..,..,..,..,..,..,..,250,259,261,270,270,252,249,306,343,314,372,393,337,359,353,205,258,278,280,254,322,421,399,430,409,505,490,526,529,713,669,474,647,757,830,839,775,755,945,817,815,810,830,832,687,662,645,614,590,584,597,554,501,419,410,
   Holyhead,..,..,..,..,..,..,..,855,868,872,893,844,798,771,806,893,743,891,"1,029","1,042",447,298,671,788,824,791,723,939,"1,093","1,109","1,142","1,069","1,276","1,406","1,443","1,594","1,426","1,429","1,528","1,634","1,622","1,744","1,783","2,111","2,125","2,125","2,489","2,457","2,775","2,541","2,518","2,380","2,371","2,333","2,262","2,173","2,057","2,138","1,996","1,942","2,073","2,020",
   Mostyn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,5,44,48,10,-,-,-,-,-,-,-,
   Liverpool,..,..,..,..,..,..,..,460,419,397,332,371,354,347,357,331,349,282,335,368,438,439,343,387,356,385,393,447,531,534,561,563,542,535,548,421,407,307,15,169,31,28,26,24,23,24,29,97,343,337,293,298,291,269,270,190,162,173,172,171,190,118,
   Fleetwood,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,3,4,7,5,5,5,5,5,7,6,-,-,-,-,-,-,- ,- ,7,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
   Glasgow,..,..,..,..,..,..,..,60,64,63,40,58,54,51,53,52,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
   Other ports,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,- ,- ,- ,-,9,7,4,3,4,5,5,5,4,3,2,1,2,2
All West Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,667","2,793","2,790","2,559","2,519","2,383","2,701","2,729","3,001","3,093","3,378","3,443","3,598","3,859","4,066","4,606","4,343","4,234","3,882","3,880","3,802","3,656","3,380","3,221","3,291","3,069","2,930","3,102","2,921"
East Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Lerwick,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,5,5,6,6,7,-,7,8,7,5,3,3,2,3,7,6,6,6,7,13,14,11,10,1,-,-,-,-
   Forth,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,195,192,183,112,110,74,31,54,1
   Tyne,..,..,..,..,..,..,..,129,125,129,134,139,139,128,146,154,169,160,140,136,133,132,141,146,137,129,155,..,..,194,179,251,273,205,104,74,130,131,154,170,203,120,171,241,259,406,337,365,466,626,667,745,816,829,767,699,648,638,595,536,604,606
   Hull,..,..,..,..,..,..,..,17,16,18,21,25,25,24,24,26,94,148,159,149,173,186,188,149,173,292,394,429,422,465,484,461,436,432,440,443,553,613,724,871,981,"1,030","1,011","1,017",945,961,"1,013","1,006","1,027","1,022",972,"1,006","1,041",994,976,964,"1,017","1,010",966,936,950,970
   Grimsby & Immingham,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,4,4,5,8,9,8,9,8,9,6,6,9,11,12,10,9,12,13,38,43,43,44,49,63,81,71,73,69
   Great Yarmouth,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,141,104,50,..,..,7,9,10,10,11,10,11,10,9,9,7,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
   Ipswich,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,2,2,2,2,2,4,5,5,6,6,6,6,4,6,1,- ,-,-,-,5,6,6,6,7,8,8,4,2,4,2,1
   Felixstowe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55,299,512,638,837,945,998,"1,141","1,086",756,681,764,460,422,410,462,445,548,645,468,515,447,62,77,77,78,86,80,58,19,19,19,16,15,15,9,8,6
   Harwich,..,..,..,..,..,..,..,632,632,656,674,653,639,625,654,683,701,757,869,"1,053","1,232","1,284","1,329","1,362","1,359","1,489","1,568","1,760","1,707","1,701","1,669","1,567","1,519","1,828","1,924","1,926","2,011","1,891","1,720","1,808","1,763","1,726","1,814","1,807","1,709","1,582","1,650","1,672","1,384","1,272","1,335","1,196","1,268","1,085","1,085",959,857,553,593,585,620,617
   Other ports,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,3,1,-,1,2,2,1,1,8,9,11,12,-,2,2,3,4,3,3,3,4,4,4,4,3,2,3
All East Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,245","3,172","3,232","3,180","3,086","3,040","3,334","3,418","3,449","3,665","3,556","3,452","3,420","3,087","3,134","2,973","3,016","3,086","3,056","3,342","3,188","3,106","2,891","2,722","2,398","2,329","2,175","2,313","2,275"
All short-sea routes,"3,942",..,..,..,..,..,..,"5,443","5,866","6,141","6,231","6,494","6,660","7,183","7,502","8,159","8,257","8,568","8,870","10,204","11,211","11,491","11,789","12,371","13,303","15,556","16,360","18,030","19,716","21,074","23,395","25,025","26,249","26,524","25,964","26,029","26,627","25,876","24,782","28,776","30,044","31,383","32,882","34,685","36,733","34,321","34,543","36,258","33,226","31,381","28,517","27,753","28,726","26,523","25,799","23,693","23,465","23,668","22,840","21,626","21,883","21,149"
Passengers on long sea journeys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  (including cruise passengers 1950 - 1969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All ports of the United Kingdom,587.3,627.6,673.0,650.1,674.5,687.9,697.9,666.8,615.6,609.4,593.6,569.3,562.7,546.2,528.5,493.9,447.7,438.4,367.3,345.0,285.1,246.4,201.0,167.8,144.9,113.4,86.2,81.1,52.0,40.3,45.9,35.4,22.5,35.4,36.0,42.4,36.1,40.9,33.6,31.2,21.6,34.0,26.3,37.0,34.2,32.6,23.9,29.4,23.4,26,26,27,32,25,40,52,58,68,72,55,55,57
Passengers on cruises beginning or ending at UK ports 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All ports of the United Kingdom,,,,,,,,,,,,,,,,,,,,,287,268,270,279,313,225,184,184,158,175,180,162,86,124,122,137,107,125,127,129,153,172,138,193,236,207,226,..,..,445,461,469,540,702,767,935,"1,013","1,064","1,341","1,347","1,557","1,618"
   of which:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,211,281,295,331,438,476,637,658,716,889,925,"1,167","1,315"
      Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,136,119,100,120,139,154,141,188,175,223,198,237,148
      Harwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,70,43,68,69,97,91,84,104,104,126,127,61,57
      Other ports,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28,17,4,20,28,46,71,64,69,103,97,93,97
All international passengers 3,"4,529",..,..,..,..,..,..,"6,110","6,482","6,750","6,825","7,063","7,223","7,729","8,031","8,653","8,705","9,006","9,237","10,549","11,783","12,005","12,260","12,818","13,761","15,894","16,630","18,295","19,926","21,289","23,621","25,222","26,358","26,683","26,122","26,208","26,770","26,042","24,943","28,937","30,219","31,589","33,047","34,915","37,003","34,561","34,793","36,287","33,249","31,852","29,003","28,249","29,298","27,250","26,605","24,680","24,537","24,800","24,254","23,028","23,495","22,824 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Including long sea and cruise passengers for most years between 1957 and 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Cruise passengers, like other passengers, are included at both departure and arrival if their journey begins and ends at a UK seaport.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Excluding cruise passengers in 1997 and 1998.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
