Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Fleet Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table fle0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom and Crown Dependency registered trading vessels of 500 gross tons and over:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1986 and 1986 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of year1,Passenger,,Cargo liners,  Container,      Tramps,Bulk carriers,  Tankers,Total,Vessels,,,,,,,,,,,,,,,,,,,
,000 Gt,,000 Gt,000 Gt,000 Gt,000 Gt,000 Gt,000 Gt,number,,,,,,,,,,,,,,,,,,,
1950," 2,936 ",," 5,949 ", - , .. ," 4,366 "," 3,946 "," 17,198 "," 3,092 ",,,,,,,,,,,,,,,,,,,
1951," 2,992 ",," 5,933 ", - , .. ," 4,084 "," 4,187 "," 17,196 "," 3,056 ",,,,,,,,,,,,,,,,,,,
1952," 2,935 ",," 6,063 ", - , .. ," 3,836 "," 4,430 "," 17,264 "," 3,014 ",,,,,,,,,,,,,,,,,,,
1953," 2,825 ",," 6,066 ", - , .. ," 3,939 "," 4,637 "," 17,467 "," 3,016 ",,,,,,,,,,,,,,,,,,,
1954," 2,998 ",," 6,007 ", - , .. ," 3,965 "," 5,046 "," 18,016 "," 3,041 ",,,,,,,,,,,,,,,,,,,
1955," 3,012 ",," 6,080 ", - , .. ," 3,979 "," 5,138 "," 18,208 "," 3,041 ",,,,,,,,,,,,,,,,,,,
1956," 3,013 ",," 6,300 ", - , .. ," 3,841 "," 5,329 "," 18,484 "," 3,041 ",,,,,,,,,,,,,,,,,,,
1957," 2,958 ",," 6,540 ", - , .. ," 3,696 "," 5,638 "," 18,833 "," 3,031 ",,,,,,,,,,,,,,,,,,,
1958," 2,843 ",," 6,545 ", - , .. ," 3,837 "," 6,021 "," 19,245 "," 3,007 "
1959," 2,749 ",," 6,605 ", - , .. ," 3,706 "," 6,745 "," 19,805 "," 2,950 "
1960," 2,814 ",," 6,568 ", - , .. ," 3,762 "," 7,058 "," 20,202 "," 2,902 "
1961," 2,771 ",," 6,294 ", - , .. ," 4,143 "," 7,288 "," 20,497 "," 2,808 "
1962," 2,495 ",," 6,133 ", - , .. ," 4,441 "," 7,486 "," 20,554 "," 2,689 "
1963," 2,342 ",," 5,939 ", - , .. ," 4,328 "," 7,788 "," 20,396 "," 2,538 "
1964," 2,244 ",," 5,936 ", - , .. ," 4,444 "," 7,804 "," 20,428 "," 2,473 "
1965," 2,115 ",," 5,894 ", - , .. ," 4,687 "," 7,685 "," 20,382 "," 2,401 "
1966," 1,971 ",," 5,898 ", .. ," 2,666 "," 2,130 "," 7,857 "," 20,522 "," 2,319 "
1967," 1,709 ",," 5,576 ", .. ," 2,521 "," 2,661 "," 7,908 "," 20,375 "," 2,181 "
1968," 1,605 ",," 5,398 ", .. ," 2,173 "," 2,974 "," 8,580 "," 20,730 "," 2,058 "
1969," 1,245 ",," 5,452 ", 194 ," 1,904 "," 3,265 "," 10,215 "," 22,274 "," 2,002 "
1970," 1,230 ",," 5,233 ", 418 ," 1,621 "," 3,710 "," 11,849 "," 24,061 "," 1,977 "
1971," 1,101 ",," 4,444 ", 683 ," 1,425 "," 4,219 "," 13,304 "," 25,177 "," 1,875 "
1972," 1,010 ",," 3,895 "," 1,162 "," 1,222 "," 6,152 "," 13,500 "," 26,940 "," 1,798 "
1973, 920 ,," 3,749 "," 1,346 "," 1,060 "," 7,366 "," 14,665 "," 29,106 "," 1,776 "
1974, 855 ,," 3,656 "," 1,365 "," 1,027 "," 7,694 "," 16,199 "," 30,795 "," 1,767 "
1975, 748 ,," 3,330 "," 1,363 ", 958 ," 8,022 "," 17,069 "," 31,489 "," 1,682 "
1976, 661 ,," 3,148 "," 1,349 ", 910 ," 8,030 "," 15,742 "," 29,839 "," 1,573 "
1977, 654 ,," 2,923 "," 1,624 ", 882 ," 8,181 "," 15,797 "," 30,061 "," 1,545 "
