Table tsgb0518 ,,,,,,,,,,,,,
"UK HM Coastguard statistics, search and rescue operations: 1,2 1999-2011",,,,,,,,,,,,,
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Incidents involving vessels ,,,,,,,,,,,,,
where assistance rendered:,,,,,,,,,,,,,
Commercial vessels,458,537,569,597,512,961,"1,207",672,..,..,..,..,..
Fishing vessels,624,647,670,627,589,521,624,360,..,..,..,..,..
Pleasure craft,"3,334","3,267","3,529","3,679","3,748","3,924","4,101","2,933",..,..,..,..,..
Incidents involving persons,,,,,,,,,,,,,
where assistance rendered:,,,,,,,,,,,,,
Incidents involving persons,"1,202","1,693","1,872","2,241","2,436","2,169","3,237","2,169",..,..,..,..,..
Medical evacuations,427,403,473,460,585,481,513,458,..,..,..,..,..
Reports received:,,,,,,,,,,,,,
Distress reports,"2,548","2,353","2,208","2,357",..,..,..,..,..,..,..,..,..
Hoaxes,258,221,206,260,232,301,406,529,691,475,591,536,441
Number of persons involved in,,,,,,,,,,,,,
incidents where assistance rendered:,,,,,,,,,,,,,
Persons assisted,"17,535","14,717","16,487","19,984","25,118","21,929","22,477","23,113",..,..,..,..,..
Persons rescued,"5,215","5,217","4,852","5,851","5,689","4,947","4,790","4,809",..,..,..,..,..
Lives lost3 ,251,236,284,319,316,364,376,360,313,314,403,353,402
Total number of incidents ,,,,,,,,,,,,,
where assistance rendered,"6,581","6,703","7,242","7,604","8,070","8,056","7,252","6,592",..,..,..,..,..
Total number of incidents,"12,220","12,016","12,514","13,395","13,849","14,240","16,754","17,185","18,180","18,759","21,195","20,880","21,516"
,,,,,,,,,,,,,
1 HM Coastguard revised its statistical collection and collation procedures in 1998 and again in a phased programme between 2003 and 2005. Continuing ongoing,,,,,,,,,,,,,
"   refinements to the data collection, recording and analyses may make comparisons  with previous years difficult. e.g. A change to data collection procedures in ",,,,,,,,,,,,,
   2006 has resulted in a fall in the number of vessels recorded as 'assisted'.,,,,,,,,,,,,,
"2 Due to industrial action by some HM Coastguard staff, figures for 2007 to 2010 are incomplete.",,,,,,,,,,,,,
"3 Lives lost figures include all fatalities recorded by HM Coastguard (eg maritime, land based, natural causes, etc).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Email: maritime.stats@dft.gsi.gov.uk,,,,,,,,,,,,,"Source: Maritime Accidents Investigation Branch (MAIB), DfT"
Telephone: 023 8032 9487,,,,,,,,,,,,,Last updated: September 2012
,,,,,,,,,,,,,Next update: September 2013
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
