Department for Transport statistics,,,,,,,,,,,,,,,,
Transport Statistics Great Britain,,,,,,,,,,,,,,,,
Table TSGB0106,,,,,,,,,,,,,,,,
People entering central London during the morning peak:1 1996-2010,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,People (thousands)
,,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Public transport:,,,,,,,,,,,,,,,,
,Surface rail 2,399,435,448,460,465,468,451,455,452,465,483,511,510, 490 , 510 
,"London Underground & DLR 3,4",333,341,360,362,383,377,380,339,344,344,379,397,405, 379 , 375 
,Bus,68,68,68,68,73,81,88,104,116,115,116,113,114, 115 , 114 
,Coach/minibus 5,20,20,17,15,15,10,10,10,9,9,8,9,11, 11 , 10 
,All public transport,819,863,892,905,935,935,929,909,921,933,994,"1,030","1,040", 995 ," 1,009 "
Personal transport:,,,,,,,,,,,,,,,,
,Private car,143,142,140,135,137,122,105,86,86,84,78,75,70, 70 , 67 
,Motor cycle,11,11,13,15,17,16,15,16,16,16,15,15,15, 15 , 14 
,Pedal cycle,10,10,10,12,12,12,12,12,14,17,18,19,23, 27 , 28 
,Taxi,9,9,8,8,8,7,7,7,7,8,7,6,7, 6 , 6 
,All personal transport 6,173,172,171,169,173,157,139,120,122,125,118,116,115, 118 , 115 
All transport 6,,992,"1,035","1,063","1,074","1,108","1,093","1,068","1,029","1,043","1,058","1,105","1,146","1,155","1,112","1,124"
,,,,,,,,,,,,,,,,
1  0700-1000 hours.  Surveys are conducted in October/November.,,,,,,,,,,,,,,,,
2  Data from 2007 to 2009 have been revised since TSGB 2011.,,,,,,,,,,,,,,,,
3  DLR = Dockland Light Railway.,,,,,,,,,,,,,,,,
4  Excludes passengers transferring from surface rail services. Passengers transferring from surface rail services have been deducted from the ,,,,,,,,,,,,,,,,
    gross Underground counts.  ,,,,,,,,,,,,,,,,
5  Includes commuter and tourist coaches.,,,,,,,,,,,,,,,,
6  Excludes commercial vehicles.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Telephone: 020 7126 4610,,,,,,,,,,,,,,,,Source: Transport for London (TfL)
Email: publicationgeneral.enq@dft.gsi.gov.uk,,,,,,,,,,,,,,,,www.tfl.gov.uk/corporate/about-tfl/publications/1482.aspx
Notes and definitions,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Last updated: October 2012
Transport for London is outside the scope of National Statistics.,,,,,,,,,,,,,,,,Next update: December 2013
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
