Department for Transport statistics,,,,,,,,,,,,,
Transport Statistics Great Britain,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table TSGB0108,,,,,,,,,,,,,
"Usual method of travel to work by region of residence, GOR, FMC and country: October to December 2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Percentage/thousands,,,
,,,,,Rail,,,,,,,,
Region,Car,Motorcycle,Bicycle,Bus/ coach,National rail,Other    rail1,All rail,Walk,Other modes2,Number in employment ('000s)3,,,
,,,,,,,,,,,,,
North East, 74 , * , 1 , 9 , 1 , 2 , 3 , 11 , * ," 1,157 ",,,
Tyne and Wear, 67 , * , * , 14 , * , 3 , 5 , 11 , * , 508 ,,,
Rest of North East, 80 , * , * , 5 , * , * , * , 11 , * , 650 ,,,
North West, 71 , 1 , 3 , 8 , 3 , 1 , 3 , 12 , 1 ," 3,149 ",,,
Greater Manchester, 68 , * , 3 , 12 , 2 , 1 , 4 , 12 , * ," 1,225 ",,,
Merseyside, 66 , * , 3 , 11 , 6 , * , 6 , 11 , * , 561 ,,,
Rest of North West, 77 , 1 , 3 , 4 , 1 , * , 1 , 13 , * ," 1,363 ",,,
Yorkshire and Humberside, 73 , 1 , 3 , 9 , 2 , * , 3 , 12 , 1 ," 2,419 ",,,
South Yorkshire, 75 , * , * , 10 , * , * , 3 , 9 , * , 584 ,,,
West Yorkshire, 70 , * , * , 11 , 3 , * , 3 , 13 , * ," 1,009 ",,,
Rest of Yorkshire and Humberside, 75 , * , 6 , 4 , * , * , 2 , 12 , * , 826 ,,,
East Midlands, 78 , * , 3 , 5 , 1 , * , 2 , 11 , * ," 2,118 ",,,
West Midlands, 77 , 1 , 2 , 7 , 2 , * , 2 , 10 , 1 ," 2,420 ",,,
West Midlands and Met., 74 , * , * , 11 , 3 , * , 4 , 9 , * ," 1,105 ",,,
Rest of West Midlands, 80 , 1 , 3 , 3 , 1 , * , 1 , 11 , * ," 1,316 ",,,
East of England, 70 , 1 , 3 , 3 , 8 , 1 , 10 , 12 , 1 ," 2,874 ",,,
London, 33 , 1 , 6 , 15 , 14 , 21 , 35 , 9 , 1 ," 3,738 ",,,
Inner London, 16 , * , 10 , 17 , 12 , 30 , 43 , 11 , 2 ," 1,503 ",,,
Outer London, 43 , 1 , 3 , 13 , 15 , 16 , 30 , 8 , 1 ," 2,235 ",,,
South East, 71 , 1 , 4 , 4 , 8 , - , 8 , 11 , 1 ," 4,179 ",,,
South West, 74 , 1 , 4 , 5 , 2 , * , 2 , 13 , 1 ," 2,540 ",,,
England, 67 , 1 , 3 , 7 , 5 , 4 , 9 , 11 , 1 ," 24,595 ",,,
Wales, 81 , * , 1 , 4 , 2 , * , 2 , 10 , * ," 1,345 ",,,
Scotland, 68 , * , 2 , 12 , 3 , * , 4 , 12 , 2 ," 2,465 ",,,
Great Britain, 68 , 1 , 3 , 8 , 5 , 3 , 8 , 11 , 1 ," 28,405 ",,,
,,,,,,,,,,,,,
"1. Includes underground, light railway systems and trams.",,,,,,,,,,"Source: Office for National Statistics, Labour Force Survey",,,
2. Includes taxis.,,,,,,,,,,Tel: ?020 7944 2519,,,
"3. Includes all in employment, including those who did not answer the question on usual method of travel to work.",,,,,,,,,,Email: subnational.stats@dft.gsi.gov.uk,,,
,,,,,,,,,,,,,
Last updated: August 2012 (revised to accommodate 2011 reweighting),,,,,,,,,,,,,
Next update: May 2013,,,,,,,,,,,,,

The figures in this table are National Statistics,,,,,,,,,,,,,
Notes and definitions,,,,,,,,,,,,,

* Data for some cells are not shown because they fall below the LFS reliability threshold.,,,,,,,,,,,,,
