Department for Transport statistics,,,,,,,,,,,
Transport Statistics Great Britain,,,,,,,,,,,
,,,,,,,,,,,
Table TSGB0110,,,,,,,,,,,
"Time taken to travel to work by region of workplace, GOR, FMC and country: October to December 2011",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,Percentage/minutes,,,
,Cumulative percentage,,,,,Mean time,,,,,
Area of Workplace,<20 minutes,<40 minutes,<60 minutes,<90 minutes,,Men,Women,All people,,,

North East, 48 , 85 , 95 , 99 ,, 23 , 21 , 22 ,,,
Tyne and Wear, 43 , 82 , 93 , 99 ,, 24 , 23 , 24 ,,,
Rest of North East, 53 , 89 , 96 , 99 ,, 22 , 18 , 20 ,,,
North West, 42 , 81 , 92 , 98 ,, 27 , 23 , 25 ,,,
Greater Manchester, 36 , 78 , 91 , 98 ,, 28 , 25 , 27 ,,,
Merseyside, 38 , 81 , 92 , 98 ,, 26 , 25 , 25 ,,,
Rest of North West, 50 , 83 , 94 , 98 ,, 25 , 20 , 23 ,,
Yorkshire and Humberside, 44 , 81 , 92 , 98 ,, 26 , 22 , 24 ,,
South Yorkshire, 43 , 82 , 94 , 99 ,, 24 , 23 , 23 ,,
West Yorkshire, 42 , 78 , 91 , 98 ,, 27 , 23 , 25 ,,
Rest of Yorkshire and Humberside, 48 , 86 , 93 , 98 ,, 26 , 19 , 23 ,,
East Midlands, 48 , 85 , 94 , 98 ,, 25 , 20 , 22 ,,
West Midlands, 44 , 81 , 92 , 98 ,, 27 , 22 , 25 ,,
West Midlands and Met., 36 , 76 , 91 , 97 ,, 30 , 25 , 28 ,,
Rest of West Midlands, 53 , 86 , 94 , 98 ,, 23 , 20 , 22 ,,
East of England, 47 , 81 , 92 , 97 ,, 27 , 22 , 24 ,,
London, 18 , 47 , 67 , 90 ,, 47 , 40 , 44 ,,
Central London, 6 , 28 , 54 , 85 ,, 56 , 52 , 55 ,,
Rest of Inner London, 17 , 44 , 65 , 90 ,, 47 , 43 , 45 ,,
Outer London, 32 , 68 , 83 , 95 ,, 36 , 28 , 32 ,,
South East, 45 , 80 , 90 , 97 ,, 29 , 22 , 25 ,,
South West, 48 , 84 , 94 , 98 ,, 24 , 20 , 22 ,,
England, 41 , 76 , 88 , 97 ,, 30 , 25 , 28 ,,
Wales, 51 , 85 , 95 , 99 ,, 23 , 20 , 21 ,,
Scotland, 46 , 81 , 92 , 98 ,, 28 , 22 , 25 ,,
Great Britain, 42 , 77 , 89 , 97 ,, 30 , 24 , 27 ,,
,,,,,,,,,,
,,,,,,,,,,
Last updated: August 2012 (revised following 2011 reweighting),,,,,,,,,,
Next update: May 2013,,,,,,,,,,
,,,,,,,,"Source: Office for National Statistics, Labour Force Survey",,
The figures in this table are National Statistics,,,,,,,,?020 7944 2519,,
Notes and definitions,,,,,,,,Email: subnational.stats@dft.gsi.gov.uk,,
,,,,,,,,,,
