Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modal comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table TSGB0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Public Expenditure on Transport by function1: from 2005/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,£ million (outturn prices),,,,,,,,,,,,,,,,,,,,,,,,
,,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,,,,,,,,,,,,,,,,,,,,,,,,
National Roads,,"2,760","3,370","3,260","3,539","4,215","3,633","3,148",,,,,,,,,,,,,,,,,,,,,,,,
,Capital,"1,085","1,560","1,450","1,558","2,561","2,148","1,736",,,,,,,,,,,,,,,,,,,,,,,,
,Current,"1,675","1,810","1,810","1,981","1,653","1,484","1,412",,,,,,,,,,,,,,,,,,,,,,,,
Local Roads,,"4,963","4,946","5,156","5,669","5,995","5,868","4,904",,,,,,,,,,,,,,,,,,,,,,,,
,Capital,"2,766","2,763","2,931","3,430","3,557","3,736","2,889",,,,,,,,,,,,,,,,,,,,,,,,
,Current,"2,197","2,183","2,226","2,239","2,438","2,133","2,015",,,,,,,,,,,,,,,,,,,,,,,,
Local Public Transport,,"2,573","2,909","3,150","3,514","3,894","3,603","3,557",,,,,,,,,,,,,,,,,,,,,,,,
,Capital,616,571,587,553,"1,062","1,033","1,052",,,,,,,,,,,,,,,,,,,,,,,,
,Current,"1,957","2,338","2,563","2,961","2,832","2,570","2,506",,,,,,,,,,,,,,,,,,,,,,,,
Railways,,"5,921","7,826","7,943","7,159","7,705","7,348","7,650",,,,,,,,,,,,,,,,,,,,,,,,
,Capital,"3,937","5,413","5,460","6,150","5,775","5,572","5,974"
,Current,"1,984","2,413","2,484","1,009","1,930","1,776","1,676"
Other Transport,,822,834,"1,096","1,160","1,195","1,003",946
,Capital,176,161,311,290,257,158,197
,Current,646,673,785,870,938,846,749
UK total,,"17,039","19,885","20,605","21,042","23,003","21,456","20,205"
,Capital,"8,580","10,467","10,739","11,981","13,211","12,647","11,848"
,Current,"8,459","9,417","9,867","9,061","9,792","8,808","8,357"
,,,,,,,,
"1. Figures taken from Country and Regional Analysis, HMT  for 2007/08 onwards see",,,,,,,,
    http://www.hm-treasury.gov.uk/9802.htm,,,,,,,,
"    earlier figures were published in the similar exercises in 2011, see for example",,,,,,,,
    http://www.hm-treasury.gov.uk/pespb_natstats_oct2011.htm,,,,,,,,
    These include public spending by central and local government as well as capital spending by public corporations in the UK.,,,,,,,,
    There may be some slight differences between these figures and those from the downloadable HMT tables referenced in other,,,,,,,,
    tables due to differences in the timing  of the data collections.,,,,,,,,
,,,,,,,,
Telephone: 020 7944 4442,,,,,,,,Source: HM Treasury
Email: publicationgeneral.enq@dft.gsi.gov.uk,,,,,,,,
,,,,,,,,Last updated: November 2012
The figures in this table are National Statistics,,,,,,,,Next update: November 2013
