TSGB1004,,,,,
National Rail Games Tickets (NRGT) revenue and sales,,,,,
,,,,,
Week commencing,Weekly NRGT revenue (£000),Cumulative NRGT revenue (£m),Weekly NRGT sales (000s),Cumulative NRGT sales (000s),
19/06/2011,4.9,0.0,0.1,0.1,
26/06/2011,25.3,0.0,0.7,0.8,
03/07/2011,40.8,0.1,1.2,2.0,
10/07/2011,46.2,0.1,1.3,3.3,
17/07/2011,23.1,0.1,0.7,4.1,
24/07/2011,72.1,0.2,2.1,6.1,
31/07/2011,44.9,0.3,1.3,7.4,
07/08/2011,35.9,0.3,1.1,8.5,
14/08/2011,34.2,0.3,1.0,9.5,
21/08/2011,107.3,0.4,3.4,12.9,
28/08/2011,56.4,0.5,1.8,14.7,
04/09/2011,36.3,0.5,1.3,16.0,
11/09/2011,32.0,0.6,1.0,17.0,
18/09/2011,26.3,0.6,0.8,17.8,
25/09/2011,17.7,0.6,0.6,18.5,
02/10/2011,111.8,0.7,3.5,21.9,
09/10/2011,38.1,0.8,1.3,23.3,
16/10/2011,31.4,0.8,0.9,24.2,
23/10/2011,28.7,0.8,0.9,25.1,
30/10/2011,25.7,0.8,0.9,26.1,
06/11/2011,29.4,0.9,1.0,27.1,
13/11/2011,24.7,0.9,0.9,27.9,
20/11/2011,21.3,0.9,0.7,28.6,
27/11/2011,20.7,0.9,0.7,29.3,
04/12/2011,18.1,1.0,0.7,30.0,
11/12/2011,15.0,1.0,0.5,30.5,
18/12/2011,16.5,1.0,0.5,31.1,
25/12/2011,33.8,1.0,1.2,32.2,
01/01/2012,82.4,1.1,3.1,35.3,
08/01/2012,82.2,1.2,3.0,38.3,
15/01/2012,79.8,1.3,2.9,41.1,
22/01/2012,67.0,1.3,2.4,43.5,
29/01/2012,85.9,1.4,3.2,46.7,
05/02/2012,63.4,1.5,2.2,49.0,
12/02/2012,66.0,1.5,2.4,51.4,
19/02/2012,79.0,1.6,2.6,54.0,
26/02/2012,137.5,1.8,5.2,59.2,
04/03/2012,157.3,1.9,6.3,65.4,
11/03/2012,95.1,2.0,3.8,69.2,
18/03/2012,109.3,2.1,4.0,73.2,
25/03/2012,93.6,2.2,3.9,77.1,
01/04/2012,99.0,2.3,3.7,80.8,
08/04/2012,160.4,2.5,6.6,87.3,
15/04/2012,272.5,2.7,11.3,98.7,
22/04/2012,227.1,3.0,10.0,108.7,
29/04/2012,224.2,3.2,10.1,118.8,
06/05/2012,156.9,3.4,7.7,126.5,
13/05/2012,189.4,3.5,9.4,135.9,
20/05/2012,220.7,3.8,11.9,147.7,
27/05/2012,191.1,4.0,10.0,157.7,
03/06/2012,179.6,4.1,10.1,167.8,
10/06/2012,156.0,4.3,9.4,177.2,
17/06/2012,169.9,4.5,9.7,186.9,
24/06/2012,239.2,4.7,15.2,202.1,
01/07/2012,281.2,5.0,17.0,219.0,
08/07/2012,414.2,5.4,28.0,247.0,
15/07/2012,542.4,5.9,37.2,284.2,
22/07/2012,803.5,6.7,59.2,343.4,
29/07/2012,925.4,7.7,71.3,414.7,
05/08/2012,543.3,8.2,43.4,458.1,
12/08/2012,116.0,8.3,8.2,466.3,
19/08/2012,160.5,8.5,12.6,478.9,
26/08/2012,491.9,9.0,43.0,522.0,
02/09/2012,400.1,9.4,37.4,559.4,
09/09/2012,11.2,9.4,1.2,560.5,

Source: Association of Train Operating Companies (ATOC),,,,,
Telephone: 020 7944 2419,,,,,
Email: rail.stats@dft.gsi.gov.uk,,,,,
