Department for Transport statistics,,,,,,,,,,,,,,,
Bus Statistics (www.gov.uk/government/organisations/department-for-transport/series/bus-statistics),,,,,,,,,,,,,,,
Table BUS0405a (historic data3),,,,,,,,,,,,,,,
"Local bus fares index (at current prices2) by metropolitan area status and country: Great Britain, 1974-1995/96",,,,,,,,,,,,,,,
,,,,,,,1995 average =100,,,,,,,,
Year1,London,English metropolitan areas,English non-metropolitan areas,England,Scotland,Wales,Great Britain,,,,,,,,
1974,..  ,..  ,..  ,..  ,..  ,..,11.2,,,,,,,,
1975,..  ,..  ,..  ,..  ,..  ,..,15.2,,,,,,,,
1976,..  ,..  ,..  ,..  ,..  ,..,19.3,,,,,,,,
1977,..  ,..  ,..  ,..  ,..  ,..,21.6,,,,,,,,
1978,..  ,..  ,..  ,..  ,..  ,..,24.7,,,,,,,,
1979,..  ,..  ,..  ,..  ,..  ,..,27.7,,,,,,,,
1980,34.7,..  ,..  ,..  ,..  ,..,35.4,,,,,,,,
1981,37.0,..  ,..  ,..  ,..  ,..,39.8,,,,,,,,
1982,46.0,41.0,47.3,45.1,53.7,..,46.1,,,,,,,,
1983,46.8,41.8,50.8,47.5,57.0,..,48.7,,,,,,,,
1984,42.9,41.5,54.2,48.0,59.3,..,49.8,,,,,,,,
1985/86,47.6,42.2,57.9,51.0,60.5,..,52.4,,,,,,,,
1986/87,50.5,53.4,60.9,56.8,62.6,..,57.7,,,,,,,,
1987/88,52.9,58.0,64.0,60.2,65.1,..,60.9,,,,,,,,
1988/89,58.7,61.7,67.3,64.1,67.7,..,64.6,,,,,,,,
1989/90,64.7,66.8,72.9,69.5,71.2,..,69.8,,,,,,,,
1990/91,71.4,74.2,80.4,76.7,76.6,..,76.8,,,,,,,,
1991/92,78.2,82.9,86.6,83.6,82.5,..,83.6,,,,,,,,
1992/93,84.2,88.6,90.4,88.3,88.2,90.4,88.4,,,,,,,,
1993/94,90.9,92.9,93.1,92.5,91.3,93.8,92.4,,,,,,,,
1994/95,96.2,96.4,97.0,96.7,96.9,97.4,96.7,,,,,,,,
1995/96,101.1,101.5,101.1,101.2,100.8,100.7,101.2,,,,,,,,
1 Index as at March.,,,,,,,,,,,,,,,
2 Not adjusted for inflation.,,,,,,,,,,,,,,,
3 The figures in this table show historic data.  They are shown separately from figures for recent years as they were compiled differently.,,,,,,,,,,,,,,,
"Where a longer time series is required, a break in the series should be shown from 1995.",,,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,Source: DfT Fares Survey
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,Last updated: 20 September 2012
Bus Statistics - Notes & Definitions,,,,,,,Next update: N/A
The figures in this table are National Statistics,,,,,,,







,,,,,,,





,,,,,,,,
