Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Statistics (http://www.dft.gov.uk/statistics/series/buses/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table BUS0601b [historic data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public service vehicle3 stock4 by type of vehicle2, local and non local operators: Great Britain, annual from 1997/98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,Estimation method1,Buses5,Coaches 4 6,Minibuses 4 7,Total number of vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997/98,,,46.1,19.6,10.5,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998/99,,,47.0,20.8,10.9,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999/00,,,46.4,21.7,11.5,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000/01,,,47.4,21.0,10.8,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001/02,,,46.8,21.3,11.3,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002/03,,,47.7,19.4,11.7,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003/04,,,46.6,19.3,14.2,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004/05,,Old,46.5,19.7,14.4,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004/05,R,New,45.7,22.1,11.4,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005/06,R,,45.8,22.0,11.4,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006/07,R,,46.4,22.6,11.4,80.3,,,,,
2007/08,R,,46.1,22.7,11.3,80.1,,,,,
2008/09,R,,46.3,23.2,11.2,80.7,,,,,
2009/10,R,,46.3,23.5,11.3,81.1,,,,,
2010/11,R,,45.9,23.7,11.7,81.3,,,,,
1 Break in the local bus series (outside London) due to changes in the estimation methodology from 2004/05,,,,,,,,,,,
2 Figures in this table differ from those on buses and coaches published in DfT's Vehicle Licencing Statistics for several reasons.,,,,,,,,,,,
"The latter includes vehicles other than those kept by Public Service Vehicle operators, vehicles subject to a Statutory Off Road",,,,,,,,,,,
"Notification (SORN) and vehicles operated under a special restricted licence as taxis, none of which are counted here.",,,,,,,,,,,
3 Public Service Vehicles in the bus and coach taxation class having nine or more seats. Excludes ,,,,,,,,,,,
community buses and PSVs operated under a special restricted licence as taxis. ,,,,,,,,,,,
"4 This includes all types of operators, both local and non local, although the sample size is smaller for non-local operators who",,,,,,,,,,,
are less likely to keep buses than other vehicle types. As a consequence estimates for coaches and minibuses are somewhat,,,,,,,,,,,
less robust than those for buses.,,,,,,,,,,,
5 Buses are licenced for over 22 passengers (including standing).,,,,,,,,,,,
6 Coaches have 17 or more seats (with no standing),,,,,,,,,,,
7 Minibuses have 8 to 22 passengers (including standing),,,,,,,,,,,
R Previously published figures have been revised.  For details of the revisions (which include planned updates) please see the,,,,,,,,,,,
   technical information (link below),,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,Source: DfT Public Service Vehicle Survey,,,,,
Email: bus.statistics@dft.gsi.gov.uk,,,,,,Last updated: 15 November 2012,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/series/buses/bus-notes-definitions.pdf),,,,,,Next update: None,,,,,
The figures in this table are National Statistics,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
