Department for Transport statistics,,,,,,,,,,
Light Rail Statistics (http://www.dft.gov.uk/statistics/series/light-rail-and-tram/),,,,,,,,,,
Table LRT0106,,,,,,,,,,
Vehicle miles on light rail and trams by system1: England - annual from 1983/84,,,,,,,,,,
,,,,,,,,,,Millions
Financial year,,Docklands Light Railway,Croydon Tramlink,Nottingham Express Transit,Midland Metro,Sheffield Supertram ,Tyne and Wear Metro,Manchester Metrolink,Blackpool Tramway,England
1983/84,,.,.,.,.,.,3.2,.,0.8,3.9
1984/85,,.,.,.,.,.,3.9,.,0.8,4.7
1985/86,,.,.,.,.,.,3.6,.,0.8,4.4
1986/87,,.,.,.,.,.,3.7,.,0.8,4.4
1987/88,,.,.,.,.,.,3.5,.,0.8,4.3
1988/89,,0.5,.,.,.,.,3.4,.,0.8,4.7
1989/90,,0.4,.,.,.,.,3.6,.,0.8,4.8
1990/91,,0.5,.,.,.,.,3.7,.,0.8,5.0
1991/92,,0.6,.,.,.,.,3.7,.,0.8,5.1
1992/93,,0.7,.,.,.,.,3.5,1.2,0.9,6.3
1993/94,,0.7,.,.,.,.,3.4,1.2,0.9,6.2
1994/95,,0.9,.,.,.,0.7,3.5,1.3,0.8,7.2
1995/96,,1.2,.,.,.,1.6,3.4,1.3,0.8,8.3
1996/97,,1.4,.,.,.,1.7,3.1,1.4,0.8,8.4
1997/98,,1.5,.,.,.,1.7,3.0,2.0,0.8,8.9
1998/99,,1.6,.,.,.,1.5,3.0,2.1,0.8,9.0
1999/00,,1.8,.,.,1.1,1.5,3.0,2.3,0.7,10.3
2000/01,,1.8,1.3,.,1.2,1.5,2.9,2.7,0.8,12.2
2001/02,,1.8,1.5,.,1.0,1.5,2.9,2.8,0.8,12.4
2002/03,,2.0,1.5,.,1.1,1.6,3.9,2.9,0.7,13.7
2003/04,,2.1,1.6,0.0,1.0,1.5,3.6,2.8,0.6,13.2
2004/05,,2.0,1.5,0.6,1.0,1.5,3.5,2.8,0.5,13.5
2005/06,,2.1,1.5,0.7,1.0,1.5,3.4,2.8,0.5,13.5
2006/07,,2.7,1.6,0.7,1.0,1.5,3.6,2.3,0.6,14.1
2007/08,,2.8,1.4,0.7,1.0,1.5,3.8,2.5,0.5,14.1
2008/09,,2.5,1.4,0.7,1.0,1.5,3.5,2.4,0.5,13.5
2009/10,,2.8,1.6,0.7,1.0,1.5,3.5,2.1,0.4,13.6
2010/11,,2.9,1.6,0.7,1.0,1.5,3.5,2.3,0.3,13.9
2011/12,,3.1,1.7,0.7,1.0,1.5,3.5,2.9,0.1,14.5
"1 For further information on these systems including infrastructure changes that may affect the figures, please refer to the technical information. ",,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,,Source: DfT Light Rail and Tram Survey
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,,,,Last updated:  19 July 2012
Notes and Definitions (http://assets.dft.gov.uk/statistics/series/light-rail-and-tram/light-rail-notes.pdf),,,,,,,,,,Next update: Summer 2013
The figures in this table are National Statistics,,,,,,,,,,
