Department for Transport statistics,,,,,,,,,,,,,,,,
Light Rail Statistics (http://www.dft.gov.uk/statistics/series/light-rail-and-tram/),,,,,,,,,,,,,,,,
Table LRT0301,,,,,,,,,,,,,,,,
Passenger revenue at 2011/12 prices1 on light rail and trams by system2: England - annual from 1983/84 ,,,,,,,,,,,,,,,,
,,,,,,,,,,£ Millions,,,,,,
Financial year,,Docklands Light Railway,Croydon Tramlink,Nottingham Express Transit,Midland Metro,Sheffield Supertram ,Tyne and Wear Metro,Manchester Metrolink,Blackpool Tramway,England,,,,,,
1983/84,,.,.,.,.,.,24.1,.,5.1,29.3,,,,,,
1984/85,,.,.,.,.,.,25.3,.,4.9,30.2,,,,,,
1985/86,,.,.,.,.,.,26.2,.,5.3,31.5,,,,,,
1986/87,,.,.,.,.,.,27.6,.,5.1,32.7,,,,,,
1987/88,,.,.,.,.,.,28.2,.,5.5,33.7,,,,,,
1988/89,,4.7,.,.,.,.,28.9,.,5.8,39.4,,,,,,
1989/90,,5.7,.,.,.,.,29.0,.,5.9,40.6,,,,,,
1990/91,,5.0,.,.,.,.,27.1,.,5.7,37.8,,,,,,
1991/92,,4.5,.,.,.,.,27.6,.,5.5,37.7,,,,,,
1992/93,,5.2,.,.,.,.,28.3,10.6,5.6,49.7,,,,,,
1993/94,,6.7,.,.,.,.,28.5,14.1,6.2,55.6,,,,,,,,,,
1994/95,,9.4,.,.,.,2.3,28.3,14.5,6.4,60.9,,,,,,,,,,
1995/96,,13.4,.,.,.,5.2,28.1,15.8,6.5,69.0,,,,,,,,,,
1996/97,,16.6,.,.,.,6.5,28.7,18.3,6.2,76.2,,,,,,,,,,
1997/98,,19.0,.,.,.,8.1,30.1,19.4,6.3,82.9,,,,,,,,,,
1998/99,,26.6,.,.,.,8.1,30.0,20.6,5.6,90.9,,,,,,,,,,
1999/00,,27.4,.,.,3.3,8.8,30.4,22.2,5.6,97.7,,,,,,,,,,
2000/01,,37.4,15.8,.,4.0,9.2,31.3,23.6,5.6,126.9,,,,,,,,,,
2001/02,,41.1,16.5,.,4.9,9.7,31.9,25.7,6.0,135.8,,,,,,,,,,
2002/03,,44.3,18.6,.,6.2,12.7,35.7,26.1,5.7,149.3,,,,,,,,,,
2003/04,,45.3,19.6,.,6.3,11.2,38.2,25.5,4.8,150.9,,,,,,,,,,
2004/05,,47.8,21.3,6.9,6.4,13.1,38.5,26.1,5.1,165.2,,,,,,,,,,
2005/06,,53.3,21.8,8.5,6.8,12.1,39.7,26.2,5.0,173.3, ,,,,,,,,,
2006/07,,60.6,21.3,8.4,7.1,14.0,39.6,26.6,5.0,182.6,,,,,,,,,,
2007/08,,69.3,22.9,8.7,6.9,15.1,40.9,24.6,4.4,192.7,,,,,,,,,,
2008/09,,68.4,19.3,9.2,7.1,16.2,44.1,24.0,3.7,192.0,,,,,,,,,,
2009/10,,78.8,17.1,8.3,6.8,15.8,42.9,24.7,3.1,197.7,,,,,,,,,,
2010/11,,90.9,19.6,9.2,7.2,15.6,42.6,28.1,2.5,215.7,,,,,,,,,,
2011/12,,105.3,21.2,8.4,7.4,15.4,42.2,33.7,1.7,235.3,,,,,,,,,,
1 Adjusted for inflation using the GDP market price deflator (as at 28 June 2012).,,,,,,,,,,,,,,,,,,,,
"2 For further information on these systems including infrastructure changes that may affect the figures, please refer to the technical information. ",,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,,Source: DfT Light Rail and Tram Survey,,,,,,,,,,
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,,,,Last updated: 19 July 2012,,,,,,,,,,
Notes and Definitions (http://assets.dft.gov.uk/statistics/series/light-rail-and-tram/light-rail-notes.pdf),,,,,,,,,,Next update: Summer 2013,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
