Department for Transport Statistics,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,
,,,,,,,,
Table RAI0101 (alternative number TSGB0601),,,,,,,,
"Length of national railway route at year end, and passenger travel by national railway and London",,,,,,,,
Underground: annual from 1900,,,,,,,,
,,,,,,,,
,,Length of National Rail route (kilometres)1,,,National Rail,,London Underground ,
Year,,Total route,Electrified route2,Open to Passenger traffic,Passenger journeys (million),Passenger kilometres (billion),Passenger journeys (million),Passenger kilometres (billion)
1900,,"29,783",..,..,..,.. ,..,.. 
1919,,"32,420","1,321",..,"2,064",.. ,..,.. 
1923,,"32,462","1,122",..,"1,772",.. ,..,.. 
1928,,"32,565","1,901",..,"1,250",.. ,..,.. 
1933,,"32,345","2,403",..,"1,159",.. ,..,.. 
1938,,"32,081","3,378",..,"1,237",30.6 ,492,.. 
1946,,"31,963",..,..,"1,266",47.0 ,569,.. 
1947,,"31,950","1,455",..,"1,140",37.0 ,554,5.4 
1948,,"31,593","1,455",..,"1,024",34.2 ,720,6.2 
1949,,"31,500","1,489",..,"1,021",34.0 ,703,6.1 
1950,,"31,336","1,489",..,"1,010",32.5 ,695,6.0 
1951,,"31,152","1,487",..,"1,030",33.5 ,702,5.6 
1952,,"31,022","1,508",..,"1,017",33.3 ,670,5.4 
1953,,"30,935","1,508",..,"1,015",33.5 ,672,5.4 
1954,,"30,821","1,577",..,"1,020",33.3 ,671,5.7 
1955,,"30,676","1,577","23,820",994,32.7 ,676,5.6 
1956,,"30,618","1,624","23,612","1,029",34.0 ,678,5.5 
1957,,"30,521","1,621","23,532","1,101",36.4 ,666,5.4 
1958,,"30,333","1,622","23,621","1,090",35.0 ,692,5.3 
1959,,"29,877","1,799","22,632","1,069",35.8 ,669,5.1 
1960,,"29,562","2,034","22,314","1,037",34.7 ,674,5.2 
1961,,"29,313","2,234","22,043","1,025",33.9 ,675,5.1 
1962,,"28,117","2,511","20,785",965,31.8 ,668,4.9 
1963,,"27,330","2,556","20,328",938,31.5 ,674,4.9 
1964,,"25,735","2,659","18,781",928,32.0 ,674,4.9 
1965 3,,"24,011","2,886","17,516",865,30.1 ,657,4.7 
1966,,"22,082","3,064","16,359",835,29.7 ,667,4.8 
1967,,"21,198","3,241","15,904",837,29.1 ,661,4.8 
1968,,"20,080","3,182","15,242",831,28.7 ,655,4.7 
1969,,"19,470","3,169","15,088",806,29.6 ,676,5.0 
1970,,"18,989","3,162","14,637",824,30.4 ,672,5.1 
1971,,"18,738","3,169","14,484",816,30.1 ,654,5.2 
1972,,"18,417","3,178","14,499",754,28.3 ,655,5.3 
1973,,"18,227","3,462","14,375",728,29.8 ,644,5.2 
1974,,"18,168","3,647","14,373",733,30.9 ,636,5.2 
1975,,"18,118","3,655","14,431",730,30.3 ,601,4.8 
1976,,"18,007","3,735","14,407",702,28.6 ,546,4.4 
1977,,"17,973","3,767","14,413",702,29.3 ,545,4.3 
1978,,"17,901","3,716","14,396",724,30.7 ,568,4.5 
1979,,"17,735","3,718","14,412",748,32.0 ,594,4.5 
1980,,"17,645","3,718","14,394",760,30.3 ,559,4.2 
