Department for Transport Statistics,,,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,,,
,,,,,,,,,,
Table RAI0105 (alternative number TSGB0605),,,,,,,,,,
"National railways: Public Performance Measure, annual from 2002/03",,,,,,,,,,
,,,,,,,,,,Percentage
Public Performance Measure (PPM)1,2002/03,2003/04,2004/05,2005/06,2006/072,2007/08,2008/09,2009/10,2010/11R,2011/12
Long distance operators,70.6,73.4,79.1,82.2,84.9,86.2,87.3,88.9,87.9,89.2
London and South East operators,79.1,80.5,84.7,87.9,88.8,90.6,91.0,91.4,91.1,91.7
Regional operators,80.4,82.8,82.6,85.0,87.6,89.6,90.6,92.0,91.1,92.0
All franchised operators,79.2,81.2,83.5,86.4,88.1,89.9,90.6,91.5,90.8,91.6
1. PPM is a measure of the percentage of trains arriving on time. A train is defined as on time if it arrives at its destination within five minutes of the planned arrival time for,,,,,,,,,,
"    London and South East and regional operators, or within ten minutes for long-distance operators.",,,,,,,,,,
2. Break in the series due to change in methodology (see Notes and Definitions).,,,,,,,,,,
,,,,,,,,,,
Telephone: 020 7944 2419,,,,,,,,,,Source: Office of Rail Regulation
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,,,Last updated: December 2012
,,,,,,,,,,Next updated: December 2013
The figures in this table are outside the scope of National Statistics,,,,,,,,,,
