Department for Transport Statistics,,,,,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,,,,,
,,,,,,,,,,,,
Table RAI0106 (alternative number TSGB0606),,,,,,,,,,,,
Average age of national rail rolling stock: annual from 2000/01,,,,,,,,,,,,
,,,,,,,,,,,,Years
Average age of rolling stock1,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/082,2008/09,2009/10,2010/11,2011/12
Long distance operators,25.97,23.51,22.13,19.03,16.92,15.45,16.15,17.02,18.50,19.56,20.56,21.19
London and South East operators,20.36,20.48,19.89,17.55,14.29,11.97,12.73,13.70,14.65,14.65,15.41,15.90
Regional operators,16.42,15.56,15.73,15.30,15.67,16.56,15.88,17.01,18.05,19.03,19.96,19.74
All operators,20.34,19.86,19.33,17.05,14.68,13.20,13.70,15.13,16.15,16.51,17.34,17.73
1. Average age at the end of the financial year.,,,,,,,,,,,,
2. Break in the series due to change in methodology (see Notes and Definitions).,,,,,,,,,,,,
,,,,,,,,,,,,
Telephone: 020 7944 2419,,,,,,,,,,,,Source: Office of Rail Regulation
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,,,,,Last updated: December 2012
,,,,,,,,,,,,Next updated: December 2013
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,
