Department for Transport Statistics,,,,,,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,,,,,,
,,,,,,,,,,,,,
Table RAI0301 (alternative number TSGB0602),,,,,,,,,,,,,
"National railways: passenger revenue1, annual from 2000/01",,,,,,,,,,,,,
,,,,,,,,,,,,£ Million,
,2000/01,2001/02,2002/03,2003/043,2004/05,2005/06,2006/07,2007/083,2008/09,2009/10,2010/11,2011/12,
Ordinary fares,"2,463","2,585","2,693","2,890","3,088","3,323","3,714","4,120","4,443","4,608","4,965","5,447",
Season tickets,950,964,970,"1,011","1,071","1,170","1,298","1,434","1,561","1,571","1,654","1,782",
All tickets (current prices),"3,413","3,548","3,663","3,901","4,158","4,493","5,012","5,555","6,004","6,179","6,620","7,229",
All tickets (2011/12 prices)2,"4,433","4,522","4,555","4,746","4,914","5,191","5,639","6,098","6,416","6,505","6,774","7,229",
1. Franchised operators only.,,,,,,,,,,,,,
2. Adjusted to 2011/12 prices using the GDP market price deflator.,,,,,,,,,,,,,
3. Break in series due to change in methodology (see Notes and Definitions).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Telephone: 020 7944 2419,,,,,,,,,,,,Source: Office of Rail Regulation,
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,,,,,Last updated: December 2012
,,,,,,,,,,,,Next updated: December 2013
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,
