Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic (http://www.dft.gov.uk/statistics/series/traffic/),,,,,,,,,,,,,,,,,,,,,,,,,
Table TRA0102b,,,,,,,,,,,,,,,,,,,,,,,,,
"Motor vehicle traffic (vehicle miles) by road class in Great Britain, annual from 1993 to 2011",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Billion vehicle miles,,,,,,,,,,,,,,,
,,Major roads,,,,,,,,,,,,,,,,,,,,,,,
,,,A' roads,,,,Minor roads,,,,,,,,,,,,,,,,,,
Year,,Motorway 2,Rural,Urban,All 'A' roads,All major roads,Rural,Urban,All minor roads,All roads,,,,,,,,,,,,,,,
1993,,42.4,70.4,48.0,118.5,160.8,34.8,60.6,95.4,256.2,,,,,,,,,,,,,,,
1994,,44.0,72.4,48.8,121.2,165.2,35.8,61.0,96.8,261.9,,,,,,,,,,,,,,,
1995,,45.9,74.3,49.7,124.0,169.9,35.9,61.2,97.1,267.0,,,,,,,,,,,,,,,
1996,,48.6,76.7,50.3,127.0,175.6,36.6,61.9,98.5,274.1,,,,,,,,,,,,,,,
1997,,51.0,78.7,50.3,129.0,180.0,37.3,62.5,99.8,279.8,,,,,,,,,,,,,,,
1998,,53.3,79.9,50.5,130.5,183.7,37.5,63.6,101.1,284.9,,,,,,,,,,,,,,,
1999,,54.6,81.2,50.9,132.1,186.7,38.1,65.4,103.5,290.2,,,,,,,,,,,,,,,
2000,,54.9,80.8,50.7,131.5,186.4,38.1,65.1,103.2,289.7,,,,,,,,,,,,,,,
2001,,56.4,82.8,50.9,133.7,190.1,38.0,65.5,103.6,293.7,,,,,,,,,,,,,,,
2002,,57.6,84.7,51.1,135.8,193.4,39.7,67.5,107.2,300.6,,,,,,,,,,,,,,,
2003,,57.8,86.5,50.8,137.3,195.1,39.5,67.7,107.3,302.4,,,,,,,,,,,,,,,
2004,,60.0,87.8,51.5,139.2,199.3,40.4,67.3,107.7,306.9,,,,,,,,,,,,,,,
2005,,60.3,87.8,50.8,138.6,198.9,40.8,67.2,107.9,306.9,,,,,,,,,,,,,,,
2006,,61.8,89.2,51.3,140.5,202.3,42.2,66.9,109.1,311.4,,,,,,,,,,,,,,,
2007,,62.5,89.2,50.5,139.7,202.2,43.7,68.1,111.8,314.1,,,,,,,,,,,,,,,
2008,,62.2,88.7,49.7,138.5,200.7,43.7,66.7,110.3,311.0,,,,,,,,,,,,,,,
2009,,61.8,88.2,50.0,138.2,200.0,42.4,65.7,108.1,308.1,,,,,,,,,,,,,,,
2010,,61.0,86.9,49.5,136.4,197.4,42.3,63.5,105.8,303.2,,,,,,,,,,,,,,,
2011,,61.8,87.7,49.3,137.0,198.8,41.2,63.8,105.0,303.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Urban roads: Major and minor roads within an urban area with a population of 10,000 or more. These are based on the 2001 urban settlements.  The definition for 'urban settlement' is in 'Urban and rural area definitions: a user guide which can be found on the CLG web site at: www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/urbanrural/",,,,,,,,,,,,,,,,,,,,,,,,,
2 Includes trunk motorways and principal motorways,,,,,,,,,,,,,,,,,,,,,,,,,
3.The 2011 estimates presented here were revised in August 2012 to correct for omitted data for a small number of sections of the major road network in Scotland. Further details are avaliable at  http://dft.gov.uk/statistics/series/traffic/ 2011 Road Traffic Estimates - Note of Revision Aug 2012.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3095,,,,,,,,,,Source: DfT National Road Traffic Survey,,,,,,,,,,,,,,,
Email: roadtraff.stats@dft.gsi.gov.uk,,,,,,,,,,Last updated: June 2012
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/traffic-estimates-2011/traffic-estimates-2011-notes.pdf),,,,,,,,,,Revised: August 2012
The figures in this table are National Statistics.,,,,,,,,,,Next update: June 2013
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
