Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic (http://www.dft.gov.uk/statistics/series/traffic),,,,,,,,,,,,,,,,,,,,,,,,,
Table TRA0202a,,,,,,,,,,,,,,,,,,,,,,,,,
"Motor vehicle traffic (vehicle kilometres) by road class in Great Britain, 1950 to 1993",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Billion vehicle kilometres,,,,,,,,,,,,,,,
,,Major roads,,,,,,,,,,,,,,,,,,,,,,,
,,,'A' roads,,,,Minor roads,,,,,,,,,,,,,,,,,,
Year,,Motorway 2,Non-built-up,Built-up,All 'A' roads,All major roads,Non-built-up,Built-up,All minor roads,All roads,,,,,,,,,,,,,,,
1950,,.,..  ,..  ,..  ,..  ,..  ,..  ,..  ,53.1,,,,,,,,,,,,,,,
1955,,.,..  ,..  ,..  ,..  ,..  ,..  ,..  ,77.0,,,,,,,,,,,,,,,
1960,,0.7,31.8,32.8,64.6,65.4,19.9,27.1,47.0,112.3,,,,,,,,,,,,,,,
1965,,3.8,43.6,47.6,91.3,95.1,..  ,..  ,67.6,162.7,,,,,,,,,,,,,,,
1970,,9.5,51.9,56.3,108.2,117.7,..  ,..  ,82.8,200.5,,,,,,,,,,,,,,,
1975,,21.9,60.0,59.2,119.2,141.1,37.8,52.8,90.6,231.7,,,,,,,,,,,,,,,
1980,,29.4,69.8,64.7,134.5,163.8,39.0,69.1,108.1,271.9,,,,,,,,,,,,,,,
1985,,38.0,86.8,66.4,153.2,191.2,43.4,75.1,118.5,309.7,,,,,,,,,,,,,,,
1990,,61.6,114.8,78.3,193.1,254.8,51.6,104.4,156.1,410.8,,,,,,,,,,,,,,,
1991,,61.0,117.0,79.4,196.5,257.4,50.7,103.4,154.2,411.6,,,,,,,,,,,,,,,
1992,,61.5,117.0,79.5,196.5,258.0,49.7,104.4,154.1,412.1,,,,,,,,,,,,,,,
1993,,63.9,118.1,78.0,196.1,260.0,45.5,106.7,152.2,412.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Prior to 1993, built-up roads are those with a speed limit of 40 mph or less (irrespective of whether there are buildings or not). ",,,,,,,,,,Source: DfT National Road Traffic Survey,,,,,,,,,,,,,,,
2 Includes trunk motorways and principal motorways,,,,,,,,,,Last updated: June 2011,,,,,,,,,,,,,,,
Telephone: 020 7944 3095,,,,,,,,,,,,,,,,,,,,,,,,,
Email: roadtraff.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/traffic-estimates-2010/traffic-estimates-2010-notes.pdf),,,,,,,,,,,,,,,,,,,,,,,,,
The figures in this table are National Statistics.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
