Department for Transport statistics,,,,,,,,
Traffic (http://www.dft.gov.uk/statistics/series/traffic/),,,,,,,,
Table TRA0104,,,,,,,,
"Road traffic (vehicle miles) by vehicle type and road class in Great Britain, annual 2011",,,,,,,,
,,,,,,,,Billion vehicle miles
,,Cars and taxis,Motorcycles ,Buses & coaches,Light vans,Goods vehicles,All motor vehicles,Pedal cycles
Motorways 2,,46.6,0.2,0.3,7.8,6.9,61.8,-
Rural 'A' roads:,,-,-,-,-,-,-,-
,Trunk 3,27.5,0.2,0.2,4.9,3.2,36.1,-
,Principal,41.1,0.5,0.4,7.1,2.5,51.6,0.1
,All rural 'A' roads,68.7,0.7,0.6,12.0,5.7,87.7,0.1
Urban 'A' roads: 1,,-,-,-,-,-,-,-
,Trunk 3,2.6,-,-,0.4,0.2,3.3,-
,Principal,37.6,0.5,0.7,5.7,1.4,45.9,0.4
,All urban 'A' roads,40.2,0.5,0.7,6.2,1.6,49.3,0.4
All major roads 4,,155.5,1.5,1.6,25.9,14.3,198.8,0.6
Minor roads:,,-,-,-,-,-,-,-
,Minor rural roads,32.8,0.5,0.3,6.7,0.9,41.2,0.7
,Minor urban roads 1,52.4,0.9,1.0,8.7,0.8,63.8,1.8
,All minor roads,85.2,1.4,1.3,15.4,1.6,105.0,2.5
All roads,,240.7,2.9,2.9,41.4,15.9,303.8,3.1
,,,,,,,,
"1 Urban roads: Major and minor roads within an urban area with a population of 10,000 or more. ",,,,,,,,Source: DfT National Road Traffic Survey
These are based on the 2001 urban settlements.  The definition for 'urban settlement' is in 'Urban and rural area definitions: a user guide which can be found on the CLG web site at: www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/urbanrural/,,,,,,,,Last updated: June 2012
and rural area definitions: a user guide which can be found on the CLG web site at: www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/urbanrural/,,,,,,,,Revised: August 2012
2 Includes trunk motorways and principal motorways,,,,,,,,Next update: June 2013
3 Figures for trunk and principal roads in England since 2001 are affected by the detrunking programme,,,,,,,,
"4 Includes motorways, urban and rural 'A' roads",,,,,,,,
5.The 2011 estimates presented here were revised in August 2012 to correct for omitted data for a small number of sections of the major road network in Scotland. Further details are avaliable at  http://dft.gov.uk/statistics/series/traffic/ 2011 Road Traffic Estimates - Note of Revision Aug 2012.pdf,,,,,,,,
,,,,,,,,
Telephone: 020 7944 3095,,,,,,,,
Email: roadtraff.stats@dft.gsi.gov.uk,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/traffic-estimates-2011/traffic-estimates-2011-notes.pdf),
The figures in this table are National Statistics.,
