Department for Transport statistics,,,,,,,,,,,,
Traffic (http://www.dft.gov.uk/statistics/series/traffic),,,,,,,,,,,,
Table TRA0204,,,,,,,,,,,,
"Road traffic (vehicle kilometres) by vehicle type and road class in Great Britain, annual 2011",,,,,,,,,,,,
,,,,,,,,Billion vehicle kilometres,,,,
,,Cars and taxis,Motorcycles,Buses & coaches,Light vans,Goods vehicles,All motor vehicles,Pedal cycles,,,,
Motorways 2,,75.0,0.4,0.4,12.5,11.2,99.5,-,,,,
Rural 'A' roads:,,,,,,,,,,,,
,Trunk 3,44.3,0.4,0.3,7.9,5.2,58.1,-,,,,
,Principal,66.2,0.8,0.6,11.4,4.1,83.1,0.2,,,,
,All rural 'A' roads,110.5,1.1,0.9,19.3,9.3,141.2,0.2,,,,
Urban 'A' roads: 1,,,,,,,,,,,,
,Trunk 3,4.3,-,-,0.7,0.3,5.4,-,,,,
,Principal,60.5,0.8,1.1,9.2,2.3,73.9,0.7,,,,
,All urban 'A' roads,64.7,0.8,1.2,9.9,2.6,79.3,0.7,,,,
All major roads 4,,250.3,2.4,2.5,41.7,23.0,319.9,0.9,,,,
Minor roads:,,,,,,,,,,,,
,Minor rural roads,52.8,0.8,0.5,10.8,1.4,66.3,1.1,,,,
,Minor urban roads 1,84.3,1.5,1.7,14.0,1.2,102.7,2.9,,,,
,All minor roads,137.1,2.3,2.1,24.9,2.6,169.0,4.0,,,,
All roads,,387.4,4.6,4.7,66.6,25.6,488.9,4.9,,,,
,,,,,,,,,,,,
"1 Urban roads: Major and minor roads within an urban area with a population of 10,000 or more. These are based on the 2001 urban settlements.  The definition for 'urban settlement' is in 'Urban and rural area definitions: a user guide which can be found on the CLG web site at: www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/urbanrural/",,,,,,,,Source: DfT National Road Traffic Survey,,,,
2 Includes trunk motorways and principal motorways,,,,,,,,Last updated: June 2012,,,,
3 Figures for trunk and principal roads in England since 2001 are affected by the detrunking programme,,,,,,,,Revised: August 2012,,,,
"4 Includes motorways, urban and rural 'A' roads",,,,,,,,Next update: June 2013,,,,
5.The 2011 estimates presented here were revised in August 2012 to correct for omitted data for a small number of sections of the major road network in Scotland. Further details are avaliable at  http://dft.gov.uk/statistics/series/traffic/ 2011 Road Traffic Estimates - Note of Revision Aug 2012.pdf,,,,,,,,,,,,
,,,,,,,,,,,,
Telephone: 020 7944 3095,,,,,,,,,,,,
Email: roadtraff.stats@dft.gsi.gov.uk,,,,,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/traffic-estimates-2011/traffic-estimates-2011-notes.pdf),,,,,,,,,,,,
The figures in this table are National Statistics.,,,,,,,,,,,,
