Department for Transport statistics,,,,,,,,,,,,,,,,,,,
Traffic (http://www.dft.gov.uk/statistics/series/traffic),,,,,,,,,,,,,,,,,,,
Table TRA9905,,,,,,,,,,,,,,,,,,,
Forecasts of road traffic in England and vehicles in Great Britain 1,,,,,,,,,,,,,,,,,,,
,,,,,Index: 2003 = 100,,,,,,,,,,,,,,
,,2003,2010,2015,2020,2025,2030,2035,,,,,,,,,,,
Traffic volume: England:,,,,,,,,,,,,,,,,,,,
,Cars and taxis,100,99,102,112,123,130,136,,,,,,,,,,,
,Goods vehicles 2,100,92,106,112,118,123,131,,,,,,,,,,,
,Light goods vehicles ,100,117,135,157,177,197,219,,,,,,,,,,,
,Buses and coaches,100,96,93,89,89,89,86,,,,,,,,,,,
,All motor traffic (except two wheelers),100,101,106,117,129,137,145,,,,,,,,,,,
Car ownership 3: Great Britain:,,,,,,,,,,,,,,,,,,,
,Cars per person,100,107,111,114,117,120,123,,,,,,,,,,,
,Number of cars,100,109,117,124,131,138,146,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"1 The traffic forecasts are central forecasts taken from the Department's Road Transport Forecasts for England 2011, which is available on the website at: http://www.dft.gov.uk/publications/road-transport-forecasts-2011/. The published paper also contains a forecast range reflecting uncertainties in the key forecasting assumptions that affect travel demand; and a break down of the forecasts by region.",,,,,,,,Source: Transport Appraisal and Startegic Modelling
2 Over 3.5 tonnes gross vehicle weight,,,,,,,,Last updated: January 2012
3 Car Ownership Data is taken from the NTEM dataset (Ver 6.1). More detailed data can be obtained from the TEMPRO website: www.dft.gov.uk/tempro,,,,,,,,Next update: 2013
Telephone: 020 7944 6197,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/traffic-estimates-2010/traffic-estimates-2010-notes.pdf),,,,,,,,
The figures in this table are not National Statistics.,,,,,,,,
