Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RDL0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Road lengths (kilometres) by road type and region and country in Great Britain, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Kilometres,,,,,,,,,,,,,,,
,,Major roads,,,,,,,,,,,Minor roads,,,,,,,,,,All roads,,,,,,,,,,,,,,,
,,,of which,,,of which,,,of which,,All major roads,,,of which,,,,of which,,,All minor roads,,,,,,,,,,,,,,,,,
,,Motorways1,Trunk,Principal,Rural 'A' 1,Trunk,Principal,Urban 'A' 1,Trunk,Principal,,,Minor rural1,Rural 'B',Rural 'C',Rural 'U',Minor urban1,Urban 'B',Urban 'C',Urban 'U',,,,,,,,,,,,,,,,,,
(a) Total length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,,58,56,2,"1,272",294,978,496,49,447,"1,826",,"7,439","1,086","2,376","3,977","6,899",255,468,"6,177","14,338",,"16,163",,,,,,,,,,,,,,,
North West,,646,624,21,"2,312",273,"2,039","1,680",32,"1,648","4,638",,"13,667","1,271","4,474","7,923","18,637",731,"1,173","16,733","32,305",,"36,942",,,,,,,,,,,,,,,
Yorkshire and the Humber,,384,380,4,"2,270",283,"1,987","1,072",15,"1,057","3,725",,"15,546","1,467","4,826","9,254","12,688",451,981,"11,255","28,234",,"31,959",,,,,,,,,,,,,,,
East Midlands,,195,195,0,"3,174",555,"2,619",689,35,654,"4,058",,"18,259","1,621","6,874","9,764","8,997",388,928,"7,681","27,256",,"31,313",,,,,,,,,,,,,,,
West Midlands,,430,427,3,"2,453",398,"2,055","1,094",41,"1,053","3,977",,"16,106","1,871","5,881","8,354","12,768",633,"1,041","11,095","28,874",,"32,851",,,,,,,,,,,,,,,
East of England,,265,265,0,"3,068",740,"2,328",816,34,782,"4,149",,"24,578","2,811","8,560","13,208","10,907",428,"1,253","9,227","35,486",,"39,634",,,,,,,,,,,,,,,
London,,60,60,0,62,0,62,"1,651",0,"1,651","1,773",,306,38,76,192,"12,721",479,785,"11,457","13,027",,"14,800",,,,,,,,,,,,,,,
South East,,655,644,11,"3,777",627,"3,151","1,456",45,"1,411","5,888",,"22,925","2,279","7,691","12,955","18,804",800,"2,030","15,974","41,729",,"47,617",,,,,,,,,,,,,,,
South West,,327,327,0,"4,237",709,"3,528",711,27,684,"5,275",,"34,339","2,829","13,772","17,738","10,285",450,"1,184","8,651","44,624",,"49,899",,,,,,,,,,,,,,,
England,,"3,019","2,978",41,"22,624","3,878","18,746","9,664",278,"9,386","35,307",,"153,164","15,271","54,529","83,365","112,707","4,613","9,844","98,250","265,871",,"301,178",,,,,,,,,,,,,,,
Wales,,141,141,0,"3,645","1,499","2,147",516,48,468,"4,303",,"22,668","2,629","9,173","10,867","6,859",381,633,"5,845","29,527",,"33,830",,,,,,,,,,,,,,,
Scotland,,410,410,0,"9,377","2,718","6,659",908,88,820,"10,695",,"36,848","6,811","9,885","20,152","11,745",503,768,"10,475","48,594",,"59,288",,,,,,,,,,,,,,,
Great Britain,,"3,570","3,529",41,"35,646","8,095","27,551","11,088",414,"10,674","50,304",,"212,681","24,711","73,587","114,383","131,311","5,497","11,245","114,570","343,992",,"394,296",,,,,,,,,,,,,,,
(b) Length which is major road dual carriageway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,,58,56,2,314,189,125,167,38,129,539,,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
North West,,644,623,21,293,101,193,417,14,404,"1,355",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
Yorkshire and the Humber,,372,369,4,293,194,99,296,11,286,962,,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
East Midlands,,194,194,0,505,339,166,165,29,136,864,,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
West Midlands,,412,409,3,348,174,174,360,31,329,"1,120",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
East of England,,265,265,0,846,538,308,185,24,161,"1,296",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
London,,60,60,0,23,0,23,411,0,411,495,,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
South East,,653,643,11,893,473,419,368,30,338,"1,913",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
South West,,327,327,0,546,399,147,182,17,165,"1,055",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
England,,"2,985","2,945",41,"4,062","2,407","1,655","2,552",193,"2,359","9,599",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
Wales,,141,141,0,426,329,97,122,19,104,689,,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
Scotland,,395,395,0,547,456,91,235,50,185,"1,176",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
Great Britain,,"3,521","3,481",41,"5,034","3,191","1,843","2,909",261,"2,648","11,464",,.,.,.,.,.,.,.,.,.,,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Use controls at top of sheet to expand/collapse selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3180,,,,,,,,,,,,,,,,,,,,,,,Source: Department for Transport,,,,,,,,,,,,,,,
Email: road.length@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes and definitions,,,,,,,,,,,,,,,,,,,,,,,Last updated: 28 June 2012,,,,,,,,,,,,,,,
Methodology note,,,,,,,,,,,,,,,,,,,,,,,Next update: June 2013,,,,,,,,,,,,,,,

The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
