Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RDL0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Road lengths (miles) by road type and region and country in Great Britain, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Major roads,,,,,,,,,,,Minor roads,,,,,,,,,,All roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,of which,,,of which,,,of which,,All major roads,,,of which,,,,of which,,,All minor roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Motorways1,Trunk,Principal,Rural 'A' 1,Trunk,Principal,Urban 'A' 1,Trunk,Principal,,,Minor rural1,Rural 'B',Rural 'C',Rural 'U',Minor urban1,Urban 'B',Urban 'C',Urban 'U',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Total length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,,36,35,2,790,183,608,308,30,278,"1,134",,"4,622",675,"1,477","2,471","4,287",158,291,"3,838","8,909",,"10,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West,,401,388,13,"1,437",170,"1,267","1,044",20,"1,024","2,882",,"8,492",790,"2,780","4,923","11,581",454,729,"10,398","20,073",,"22,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkshire and the Humber,,238,236,2,"1,411",176,"1,235",666,9,657,"2,315",,"9,660",911,"2,999","5,750","7,884",280,610,"6,994","17,544",,"19,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Midlands,,121,121,0,"1,972",345,"1,627",428,22,406,"2,521",,"11,345","1,007","4,271","6,067","5,590",241,577,"4,773","16,936",,"19,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Midlands,,267,265,2,"1,524",247,"1,277",680,26,654,"2,471",,"10,008","1,163","3,654","5,191","7,934",393,647,"6,894","17,942",,"20,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,
East of England,,165,165,0,"1,907",460,"1,447",507,21,486,"2,578",,"15,272","1,747","5,319","8,207","6,778",266,779,"5,733","22,050",,"24,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,,37,37,0,38,0,38,"1,026",0,"1,026","1,102",,190,24,47,119,"7,905",297,488,"7,119","8,095",,"9,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,
