Department for Transport statistics,,,,,,,,,,,,,
Free Flow Vehicle Speeds (http://www.dft.gov.uk/statistics/series/speeds/),,,,,,,,,,,,,
Table SPE0101,,,,,,,,,,,,,
"Free-flow vehicle speeds on non-built-up roads by road type and vehicle type in Great Britain, 2011",,,,,,,,,,,,,
,,,,,,,,,,,,Per cent / miles per hour / number of vehicles,
,,,,,,,Heavy goods vehicles 5,,,,,,
,,,,,,,Rigid by number of axles,,,,Articulated by number of axles,,
,,Motorcycles 7,Cars,Cars towing,Light Goods 4,Buses / Coaches,2 6,3,4 or more,,3 & 4,5 or more,
(a) Motorways 1,,,,,,,,,,,,,
Under 50 mph,,3,3,12,3,5,6,10,12,,10,9,
50-59 mph,,26,13,57,15,41,51,81,86,,86,90,
60-64 mph,,9,14,20,13,25,11,8,0,,2,0,
65-69 mph,,13,20,8,19,11,12,0,0,,1,0,
70-74 mph,,16,21,3,20,10,10,0,0,,0,0,
75-79 mph,,14,15,1,15,5,6,0,0,,0,0,
80-89 mph,,15,12,0,13,3,4,0,0,,0,0,
90 mph and over,,5,2,0,2,0,1,0,0,,0,0,
Speed limit (mph),,70,70,60,70,70,n/a,60,60,,60,60,
Percentage more than 10 mph over limit,,20,13,4,15,3,n/a,0,1,,1,0,
Average speed (mph),,69,69,57,70,62,61,54,54,,54,54,
Number observed (thousands),,"3,201","472,755","3,256","82,884","6,369","30,959","2,863","1,716",,"7,260","42,829",
,,,,,,,,,,,,,
(b) Dual carriageways 2 ,,,,,,,,,,,,,
Under 30 mph,,0,0,1,0,0,1,0,0,,0,0,
30-39 mph,,1,0,1,0,0,1,1,1,,1,0,
40-49 mph,,5,3,15,3,9,8,18,18,,20,15,
50-59 mph,,17,17,53,18,41,50,70,80,,75,83,
60-64 mph,,10,17,18,16,25,13,10,0,,2,1,
65-69 mph,,15,22,8,21,12,12,0,0,,1,0,
70-79 mph,,31,32,4,32,11,12,0,1,,1,0,
80 mph and over,,21,9,0,11,2,3,0,0,,0,0,
Speed limit (mph),,70,70,60,70,60,n/a,50,50,,50,50,
Percentage more than 10 mph over limit,,21,9,4,11,13,n/a,10,1,,5,1,
Average speed (mph),,70,68,56,68,60,59,53,53,,53,53,
Number observed (thousands),,370,"46,092",360,"7,127",385,"2,548",257,210,,453,"2,763",
,,,,,,,,,,,,,
(c) Single carriageways 3,,,,,,,,,,,,,
Under 20 mph,,1,0,2,0,0,1,1,1,,1,0,
20-29 mph,,3,3,7,3,3,3,6,6,,8,3,
30-39 mph,,11,16,21,15,21,19,27,27,,25,26,
40-49 mph,,33,44,51,42,50,46,50,48,,48,53,
50-59 mph,,28,29,18,30,22,25,15,17,,17,19,
60-64 mph,,9,5,1,6,2,4,0,0,,1,0,
65-69 mph,,5,2,0,2,1,1,0,0,,0,0,
70 mph and over,,9,1,0,2,1,1,0,0,,0,0,
Speed limit (mph),,60,60,50,60,50,n/a,40,40,,40,40,
Percentage more than 10 mph over limit,,9,1,1,2,4,n/a,16,18,,18,19,
Average speed (mph),,52,48,42,48,45,46,42,43,,43,44,
Number observed (thousands),,464,"40,840",403,"5,816",410,"1,957",223,168,,275,"1,164",
,,,,,,,,,,,,,
1 Average vehicle speeds from 26 motorway sites.,,,,,,,,,,,,Source: DfT Automatic Traffic Counters,
2 Average vehicle speeds from 7 dual carriageway sites.,,,,,,,,,,,,Last updated: July 2012,
3 Average vehicle speeds from 24 single carriageway sites.,,,,,,,,,,,,Next update: July 2013,
4 Goods vehicles 3.5 tonnes gross weight and under.,,,,,,,,,,,,,
5 Goods vehicles over 3.5 tonnes gross weight.,,,,,,,,,,,,,
6 Speed limit depends on loading which cannot be determined.,,,,,,,,,,,,,
7 Motorcycles include mopeds and other types of two wheeled motor vehicles.,,,,,,,,,,,,,
Telephone: 020 7944 3095,,,,,,,,,,,,,
Email: roadtraff.stats@dft.gsi.gov.uk,,,,,,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/free-flow-vehicle-speeds-2010/free-flow-vehicle-speeds-2010-notes.pdf),,,,,,,,,,,,,
The figures in this table are National Statistics.,,,,,,,,,,,,,

,,,,,,,,,,,,,
