Department for Transport statistics,,,,,,,,,,,
Congestion & Reliability Statistics,,,,,,,,,,,
Table CGN0201b,,,,,,,,,,,
"Average vehicle journey times (flow-weighted) during the weekday morning peak1 on locally managed 'A' roads2: by local authority in England, annually from 2006/73",,,,,,,,,,,
,,,,,,,,,,minutes per mile,
,,,,,Average journey time,,,,,"Percent change 
2009/10 to 2010/11",
Country / region / local authority,,,,ONS area code,2006/7,2007/8,2008/9,2009/10,2010/11,,
ENGLAND,,,,E92000001 (921),2.43,2.43,2.39,2.40,2.39,-0.1,
,NORTH EAST,,,E12000001 (A),2.09,2.10,2.10,2.11,2.12,0.4,
,,County Durham UA,,E06000047 (00EJ),1.77,1.77,1.77,1.80,1.82,1.0,
,,Darlington UA,,E06000005 (00EH),2.19,2.24,2.18,2.20,2.21,0.4,
,,Hartlepool UA,,E06000001 (00EB),1.69,1.95,1.73,1.73,1.76,1.9,
,,Middlesbrough UA,,E06000002 (00EC),2.21,2.21,2.41,2.27,2.18,-4.2,
,,Northumberland UA,,E06000048 (00EM),1.62,1.64,1.66,1.68,1.68,0.3,
,,Redcar and Cleveland UA,,E06000003 (00EE),1.62,1.62,1.61,1.62,1.68,3.9,
,,Stockton-on-Tees UA,,E06000004 (00EF),2.32,2.29,2.27,2.32,2.34,0.6,
,,Tyne and Wear (Met County),,E11000004 (2D),2.57,2.56,2.55,2.57,2.58,0.3
,,,Gateshead,E08000020 (00CH),2.92,2.84,2.84,2.89,2.89,-0.1
,,,Newcastle upon Tyne,E08000021 (00CJ),3.25,3.24,3.22,3.16,3.14,-0.6
,,,North Tyneside,E08000022 (00CK),2.28,2.38,2.39,2.33,2.32,-0.3
,,,South Tyneside,E08000023 (00CL),2.67,2.62,2.60,2.69,2.76,2.5
,,,Sunderland,E08000024 (00CM),2.05,2.00,1.97,2.05,2.07,0.9
,NORTH WEST,,,E12000002 (B),2.67,2.67,2.63,2.65,2.65,-0.3
,,Blackburn with Darwen UA,,E06000008 (00EX),3.15,3.16,3.13,3.12,3.05,-2.5
,,Blackpool UA,,E06000009 (00EY),3.21,3.26,3.17,3.20,3.36,5.0
,,Cheshire East UA,,E06000049 (00EQ),2.15,2.16,2.11,2.10,2.14,2.0
,,Cheshire West and Chester UA,,E06000050 (00EW),2.02,2.06,2.03,2.01,2.01,0.1
,,Halton UA,,E06000006 (00ET),1.70,1.72,1.60,1.74,1.62,-6.9
,,Warrington UA,,E06000007 (00EU),2.78,2.82,2.68,2.75,2.74,-0.6
,,Cumbria,,E10000006 (16),1.91,1.91,1.93,1.93,1.92,-0.9
,,Lancashire,,E10000017 (30),2.38,2.37,2.37,2.36,2.34,-1.1
,,Greater Manchester (Met County),,E11000001 (2A),3.33,3.31,3.24,3.29,3.28,-0.1
,,,Bolton,E08000001 (00BL),2.84,2.85,2.87,2.91,2.87,-1.2
,,,Bury,E08000002 (00BM),3.37,3.29,3.29,3.30,3.18,-3.5
,,,Manchester,E08000003 (00BN),3.79,3.74,3.72,3.84,3.81,-0.8
,,,Oldham,E08000004 (00BP),3.02,3.09,3.07,3.11,3.12,0.1
,,,Rochdale,E08000005 (00BQ),3.06,3.05,2.97,3.08,3.12,1.1
,,,Salford,E08000006 (00BR),3.55,3.53,3.48,3.42,3.38,-1.2
,,,Stockport,E08000007 (00BS),3.55,3.42,3.25,3.28,3.36,2.3
,,,Tameside,E08000008 (00BT),3.59,3.68,3.55,3.66,3.72,1.6
,,,Trafford,E08000009 (00BU),3.28,3.26,3.13,3.18,3.20,0.8
,,,Wigan,E08000010 (00BW),3.10,3.10,2.94,2.95,2.98,1.0
,,Merseyside (Met County),,E11000002 (2B),2.75,2.78,2.75,2.77,2.75,-0.8
,,,Knowsley,E08000011 (00BX),1.95,2.00,1.96,2.01,1.95,-3.3
,,,Liverpool,E08000012 (00BY),3.51,3.54,3.50,3.50,3.48,-0.8
,,,Sefton,E08000014 (00CA),2.65,2.67,2.64,2.69,2.67,-0.6
,,,St. Helens,E08000013 (00BZ),2.27,2.27,2.27,2.26,2.25,-0.4
,,,Wirral,E08000015 (00CB),2.52,2.55,2.51,2.54,2.54,-0.1
,YORKSHIRE AND THE HUMBER,,,E12000003 (D),2.44,2.43,2.40,2.39,2.36,-1.1
,,East Riding of Yorkshire UA,,E06000011 (00FB),1.66,1.67,1.67,1.69,1.72,1.6
,,"Kingston upon Hull, City of UA",,E06000010 (00FA),3.80,3.84,3.73,3.65,3.59,-1.5
,,North East Lincolnshire UA,,E06000012 (00FC),2.39,2.35,2.37,2.40,2.39,-0.4
,,North Lincolnshire UA,,E06000013 (00FD),1.63,1.60,1.61,1.60,1.63,1.9
,,York UA,,E06000014 (00FF),2.96,2.93,2.93,2.96,2.87,-3.2
,,North Yorkshire,,E10000023 (36),1.74,1.75,1.79,1.77,1.75,-0.8
,,South Yorkshire (Met County),,E11000003 (2C),2.61,2.56,2.50,2.53,2.51,-0.7
,,,Barnsley,E08000016 (00CC),2.20,2.17,2.16,2.23,2.21,-1.1
,,,Doncaster,E08000017 (00CE),2.33,2.36,2.27,2.34,2.32,-1.2
,,,Rotherham,E08000018 (00CF),2.31,2.28,2.21,2.23,2.17,-2.6
,,,Sheffield,E08000019 (00CG),3.22,3.09,3.05,3.04,3.04,-0.1
,,West Yorkshire (Met County),,E11000006 (2F),2.84,2.85,2.79,2.75,2.71,-1.8
,,,Bradford,E08000032 (00CX),3.17,3.18,3.17,2.96,2.93,-1.1
,,,Calderdale,E08000033 (00CY),2.79,2.82,2.76,2.86,2.78,-2.7
,,,Kirklees,E08000034 (00CZ),2.84,2.88,2.88,2.91,2.86,-1.9
,,,Leeds,E08000035 (00DA),2.83,2.82,2.68,2.62,2.59,-1.2
,,,Wakefield,E08000036 (00DB),2.52,2.53,2.51,2.52,2.44,-3.4
,EAST MIDLANDS,,,E12000004 (E),2.09,2.07,2.07,2.08,2.08,0.1
,,Derby UA,,E06000015 (00FK),3.15,3.05,2.95,2.99,2.89,-3.3
,,Leicester UA,,E06000016 (00FN),3.55,3.64,3.53,3.60,3.62,0.5
,,Nottingham UA,,E06000018 (00FY),3.79,3.72,3.63,3.64,3.70,1.6
,,Rutland UA,,E06000017 (00FP),1.42,1.43,1.46,1.47,1.43,-2.3
,,Derbyshire,,E10000007 (17),2.01,1.99,1.98,1.98,1.98,-0.3
,,Leicestershire,,E10000018 (31),1.91,1.93,1.91,1.91,1.91,0.3
,,Lincolnshire,,E10000019 (32),1.66,1.66,1.67,1.69,1.70,0.7
,,Northamptonshire,,E10000021 (34),1.97,1.96,1.97,1.96,1.97,0.7
,,Nottinghamshire,,E10000024 (37),2.10,2.06,2.07,2.07,2.06,-0.2
,WEST MIDLANDS,,,E12000005 (F),2.39,2.38,2.31,2.33,2.32,-0.4
,,"Herefordshire, County of UA",,E06000019 (00GA),1.74,1.75,1.73,1.79,1.79,0.0
,,Shropshire UA,,E06000051 (00GG),1.63,1.63,1.65,1.67,1.66,-0.6
,,Stoke-on-Trent UA,,E06000021 (00GL),3.07,3.04,3.06,3.08,3.12,1.6
,,Telford and Wrekin UA,,E06000020 (00GF),1.48,1.51,1.53,1.54,1.52,-1.4
,,Staffordshire,,E10000028 (41),2.14,2.11,2.08,2.10,2.09,-0.5
,,Warwickshire,,E10000031 (44),2.04,2.02,2.02,2.02,1.98,-2.0
,,Worcestershire,,E10000034 (47),1.98,1.98,1.91,1.91,1.91,0.1
,,West Midlands (Met County),,E11000005 (2E),3.09,3.08,2.99,3.01,3.01,-0.2
,,,Birmingham,E08000025 (00CN),3.32,3.36,3.25,3.23,3.24,0.3
,,,Coventry,E08000026 (00CQ),2.41,2.40,2.35,2.34,2.39,2.1
,,,Dudley,E08000027 (00CR),3.34,3.32,3.25,3.21,3.17,-1.4
,,,Sandwell,E08000028 (00CS),3.41,3.27,3.13,3.23,3.19,-1.3
