Department for Transport Statistics,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics,,,,,,,,,,,,,,,,,,
RAI0503 (alternative number TSGB0807),,,,,,,,,,,,,,,,,,
Railway1 accidents: train accidents: 2001/02 - 2011/12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Number,,,,,,,
,,,,,,,,,,,,,,,,,,
,2001/02,2002/03,2003/04,2004/05R,2005/06,2006/07,2007/08R,2008/09,2009/10R,2010/11R,2011/12,,,,,,,
Potentially high risk train accidents (PHRTAs),70,65,55,63,46,45,44,49,42,18,34,,,,,,,
  Involving passenger trains,33,34,27,35,23,24,20,31,26,14,18,,,,,,,
    Collisions between trains,2,5,2,3,2,1,4,6,4,1,5,,,,,,,
    Derailments2,9,7,7,6,6,11,3,3,8,5,0,,,,,,,
    Collisions with road vehicles (not at level crossing),2,1,4,5,1,2,5,0,2,0,2,,,,,,,
    Collisions with road vehicles (at level crossing),16,18,14,15,13,9,7,18,12,5,9,,,,,,,
    Striking buffer stops,4,3,0,6,1,1,1,4,0,2,2,,,,,,,
    Struck by large falling objects,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
  Not involving passenger trains,37,31,28,28,23,21,24,18,16,4,16
    Collisions between trains,0,1,3,2,2,1,1,0,0,1,1
    Derailments2,34,25,22,19,18,15,18,13,12,3,14
    Collisions with road vehicles (not at level crossing),1,2,0,3,0,1,3,2,2,0,0
    Collisions with road vehicles (at level crossing),2,3,3,2,3,4,1,3,2,0,0
    Striking buffer stops,0,0,0,2,0,0,1,0,0,0,1
    Struck by large falling objects,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
Non-PHRTAs,"1,528","1,194","1,000",944,753,780,740,648,540,508,517
  Involving passenger trains,"1,220",987,852,814,621,665,622,552,472,445,436
    Open door collisions,52,36,29,15,1,2,3,3,1,0,0
    Roll back collisions,8,5,8,10,5,4,3,2,4,6,1
    Striking animals,97,92,96,109,120,126,113,116,144,169,170
    Struck by missiles,478,364,286,271,208,221,225,198,141,90,58
    Train fires,263,253,255,221,128,136,87,73,70,57,44
    Striking level crossing gates/barriers,6,7,1,4,2,3,4,6,2,7,2
    Striking other objects,316,230,177,184,157,173,187,154,110,116,161
  Not involving passenger trains,308,207,148,130,132,115,118,96,68,63,81
    Open door collisions,2,1,1,0,0,0,0,0,1,0,0
    Roll back collisions,0,1,0,0,1,0,0,0,0,2,0
    Striking animals,14,16,6,7,20,13,14,12,16,21,22
    Struck by missiles,185,114,70,60,66,63,60,46,22,8,10
    Train fires,58,37,47,24,15,11,9,11,6,9,8
    Striking level crossing gates/barriers,1,0,1,0,2,1,4,2,5,1,1
    Striking other objects,48,38,23,39,28,27,31,25,18,22,40
,,,,,,,,,,,
Total train accidents,"1,598","1,259","1,055","1,007",799,825,784,697,582,526,551

Note:  RSSB continually updates and revises previous years’ data in light of any new information that becomes available.,,,,,,,,,,,

1  Includes National Rail only.,,,,,,,,,,,
2  Excludes derailments caused by collisions with road vehicles at level crossings.,,,,,,,,,,,
,,,,,,,,,,,
Telephone: 020 7944 2419,,,,,,,,,,,Source: Rail Safety and Standards Board (RSSB)
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,,,,
,,,,,,,,,,,Last updated: December 2012
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,Next update: December 2013
,,,,,,,,,,,
