Department for Transport statistics,,,,,,,,,,,,,,
Energy and environment,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table ENV0101 (TSGB0101),,,,,,,,,,,,,,
"Petroleum consumption by transport mode and fuel type: United Kingdom, 2000-20111 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,Million tonnes/percentage
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Road transport,Petrol2,Cars & taxis,20.1,19.7,19.7,18.9,18.5,17.8,17.2,16.7,15.8,14.9,14.2,..
,,Light vans,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,..
,,Motorcycles & mopeds,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,..
,,Total,21.1,20.6,20.5,19.6,19.1,18.4,17.8,17.2,16.3,15.4,14.6,13.9
,Diesel2,Cars & taxis,3.8,4.1,4.6,5.0,5.5,5.9,6.4,6.8,7.2,7.2,7.3,..
,,Light vans,3.2,3.4,3.6,3.9,4.1,4.3,4.5,4.7,4.6,4.5,4.5,..
,,Heavy goods vehicles,7.0,6.9,7.1,7.1,7.1,7.4,7.4,7.7,6.9,6.5,7.2,..
,,Buses & coaches,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.5,1.5,1.5,..
,,Total,15.3,15.7,16.6,17.4,18.2,19.1,19.8,20.7,20.2,19.7,20.5,21.0
,LPG3,,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Total,,36.4,36.4,37.2,37.1,37.4,37.6,37.7,38.0,36.7,35.2,35.2,35.0
Rail,Gas oil ,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Shipping4,Gas oil,,2.1,2.2,1.7,2.0,1.9,1.8,2.2,1.8,1.7,1.7,1.6,1.6
,Fuel oils,,1.0,0.9,0.8,0.9,1.3,1.5,1.8,2.0,2.6,2.4,1.9,2.2
,Total,,3.0,3.1,2.6,2.9,3.2,3.3,4.0,3.9,4.2,4.0,3.5,3.8
Aviation4,Aviation spirit,,0.1,0.1,-,-,-,0.1,-,-,-,-,-,-
,Aviation turbine fuel,,10.8,10.6,10.5,10.8,11.6,12.5,12.6,12.6,12.2,11.5,11.1,11.6
,Total,,10.9,10.7,10.6,10.8,11.7,12.5,12.7,12.6,12.2,11.6,11.1,11.6
All petroleum used by transport4,,,51.5,51.4,51.6,52.1,53.6,54.8,55.7,55.9,54.3,52.0,50.7,51.0
All petroleum use (energy and non-energy)4,,,79.3,78.7,78.1,78.9,81.2,83.0,82.1,79.8,78.5,74.4,73.3,71.8
Transport as a percentage of all energy and non-energy use,,,65,65,66,66,66,66,68,70,69,70,69,71
,,,,,,,,,,,,,,
"1. There are revisions to some of the earlier data, for details see Digest of UK Energy Statistics 2012 (DUKES) published ",,,,,,,,,,,,,,Sources - Department for Energy 
    by DECC.,,,,,,,,,,,,,,and Climate Change (DECC);
2. Revisions to the back series for the breakdown by mode for road transport arise from methodological improvements to ,,,,,,,,,,,,,,National Atmospheric 
    the UK Greenhouse Gas Inventory (see notes and definitions). ,,,,,,,,,,,,,, Emissions Inventory (NAEI)
3. Liquified petroleum gas - consists of propane and butane.,,,,,,,,,,,,,,
4. These figures include international and military aviation/shipping and marine bunkers.,,,,,,,,,,,,,,Last updated: November 2012
Notes and definitions,,,,,,,,,,,,,,Next updated: September 2013
,,,,,,,,,,,,,,
E-mail: environment.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,
Telephone: 020 7944 4129,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
