Department for Transport statistics,,,,,,,,,,,,,,,,,,
Energy and environment,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Table ENV0103 (TSGB0303),,,,,,,,,,,,,,,,,,
"Average new car fuel consumption: Great Britain, 1997-20111,2",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,litres per 100 km/miles per gallon,,
,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,
Petrol cars,litres per 100km,8.3,8.2,8.1,8.0,7.8,7.7,7.6,7.6,7.5,7.3,7.2,6.9,6.5,6.3,6.1,,
,miles per gallon,34.2,34.4,34.9,35.5,36.0,36.5,37.1,37.2,37.8,38.6,39.3,40.8,43.7,44.9,46.6,,
Diesel cars,litres per 100km,7.0,6.9,6.6,6.3,6.2,6.1,6.2,6.2,6.2,6.3,6.2,5.9,5.7,5.4,5.2,,
,miles per gallon,44.9,44.9,44.9,44.9,45.8,46.3,45.8,46.0,45.7,45.4,46.0,48.0,49.8,52.1,53.1,,
,,,,,,,,,,,,,,,,,,
1. These figures are registration weighted (weighted to account for the relative sales of different ,,,,,,,,,,,,,,,,Sources - DVLA database;,,
    models of cars).,,,,,,,,,,,,,,,,Society of Motor Manufacturers ,,
"2. These figures are obtained under consistent, carefully controlled laboratory conditions and do ",,,,,,,,,,,,,,,,and Traders (SMMT);,,
"    not refect external factors such as cold starts, differing driving conditions, different loads",,,,,,,,,,,,,,,,Defra/DECC's Greenhouse,,
"    carried, etc.",,,,,,,,,,,,,,,,Gas Conversion Factors
,,,,,,,,,,,,,,,,
E-mail: environment.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,,Last updated: November 2012
Telephone: 020 7944 4129,,,,,,,,,,,,,,,,Next updated: November 2013
