Department for Transport statistics ,,,,,,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table RFS0206,,,,,,,,,,,,,,,
"International road haulage by UK-registered vehicles: goods lifted1 by commodity group, 2004-2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thousand tonnes
,Outward from the UK,,,,,,,,Inward to the UK,,,,,,
,2004,2005,2006,2007,2008,2009,2010,,2004,2005,2006,2007,2008,2009,2010
Agricultural products,234,226,244,160,257,191,213,,580,625,612,493,599,631,439
Foodstuffs,879,745,909,985,942,997,"1,175",,"1,566","1,632","1,619","1,759","1,976","1,974","2,055"
Solid fuels,*,*,*,*,*,*,63,,*,*,*,*,*,*,*
Petroleum products,*,*,*,*,*,*,89,,49,*,*,23,47,39,57
Metal ore & waste,*,*,*,*,*,*,*,,*,*,*,*,*,*,*
Metal products,212,190,164,151,154,118,139,,133,102,115,86,73,96,86
Building materials,122,81,84,85,70,50,59,,126,90,82,139,209,135,120
Fertilisers,*,*,*,*,*,*,*,,*,*,*,*,*,*,33
Chemicals,669,601,655,557,471,594,565,,417,337,350,382,326,346,420
Miscellaneous,226,401,341,439,533,458,349,,280,269,285,318,335,193,236
Machinery & engines,813,823,864,855,730,666,548,,877,781,671,747,664,591,565
Leather & textiles,696,650,492,504,684,421,563,,524,619,497,423,347,254,294
Groupage,"1,574","1,389","1,417","1,435","1,239",869,"1,152",,"1,745","1,559","1,722","1,482","1,187",859,"1,299"
Total,"5,470","5,168","5,212","5,252","5,154","4,437","4,936",,"6,356","6,117","6,044","5,901","5,829","5,181","5,641"
,,,,,,,,,,,,,,,
"1. Excludes vehicles travelling between Northern Ireland and the Republic of Ireland only, i.e. where the whole journey is confined to the island of Ireland.",,,,,,,,,,,,,,,
2. Weight of goods transported,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
An asterisk '*' means the sample size was too small for a reliable estimate.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,,,,,,Source: International Road Haulage Survey and
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,"Continuing Survey of Road Goods Transport Northern Ireland, DfT"
Notes & definitions,,,,,,,,,,,,,,,Last updated: October 2011
,,,,,,,,,,,,,,,Next update: October 2012
The figures in this table are National Statistics,,,,,,,,,,,,,,,




,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
