Department for Transport statistics ,,,,,,,,,,
Road Freight Statistics,,,,,,,,,,
,,,,,,,,,,
Table RFS0210,,,,,,,,,,
"Goods moved1 from the UK by foreign-registered HGVs, by vehicle registration country: 2002-2011",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Million tonne kilometres loaded in the UK2
,Goods loaded in UK but unloaded elsewhere3,,,,,,,,,
Country of vehicle registration,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU-27,,,,,,,,,,
Belgium ,561,465,441,397,352,324,234,196,159,124
Bulgaria ,..,..,..,..,21,53,26,239,65,207
Czech Republic ,885,547,678,831,731,740,685,630,684,820
Denmark ,99,68,103,99,107,53,93,54,17,9
Germany,"1,021","1,152","1,332","1,210","1,279","1,426",983,879,797,767
Estonia ,..,12,..,11,30,41,69,99,90,105
Ireland ,735,811,816,855,859,872,864,721,604,639
Greece ,..,107,124,136,123,50,28,73,32,21
Spain ,"1,233","1,299","1,623","1,748","1,563","1,491","1,262","1,040","1,047",930
France ,"1,157","1,096","1,180","1,083","1,296","1,328","1,015",535,438,387
Italy ,542,764,932,689,735,715,232,96,315,95
Cyprus ,3,1,1,2,3,2,0,1,1,1
Latvia ,21,18,19,9,22,99,100,53,49,47
Lithuania ,..,177,218,373,527,650,551,415,651,668
Luxembourg ,51,93,86,76,77,61,80,43,65,57
Hungary ,185,240,360,457,705,983,"1,070",996,764,707
Netherlands ,966,769,"1,577","1,398","1,317","1,068","1,159",917,862,683
Austria ,478,608,609,518,350,256,204,57,56,66
Poland ,..,..,"1,116","1,506","2,205","2,896","3,330","3,129","4,032","3,465"
Portugal ,190,242,513,715,414,538,221,184,265,278
Romania ,..,..,..,..,210,797,"1,017",287,338,409
Slovenia ,161,112,115,199,213,287,329,306,265,274
Slovakia ,..,95,265,317,615,624,777,649,573,597
Finland ,..,5,..,12,3,..,..,1,4,..
Sweden ,28,28,21,17,3,9,5,7,8,13
Non-EU,,,,,,,,,,
Norway ,2,..,..,..,2,6,0,..,2,..
Switzerland ,..,..,..,..,..,..,76,32,46,25
Croatia ,..,..,..,..,..,..,28,11,14,9
,,,,,,,,,,
1. Weight of goods multiplied by distance transported,,,,,,,,,,
2. Tonne kilometres includes the international leg of the trip - not just the part of the journey on UK soil,,,,,,,,,,
3. Note that these are not cabotage journeys because goods were unloaded in another country not the UK,,,,,,,,,,
.. Indicates data were not available,,,,,,,,,,
Note: some data may have been revised by Member States since the Road Freight Statistics (2010) publication,,,,,,,,,,
,,,,,,,,,,
Telephone: 020 7944 4261,,,,,,,,,,Source: Eurostat
Email: roadfreight.stats@dft.gsi.gov.uk,,,,,,,,,,Last updated: November 2012
,,,,,,,,,,Next update: November 2013

,,,,,,,,,,
