TSGB0401,,,,,,,,,,,,,,,,,,,,,,,,
Freight,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Domestic freight transport: by mode: 1953-2011,,,,,,,,,,,,,,,,,,,,,,,,
For greater detail for the years 2000-2011 see Table TSGB0403,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Goods moved (billion tonne kilometres),,,,,,Goods lifted (million tonnes),,,,,,,,,,,,,,,,,
,,,,,All,,,,,,All,,,,,,,,,,,,,
Year1,Road2,"Rail3,4",Water,Pipeline,modes,,Road2,"Rail3,4",Water,Pipeline,modes,,,,,,,,,,,,,
1953,32,37,20,-,89,,889,294,52,2,"1,237",,,,,,,,,,,,,
1954,35,36,20,-,91,,940,288,52,2,"1,282",,,,,,,,,,,,,
1955,38,35,20,-,93,,"1,013",279,50,2,"1,344",,,,,,,,,,,,,
1956,38,35,22,-,95,,"1,009",281,55,2,"1,347",,,,,,,,,,,,,
1957,37,34,21,-,92,,985,279,55,2,"1,321",,,,,,,,,,,,,
1958,41,30,21,-,92,,"1,078",247,53,2,"1,380",,,,,,,,,,,,,
1959,46,29,21,-,96,,"1,164",238,53,3,"1,458",,,,,,,,,,,,,
1960,49,30,20,-,99,,"1,211",252,54,4,"1,521",,,,,,,,,,,,,
1961,53,29,22,1,105,,"1,260",242,56,6,"1,564",,,,,,,,,,,,,
1962,55,26,24,1,106,,"1,268",232,58,7,"1,565",,,,,,,,,,,,,
1963,57,25,25,1,108,,"1,407",239,60,15,"1,721",,,,,,,,,,,,,
1964,66,26,25,1,118,,"1,560",243,61,18,"1,882",,,,,,,,,,,,,
1965,69,25,25,1,120,,"1,590",232,62,26,"1,910",,,,,,,,,,,,,
1966,73,24,26,2,125,,"1,641",217,61,31,"1,950",,,,,,,,,,,,,
1967,75,21,25,2,123,,"1,651",204,57,32,"1,944",,,,,,,,,,,,,
1968,79,23,25,2,129,,"1,707",211,59,32,"2,009",,,,,,,,,,,,,
1969,83,23,24,3,133,,"1,658",211,59,36,"1,964",,,,,,,,,,,,,
1970,85,25,23,3,136,,"1,610",209,57,39,"1,915",,,,,,,,,,,,,
1971,86,22,22,4,134,,"1,582",198,52,49,"1,881",,,,,,,,,,,,,
1972,88,21,29,4,142,,"1,629",177,117,45,"1,968",,,,,,,,,,,,,
1973,90,23,31,5,149,,"1,660",196,122,50,"2,028",,,,,,,,,,,,,
1974,90,22,31,5,148,,"1,537",176,117,50,"1,880",,,,,,,,,,,,,
1975,92,21,28,6,147,,"1,511",175,108,52,"1,846",,,,,,,,,,,,,
1976,96,21,30,6,153,,"1,515",176,113,53,"1,857",,,,,,,,,,,,,
1977,98,20,41,9,168,,"1,429",171,122,75,"1,797",,,,,,,,,,,,,
1978,100,20,48,10,178,,"1,503",171,133,83,"1,890",,,,,,,,,,,,,
1979,103,20,56,10,189,,"1,499",169,140,85,"1,893",,,,,,,,,,,,,
1980,93,18,54,10,175,,"1,395",154,137,83,"1,769",,,,,,,,,,,,,
1981,94,18,53,9,174,,"1,299",154,129,75,"1,657",,,,,,,,,,,,,
1982,95,16,59,10,179,,"1,389",146,137,78,"1,750",,,,,,,,,,,,,
1983,96,17,60,10,183,,"1,358",139,143,82,"1,722",,,,,,,,,,,,,
1984,100,13,60,10,183,,"1,400",65,140,88,"1,693",,,,,,,,,,,,,
1985,103,15,58,11,187,,"1,452",140,142,89,"1,823",,,,,,,,,,,,,
1986,105,17,55,10,187,,"1,473",138,144,79,"1,834",,,,,,,,,,,,,
1987,113,17,54,11,195,,"1,542",144,142,83,"1,911",,,,,,,,,,,,,
