Department for Transport Statistics,,,,,,,,,,,,
Port Freight Statistics,,,,,,,,,,,,
Table port0104,,,,,,,,,,,,
"All UK port freight traffic, foreign, coastwise and one-port by direction: 1965 - 2011 1,2 ",,,,,,,,,,,,
,,,,,,,,,,,,Million tonnes
,Foreign,,,Coastwise,,,One-port,,,Total,,
Year,Imports,Exports,All,Inwards,Outwards,All,Inwards,Outwards,All,Inwards,Outwards,All
Great Britain,,,,,,,,,,,,
1965,153.4,35.7,189.1,54.1,60.4,114.5,7.2,8.5,15.7,214.7,104.6,319.2
1966,157.1,38.2,195.3,54.2,59.7,113.9,6.8,8.5,15.3,218.1,106.4,324.5
1967,161.7,38.0,199.7,53.1,56.9,110.0,6.6,8.5,15.1,221.4,103.4,324.8
1968,175.6,41.7,217.3,51.1,56.6,107.7,7.8,8.5,16.3,234.5,106.8,341.3
1969,185.5,43.3,228.8,52.1,56.9,109.0,8.3,8.5,16.8,245.9,108.7,354.6
1970,196.2,48.0,244.2,51.8,56.2,108.0,9.2,8.6,17.8,257.2,112.8,370.0
1971,202.0,48.7,250.7,46.0,52.0,98.0,10.9,8.6,19.5,258.9,109.3,368.2
1972,205.0,49.7,254.7,45.4,51.8,97.2,16.0,8.8,24.8,266.4,110.3,376.7
1973,219.5,53.5,273.0,46.4,57.3,103.7,13.9,8.9,22.8,279.8,119.7,399.5
1974,211.1,51.1,262.2,48.5,56.9,105.4,13.1,10.1,23.2,272.7,118.1,390.8
1975,175.3,50.2,225.5,41.5,48.9,90.4,13.0,11.2,24.2,229.8,110.3,340.1
1976,180.0,62.8,242.8,41.1,50.9,92.0,14.4,11.2,25.6,235.5,124.9,360.3
1977,158.2,77.6,235.8,44.1,56.3,100.4,21.7,12.3,34.0,224.0,146.2,370.2
1978,152.8,90.7,243.5,47.5,62.2,109.7,26.5,12.8,39.3,226.8,165.7,392.4
1979,157.1,107.5,264.6,52.7,67.0,119.7,29.5,12.9,42.4,239.3,187.5,426.8
1980,131.2,117.1,248.3,57.4,67.7,125.1,24.6,14.0,38.6,213.2,198.8,412.0
United Kingdom,,,,,,,,,,,,
1980,133.4,117.5,250.8,64.8,69.8,134.6,24.6,14.0,38.6,222.8,201.3,424.1
1981,125.7,126.1,251.8,60.2,68.2,128.4,22.3,13.6,35.8,208.2,207.8,416.1
1982,122.9,130.7,253.6,67.2,71.3,138.5,24.6,13.4,37.9,214.7,215.4,430.1
1983,121.9,136.8,258.7,68.9,71.3,140.1,26.6,13.0,39.6,217.5,221.1,438.5
1984,143.5,142.1,285.5,64.2,66.3,130.5,28.5,12.3,40.9,236.3,220.7,456.9
1985,143.3,148.2,291.5,63.2,66.3,129.6,28.1,13.7,41.8,234.7,228.2,462.9
1986,150.6,150.7,301.3,60.9,63.7,124.6,27.2,13.4,40.6,238.7,227.8,466.5
