Department for Transport Statistics,,,,,,,,,,,,,,,,,,,,
Port Freight Statistics,,,,,,,,,,,,,,,,,,,,
Table port0106,,,,,,,,,,,,,,,,,,,,
All UK major port freight traffic by cargo type and direction: 1994 - 2011,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,         Thousand tonnes,
,1994,1995,1996,1997,1998,1999,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
(a) All traffic,,,,,,,,,,,,,,,,,,,,
Liquid bulk,,,,,,,,,,,,,,,,,,,,
    Liquefied gas,-,-,-,-,-,-,,"6,500","8,051","7,850","7,543","7,410","7,900","9,471","7,902","7,444","13,051","21,240","24,088 ",
    Crude oil,"177,490","183,285","183,309","178,101","183,511","186,014",,"184,344","168,557","172,524","160,319","161,595","153,499","142,200","140,132","132,146","122,924","118,189","113,045 ",
    Oil products ,"85,107","78,433","83,288","79,691","80,892","82,614",,"86,250","82,593","78,164","80,351","85,976","89,001","85,120","85,960","86,814","79,094","79,415","81,414 ",
    Other liquid bulk products,"20,416","20,824","21,060","21,257","16,142","13,464",,"13,457","14,333","12,258","12,087","12,452","12,767","13,598","14,599","12,770","12,475","12,765","12,011 ",
    All liquid bulk traffic,"283,013","282,541","287,657","279,048","280,545","282,092",,"290,550","273,534","270,796","260,299","267,434","263,167","250,388","248,592","239,174","227,544","231,609","230,558 ",
Dry bulk,,,,,,,,,,,,,,,,,,,,
    Ores,"24,378","25,406","25,281","27,328","26,165","25,434",,"20,319","19,560","17,009","17,989","17,827","17,941","18,301","19,144","18,091","14,822","18,235","16,702 ",
    Coal,"22,313","24,260","23,045","24,193","25,175","22,419",,"27,830","39,920","32,998","37,281","41,316","51,787","57,282","47,427","50,515","39,612","29,852","36,910 ",
    Agricultural products,"14,377","15,555","15,180","15,220","16,184","15,218",,"14,107","13,026","13,061","14,752","12,925","13,608","13,095","12,746","13,978","13,966","15,024","13,448 ",
    Other dry bulk,"31,620","33,773","31,611","30,603","32,780","32,969",,"41,347","42,480","43,674","44,407","42,122","42,232","44,403","46,067","42,272","30,643","34,296","36,349 ",
    All dry bulk traffic,"92,688","98,994","95,117","97,344","100,304","96,039",,"103,602","114,986","106,742","114,429","114,190","125,568","133,080","125,383","124,856","99,045","97,407","103,408 ",
All bulk traffic,,,,,,,,,,,,,,,,,,,,
    Bulk fuels1,"285,719","285,978","289,642","281,985","289,578","291,047",,"304,924","299,121","291,536","285,494","296,298","302,187","294,072","281,421","276,918","254,681","248,696","255,457 ",
    Other bulks1,"89,982","95,557","93,132","94,407","91,272","87,084",,"89,229","89,399","86,002","89,235","85,325","86,548","89,396","92,555","87,112","71,907","80,320","78,509 ",
    All bulk traffic,"375,701","381,535","382,774","376,392","380,849","378,131",,"394,153","388,521","377,538","374,728","381,623","388,734","383,468","373,976","364,030","326,588","329,016","333,966 ",
Container and roll-on/roll-off traffic,,,,,,,,,,,,,,,,,,,,
"    Container traffic 2,3",..,"42,049","42,206","44,959","46,309","49,279",,"51,571","51,689","51,100","51,279","56,414","53,840","54,359","60,510","59,550","52,011","56,674","57,703 ",
"    Roll-on/roll-off traffic 2,3",..,"63,794","65,394","78,001","80,274","82,379",,"85,390","83,187","86,339","86,976","92,804","100,262","104,263","104,694","101,414","94,081","96,015","97,309 ",
    All container and ro-ro,"101,160","105,842","107,600","122,959","126,583","131,658",,"136,961","134,876","137,439","138,255","149,219","154,102","158,622","165,203","160,964","146,092","152,688","155,012 ",
Other general cargo,,,,,,,,,,,,,,,,,,,,
    Forestry products,"8,274","7,573","7,361","8,120","8,474","8,261",,"9,795","9,405","10,191","10,249","10,558","9,616","8,894","8,987","6,525","5,243","5,588","5,713 ",
    Iron and steel products,"10,187","9,771","10,113","9,027","9,527","8,539",,"9,776","9,818","10,261","8,995","10,057","10,351","10,637","12,236","10,317","6,182","6,128","6,936 ",
    General cargo  & containers <20',"5,595","5,707","4,985","5,463","4,968","5,931",,"4,926","6,835","6,685","6,750","6,726","7,342","7,141","6,215","6,243","5,451","5,068","5,368 ",
    All other general cargo traffic,"24,056","23,051","22,459","22,610","22,969","22,731",,"24,498","26,058","27,137","25,994","27,341","27,309","26,672","27,438","23,085","16,876","16,784","18,017 ",
All traffic,"500,918","510,428","512,832","521,961","530,402","532,520",,"555,612","549,455","542,114","538,977","558,183","570,145","568,763","566,617","548,079","489,556","498,488","506,996 "
(b) Inward traffic,,,,,,,,,,,,,,,,,,,
Liquid bulk,,,,,,,,,,,,,,,,,,,
    Liquefied gas,..,..,..,..,..,..,,"1,767","2,186","1,558","1,587","1,914","1,994","4,454","2,920","2,292","9,334","16,469","20,650"
    Crude oil,..,..,..,..,..,..,,"82,924","77,734","79,916","77,333","83,569","80,496","76,631","74,384","71,831","65,211","64,668","66,602"
    Oil products ,..,..,..,..,..,..,,"37,532","38,740","36,198","37,628","39,952","42,739","44,148","43,002","44,234","40,868","41,833","42,707"
    Other liquid bulk products,..,..,..,..,..,..,,"7,919","8,768","7,657","7,279","7,101","7,250","8,178","8,791","7,457","6,249","6,909","6,376"
    All liquid bulk traffic,..,..,..,..,..,..,,"130,141","127,428","125,330","123,828","132,536","132,479","133,411","129,096","125,814","121,663","129,878","136,334"
Dry bulk,,,,,,,,,,,,,,,,,,,
    Ores,..,..,..,..,..,..,,"20,140","19,079","16,408","17,389","17,267","17,535","17,763","18,442","17,061","11,227","12,834","11,526"
    Coal,..,..,..,..,..,..,,"25,242","37,220","30,569","34,839","38,908","48,621","54,329","45,051","47,747","37,606","26,685","34,038"
    Agricultural products,..,..,..,..,..,..,,"8,935","9,932","9,626","9,139","9,144","9,268","9,465","9,611","10,027","9,758","9,467","8,886"
    Other dry bulk,..,..,..,..,..,..,,"26,948","28,234","28,704","28,544","26,943","27,664","28,698","30,111","27,647","20,594","23,396","24,510"
    All dry bulk traffic,..,..,..,..,..,..,,"81,265","94,464","85,307","89,910","92,262","103,089","110,255","103,214","102,482","79,184","72,382","78,961"
All bulk traffic,,,,,,,,,,,,,,,,,,,
    Bulk fuels1,..,..,..,..,..,..,,"147,465","155,880","148,242","151,387","164,343","173,850","179,562","165,357","166,104","153,019","149,654","163,997"
    Other bulks1,..,..,..,..,..,..,,"63,941","66,013","62,395","62,351","60,456","61,717","64,104","66,954","62,192","47,828","52,606","51,298"
    All bulk traffic,..,..,..,..,..,..,,"211,406","221,892","210,637","213,738","224,798","235,567","243,666","232,310","228,296","200,847","202,261","215,295"
Container and roll-on/roll-off traffic,,,,,,,,,,,,,,,,,,,
"    Container traffic 2,3",..,..,..,..,..,..,,"28,993","29,503","29,613","29,634","33,619","31,481","32,098","36,524","35,582","29,221","33,075","33,739"
"    Roll-on/roll-off traffic 2,3",..,..,..,..,..,..,,"47,461","47,434","49,899","50,626","54,039","58,777","61,059","60,885","58,562","55,496","56,449","57,071"
    All container and ro-ro,..,..,..,..,..,..,,"76,455","76,937","79,511","80,260","87,658","90,258","93,157","97,409","94,144","84,717","89,524","90,810"
Other general cargo,,,,,,,,,,,,,,,,,,,
    Forestry products,..,..,..,..,..,..,,"9,539","9,139","9,878","9,867","10,103","9,026","8,454","8,434","6,117","5,129","5,342","5,448"
    Iron and steel products,..,..,..,..,..,..,,"5,693","5,969","6,752","5,465","6,323","5,553","5,925","6,687","5,845","2,901","4,259","5,064"
    General cargo  & containers <20',..,..,..,..,..,..,,"2,945","4,156","4,163","4,210","4,282","4,383","4,262","3,397","3,259","2,957","3,033","3,085"
    All other general cargo traffic,..,..,..,..,..,..,,"18,178","19,265","20,793","19,543","20,708","18,962","18,641","18,518","15,221","10,987","12,634","13,597"
All inwards traffic,..,..,..,..,..,..,,"306,039","318,095","310,941","313,541","333,164","344,788","355,464","348,237","337,662","296,551","304,418","319,702"
(c) Outward traffic,,,,,,,,,,,,,,,,,,,
Liquid bulk,,,,,,,,,,,,,,,,,,,
    Liquefied gas,..,..,..,..,..,..,,"4,733","5,866","6,292","5,956","5,497","5,905","5,016","4,982","5,152","3,717","4,771","3,439"
    Crude oil,..,..,..,..,..,..,,"101,420","90,823","92,608","82,986","78,026","73,003","65,570","65,748","60,315","57,713","53,521","46,443"
    Oil products ,..,..,..,..,..,..,,"48,718","43,853","41,966","42,723","46,024","46,261","40,972","42,958","42,580","38,226","37,583","38,707"
    Other liquid bulk products,..,..,..,..,..,..,,"5,538","5,565","4,601","4,807","5,351","5,518","5,420","5,808","5,313","6,226","5,856","5,635"
