Department for Transport Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Freight Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table port0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All UK port freight traffic by region and country: 2000 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand tonnes
,,2000,,,,2001,,,,2002,,,,2003,,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009R ,,,,2010R ,,,,2011,
Region,In,Out,All,,In,Out,All,,In,Out,All,,In,Out,All,,,In,Out,All,,In,Out,All,,In,Out,All,,In,Out,All,,In,Out,All,,In,Out,All,,In,Out,All,,In,Out,All
North East,"18,573","37,810","56,383",,"20,772","34,967","55,739",,"18,919","36,302","55,221",,"21,305","37,798","59,103",,,"22,312","37,012","59,324",,"23,661","37,902","61,563",,"24,280","35,819","60,100",,"23,890","33,628","57,518",,"23,390","29,930","53,320",,"17,908","26,670","44,578",,"15,448","25,233","40,681",,"18,683","23,981","42,665"
North West,"29,889","15,115","45,004",,"29,665","15,298","44,963",,"29,423","13,911","43,334",,"30,056","14,667","44,723",,,"30,173","15,076","45,248",,"32,039","15,479","47,518",,"32,523","15,992","48,515",,"30,500","16,387","46,887",,"30,661","14,804","45,465",,"28,304","13,798","42,102",,"28,584","14,487","43,071",,"31,280","14,439","45,719"
Yorkshire and The Humber,"55,721","22,029","77,750",,"58,103","20,386","78,489",,"59,241","20,485","79,726",,"59,863","21,087","80,950",,,"63,710","20,337","84,048",,"66,935","21,720","88,655",,"72,024","19,079","91,103",,"72,919","19,996","92,915",,"71,706","19,532","91,238",,"59,396","17,475","76,872",,"59,518","17,321","76,839",,"62,656","17,357","80,013"
East Midlands,"1,386",751,"2,137",,"1,239",348,"1,587",,"1,088",347,"1,434",,"1,168",612,"1,780",,,"1,047",229,"1,276",,982,319,"1,301",,993,434,"1,427",,"1,134",312,"1,445",,"1,004",487,"1,491",,765,377,"1,142",,905,489,"1,394",,884,384,"1,268"
West Midlands,-,-,-,,-,-,-,,-,-,-,,-,-,-,,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-
East of England 2,"22,886","16,566","39,452",,"22,612","13,765","36,376",,"21,690","12,720","34,410",,"20,768","12,409","33,177",,,"52,367","19,413","71,780",,"53,399","19,217","72,616",,"52,358","19,815","72,172",,"54,333","18,805","73,139",,"52,328","20,198","72,527",,"47,955","18,856","66,811",,"51,573","20,836","72,408",,"51,801","19,935","71,737"
     of which Port of London,..,..,..,,..,..,..,,..,..,..,,..,..,..,,,"31,155","7,310","38,465",,"32,138","6,971","39,108",,"30,812","6,877","37,689",,"31,892","6,705","38,597",,"31,481","7,559","39,041",,"29,021","6,066","35,087",,"31,017","7,481","38,497",,"30,295","7,122","37,418"
