Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Fleet Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table fle0304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom and Crown Dependency registered trading vessels of 500 gross tons and over, by type: 1986-2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Also TSGB0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,1,2009,2010,2011
Number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tankers,,165,165,156,136,123,124,108,106,113,113,115,133,145,141,141,166,195,224,244,263,273,268,275,289,,286,276,278
,Bulk carriers,,73,55,49,42,39,32,30,22,14,18,26,27,26,22,26,28,34,38,49,60,58,63,64,66,,67,82,102
,Specialised carriers,,21,21,18,18,19,18,13,13,13,12,11,11,11,15,16,16,13,13,14,16,21,26,30,33,,32,34,34
,Fully cellular container,,47,43,43,43,39,32,28,26,34,37,38,39,45,51,67,71,99,137,146,160,170,177,202,216,,216,198,183
,Ro-Ro (passenger & cargo),,104,100,99,93,93,96,91,86,84,83,88,89,92,94,105,110,118,120,118,113,108,110,110,117,,121,117,114
,Other general cargo,,128,113,108,110,105,99,84,82,93,90,87,81,86,87,100,127,131,169,169,172,174,160,150,148,,149,142,151
,Passenger ,,8,9,9,8,9,8,9,9,9,12,12,12,11,11,16,16,20,22,14,11,10,12,11,11,,13,12,9
,All trading vessels,,546,506,482,450,427,409,363,344,360,365,377,392,416,421,471,534,610,723,754,795,814,816,842,880,,884,861,871
Gross tonnage (thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tankers,,"3,249","3,010","2,661","2,252","2,210","2,166","2,188","2,161","2,481","2,346","2,383","3,407","2,977","3,253","3,971","4,516","4,472","5,991","6,214","6,978","7,536","7,401","8,187","8,951",,"8,944","9,494","9,690"
,Bulk carriers ,,"2,003","1,322","1,301","1,253",828,489,446,293,294,485,819,831,854,761,844,946,"1,491","1,729","2,302","2,926","2,839","3,050","3,081","3,453",,"3,454","4,409","5,632"
,Specialised carriers,,95,132,128,122,118,99,100,124,110,52,49,49,49,103,151,151,100,121,165,345,604,925,"1,072","1,357",,"1,356","1,370","1,425"
,Fully cellular container,,"1,369","1,335","1,335","1,368","1,275","1,091","1,015","1,017","1,236","1,326","1,110","1,113","1,379","1,502","2,140","2,362","3,303","4,548","5,072","5,539","5,900","6,304","7,503","9,108",,"9,108","8,892","9,663"
,Ro-Ro (passenger & cargo),,561,591,586,510,555,604,632,657,874,910,"1,068","1,093","1,123","1,161","1,332","1,431","1,617","1,637","1,608","1,589","1,466","1,534","1,531","1,689",,"1,692","1,870","1,854"
,Other general cargo,,510,410,332,277,257,242,174,145,212,282,269,254,307,293,321,502,570,825,830,885,936,763,707,737,,738,710,854
,Passenger ,,259,259,259,242,269,271,276,272,281,360,360,361,358,363,762,746,945,"1,130",711,539,472,627,592,519,,520,539,210
,All trading vessels,,"8,046","7,059","6,603","6,025","5,512","4,963","4,831","4,670","5,488","5,761","6,057","7,108","7,048","7,436","9,521","10,653","12,497","15,982","16,902","18,801","19,753","20,603","22,673","25,814",,"25,813","27,284","29,328"
Thousand deadweight tonnes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tankers ,,"5,908","5,472","4,787","4,063","3,995","3,875","3,944","3,915","4,576","4,289","4,347","6,119","5,163","5,737","7,069","7,885","7,567","9,446","9,660","11,112","11,920","11,540","12,655","14,164",,"14,153","15,310","16,115"
,Bulk carriers,,"3,569","2,351","2,318","2,238","1,425",825,749,479,528,884,"1,501","1,519","1,563","1,404","1,545","1,738","2,782","3,245","4,375","5,580","5,409","5,791","5,823","6,507",,"6,508","8,276","10,610"
,Specialised carriers ,,122,133,128,118,109,81,84,87,76,31,29,29,29,47,65,65,44,48,59,109,181,272,314,410,,409,431,446
,Fully cellular container,,"1,298","1,265","1,265","1,308","1,212","1,019",976,995,"1,253","1,358","1,212","1,224","1,543","1,682","2,365","2,597","3,691","5,124","5,663","6,241","6,673","7,160","8,569","10,231",,"10,231","9,884","10,562"
,Ro-Ro (passenger & cargo),,380,335,310,221,283,279,273,272,281,273,332,337,364,366,474,522,607,605,591,574,535,554,556,603,,604,654,650
