Department for Transport statistics,,,,,,,,,,
Transport Statistics Great Britain,,,,,,,,,,
,,,,,,,,,,
Table TSGB0109,,,,,,,,,,
"Usual method of travel to work by region of workplace, GOR, FMC and Country: October to December 2011",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Percentage/thousands
,,,,,Rail,,,,,
Region,Car,Motorcycle,Bicycle,Bus/ coach,National rail,Other    rail1,All rail,Walk,Other modes2,Number in employment ('000s)3
,,,,,,,,,,
North East, 74 , * , 2 , 9 , * , 2 , 3 , 12 , * ," 1,125 "
Tyne and Wear, 68 , * , * , 14 , * , 3 , 4 , 11 , * , 536 
Rest of North East, 80 , * , * , 5 , * , * , * , 13 , * , 589 
North West, 71 , 1 , 3 , 8 , 3 , 1 , 3 , 12 , 1 ," 3,155 "
Greater Manchester, 69 , * , 3 , 12 , 3 , 1 , 4 , 12 , * ," 1,234 "
Merseyside, 63 , * , 3 , 12 , 7 , * , 7 , 11 , * , 521 
Rest of North West, 77 , 1 , 3 , 4 , 1 , * , 1 , 13 , * ," 1,400 "
Yorkshire and Humberside, 73 , 1 , 3 , 9 , 2 , * , 3 , 12 , * ," 2,403 "
South Yorkshire, 75 , * , * , 10 , * , * , 3 , 10 , * , 563 
West Yorkshire, 70 , * , * , 11 , 3 , * , 3 , 13 , * ," 1,022 "
Rest of Yorkshire and Humberside, 76 , * , 5 , 4 , 2 , * , 2 , 11 , * , 819 
East Midlands, 78 , * , 3 , 6 , 1 , * , 1 , 12 , * ," 2,026 "
West Midlands, 77 , 1 , 2 , 7 , 2 , * , 2 , 10 , 1 ," 2,409 "
West Midlands and Met., 75 , * , 1 , 10 , 4 , * , 4 , 8 , * ," 1,186 "
Rest of West Midlands, 80 , * , 3 , 3 , * , * , * , 12 , * ," 1,222 "
East of England, 76 , 1 , 4 , 4 , 3 , * , 3 , 13 , - ," 2,624 "
London, 32 , 1 , 5 , 12 , 21 , 19 , 40 , 8 , 1 ," 4,228 "
Central London, 9 , * , 6 , 9 , 37 , 32 , 69 , 5 , 1 ," 1,464 "
Rest of Inner London, 26 , 2 , 7 , 14 , 20 , 21 , 41 , 8 , 1 ," 1,142 "
Outer London, 58 , 1 , 4 , 14 , 7 , 5 , 12 , 10 , 1 ," 1,621 "
South East, 74 , 1 , 4 , 4 , 4 , * , 4 , 12 , 1 ," 3,952 "
South West, 74 , 2 , 4 , 5 , 1 , * , 1 , 14 , * ," 2,519 "
England, 67 , 1 , 3 , 7 , 5 , 4 , 9 , 11 , 1 ," 24,442 "
Wales, 81 , * , 1 , 4 , 2 , * , 2 , 11 , * ," 1,306 "
Scotland, 69 , * , 2 , 12 , 4 , * , 4 , 12 , 1 ," 2,464 "
Great Britain, 68 , 1 , 3 , 8 , 5 , 3 , 8 , 11 , 1 ," 28,212 "
,,,,,,,,,,
,,,,,,,,,,
"1. Includes underground, light railway systems and trams.",,,,,,,,,,"Source: Office for National Statistics, Labour Force Survey"
2. Includes taxis.,,,,,,,,,,?020 7944 2519
"3. Includes all in employment, including those who did not answer the question on usual method of travel to work.",,,,,,,,,,Email: subnational.stats@dft.gsi.gov.uk
Last updated: August 2012 (revised following 2011 reweighting),,,,,,,,,,
Next update: May 2013,,,,,,,,,,

The figures in this table are National Statistics,,,,,,,,,,
Notes and definitions,,,,,,,,,,

* Data for some cells are not shown because they fall below the LFS reliability threshold.,,,,,,,,,,
