Department for Transport statistics,,,,,,,,,,,,,,
Modal comparisons,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table TSGB0113,,,,,,,,,,,,,,
Overseas travel: visits to and from the United Kingdom by mode: 2001-2011,,,,,,,,,,,,,,
,,,,,,,,,,,,,Thousands/percentage,
,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,% of total in 2011,
Visits to the United Kingdom by overseas residents 1,,,,,,,,,,,,,,
,Air,"16,054","17,098","17,635","20,002","22,043","24,588","25,089","24,024","22,080","21,430","22,631",73%,
,Sea,"4,002","4,405","4,369","4,770","4,675","4,858","4,459","4,495","4,462","4,531","4,496",15%,
,Channel Tunnel,"2,779","2,677","2,711","2,983","3,252","3,267","3,230","3,369","3,347","3,842","3,670",12%,
,Total,"22,835","24,180","24,715","27,755","29,970","32,713","32,778","31,888","29,889","29,803","30,798",100%,
,Unweighted sample size (numbers),"40,124","39,571","38,099","41,848","44,574","45,246","41,740","36,683","47,304","46,740","42,785",,
Visits abroad by United Kingdom Residents 2,,,,,,,,,,,,,,
,Air,"43,011","43,990","47,101","50,435","53,626","56,460","56,329","56,041","46,657","43,239","44,723",79%,
,Sea,"9,651","10,038","9,200","8,950","8,102","8,411","8,473","8,145","7,559","8,056","7,857",14%,
,Channel Tunnel,"5,619","5,349","5,123","4,809","4,713","4,665","4,649","4,825","4,398","4,267","4,255",7%,
,Total,"58,281","59,377","61,424","64,194","66,441","69,536","69,450","69,011","58,614","55,562","56,836",100%,
,Unweighted sample size (numbers),"53,438","54,952","55,298","57,686","63,427","63,715","57,558","57,312","66,935","65,953","62,646",,
1  Mode shown is that for departure from the United Kingdom.,,,,,,,,,,,,,,
2  Mode shown is that for return to the United Kingdom.,,,,,,,,,,,,,,
Telephone: 020 7944 3088,,,,,,,,,,,,,"Source - International Passenger Survey, ONS",
Email: aviation.stats@dft.gsi.gov.uk ,,,,,,,,,,,,,Last updated December 2012,
,,,,,,,,,,,,,Next updated December 2013,
The figures in this table are National Statistics,,,,,,,,,,,,,,
