TSGB1003,,,,,,,,,,,,,
"Punctuality at selected United Kingdom airports, July-August, 2011 and 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Average delay (minutes),,,,,,Sample size (number of matched flights),,,,
,,,2011,,,2012,,,2011,,,2012,
,,,July,Aug,,July,Aug,,July,Aug,,July,Aug
,,,,,,,,,,,,,
,,,July,,,Aug,,,July,,,Aug,
,,,2011,2012,,2011,2012,,2011,2012,,2011,2012
,,,,,,,,,,,,,
London airports,Gatwick,Scheduled,15,17,,14,13,,"20,498","20,840",,"20,891","21,332"
,,Charter,22,19,,17,20,,"3,231","2,864",,"3,516","3,136"
,,,,,,,,,,,,,
,Heathrow,Scheduled,13,14,,11,11,,"41,228","40,825",,"40,855","40,772"
,,Charter,*,*,,*,*,,124,64,,100,64
,,,,,,,,,,,,,
,London City,Scheduled,6,6,,6,4,,"5,161","5,740",,"4,948","5,347"
,,Charter,*,*,,*,*,,,,,1,0
,,,,,,,,,,,,,
,Luton,Scheduled,14,14,,13,11,,"6,381","6,399",,"6,475","6,422"
,,Charter,17,10,,31,5,,353,347,,372,376
,,,,,,,,,,,,,
,Stansted,Scheduled,11,10,,10,9,,"11,560","11,059",,"12,077","11,337"
,,Charter,15,6,,16,16,,469,510,,500,572
,,,,,,,,,,,,,
Regional airports,Birmingham,Scheduled,11,12,,9,11,,"6,653","6,916",,"6,499","7,078"
,,Charter,17,9,,21,9,,"1,272","1,149",,"1,302","1,168"
,,,,,,,,,,,,,
,Edinburgh,Scheduled,10,11,,9,9,,"9,280","9,062",,"9,189","8,902"
,,Charter,29,18,,25,14,,309,269,,219,214
,,,,,,,,,,,,,
,Glasgow,Scheduled,10,12,,10,9,,"5,645","5,944",,"5,628","5,868"
,,Charter,32,18,,26,24,,"1,190","1,048",,815,747
,,,,,,,,,,,,,
,Manchester,Scheduled,15,14,,13,14,,"12,277","12,932",,"12,411","12,812"
,,Charter,20,22,,21,22,,"3,013","2,661",,"3,046","2,706"
,,,,,,,,,,,,,
,Newcastle,Scheduled,10,11,,10,9,,"3,466","3,421",,"3,408","3,351"
,,Charter,11,15,,15,8,,904,839,,886,845
,,,,,,,,,,,,,
Telephone: 020 7944 3088,,,,,,,,,,,,,
Email: aviation.stats@dft.gsi.gov.uk ,,,,,,,,,,,,,
Notes & definitions,,,,,,,,,,,,,
,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,
