TSGB1005,,,,,,,,,,,,,,,
"Average week day speed (miles per hour) on local 'A' roads in the six London Host Boroughs 1,2,3,4",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time of day,Olympic Games period5,Comparable period  20116,Paralympic Games period7,Comparable period 20118,,,,,,,,,,,
07.00,19.5,24.0,20.0,21.7,,,,,,,,,,,
07.15,18.6,22.4,18.2,19.6,,,,,,,,,,,
07.30,18.0,21.2,17.0,18.1,,,,,,,,,,,
07.45,18.0,20.6,16.3,16.9,,,,,,,,,,,
08.00,18.0,20.4,16.0,16.3,,,,,,,,,,,
08.15,18.1,19.8,15.6,15.6,,,,,,,,,,,
08.30,18.1,19.8,15.7,15.7,,,,,,,,,,,
08.45,18.5,20.5,16.5,16.8,,,,,,,,,,,
09.00,19.2,21.5,17.4,18.1,,,,,,,,,,,
09.15,19.6,22.1,18.4,19.4,,,,,,,,,,,
09.30,19.9,22.5,18.5,20.2,,,,,,,,,,,
09.45,20.1,22.5,19.2,20.7,,,,,,,,,,,
10.00,20.2,22.8,19.9,21.2,,,,,,,,,,,
10.15,20.6,22.7,20.1,21.5,,,,,,,,,,,
10.30,20.5,22.6,20.0,21.3,,,,,,,,,,,
10.45,20.2,22.5,20.1,21.6,,,,,,,,,,,
11.00,20.5,22.4,20.2,21.7,,,,,,,,,,,
11.15,20.4,22.2,20.4,21.6,,,,,,,,,,,
11.30,20.4,21.9,20.5,21.3,,,,,,,,,,,
11.45,20.2,21.7,20.5,21.2,,,,,,,,,,,
12.00,20.5,21.7,20.6,21.1,,,,,,,,,,,
12.15,20.3,21.6,20.4,21.1,,,,,,,,,,,
12.30,20.2,21.4,20.3,20.8,,,,,,,,,,,
12.45,20.2,21.4,20.7,20.8,,,,,,,,,,,
13.00,20.2,21.4,20.5,21.0,,,,,,,,,,,
13.15,20.1,21.4,20.4,21.3,,,,,,,,,,,
13.30,20.4,21.6,20.5,21.3,,,,,,,,,,,
13.45,20.5,21.5,21.0,21.4,,,,,,,,,,,
14.00,20.6,21.6,20.8,21.4,,,,,,,,,,,
14.15,20.3,21.6,20.7,21.4,,,,,,,,,,,
14.30,20.3,21.6,20.5,21.0,,,,,,,,,,,
14.45,20.2,21.5,20.4,20.6,,,,,,,,,,,
15.00,20.1,21.4,20.0,20.3,,,,,,,,,,,
15.15,19.9,21.1,19.7,20.0,,,,,,,,,,,
15.30,19.9,21.1,19.1,19.4,,,,,,,,,,,
15.45,19.8,21.0,18.8,18.9,,,,,,,,,,,
16.00,19.6,20.9,18.6,19.0,,,,,,,,,,,
16.15,19.1,20.4,18.1,18.3,,,,,,,,,,,
16.30,19.1,20.2,18.0,17.9,,,,,,,,,,,
16.45,19.1,20.3,18.0,18.1,,,,,,,,,,,
17.00,18.9,19.8,17.5,17.2,,,,,,,,,,,
17.15,18.4,19.2,17.1,16.7,,,,,,,,,,,
17.30,18.2,19.2,17.1,16.9,,,,,,,,,,,
17.45,18.3,19.0,17.0,16.8,,,,,,,,,,,
18.00,18.6,19.5,17.1,17.2,,,,,,,,,,,
18.15,19.1,20.1,17.4,17.7,,,,,,,,,,,
18.30,19.7,20.8,18.7,18.7,,,,,,,,,,,
18.45,20.5,21.8,19.3,19.6,,,,,,,,,,,
,,,,,,,,,,,,,,,
1. Average speeds in the chart above were estimated using data from weekdays only,,,,,,,,,,,,,,,
"2. The six Olympic host boroughs are Barking & Dagenham, Greenwich, Hackney, Newham, Tower Hamlets and Waltham Forest",,,,,,,,,,,,,,,
3. It should be noted that the sample used to estimate average speeds may not be representative of traffic,,,,,,,,,,,,,,,
4. Temporary factors such as road works or bad weather may have influenced the estimates of average speeds,,,,,,,,,,,,,,,
5. The Olympic games period was defined as the period 23 July to 13 August 2012,,,,,,,,,,,,,,,
"6. The comparable period to the Olympics in 2011 was defined as 25 July to 15 August, containing same number of each day of the week as the Olympic games period",,,,,,,,,,,,,,,
7. The Paralympic Games period was defined as 29 August - 13 September,,,,,,,,,,,,,,,
8. The comparable period in 2011 was defined as 31 August - 15 September,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notes and definitions,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Emails: congestion.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,
Phone: 020 7944 6579,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Last updated: December 2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
