Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Statistics (http://www.dft.gov.uk/statistics/series/buses/),,,,,,,,,,,,,,,,,,,,,,,,,
Table BUS0205b,,,,,,,,,,,,,,,,,,,,,,,,,
"Vehicle kilometres on local bus services by metropolitan area status and country, and service type: Great Britain, annual from 1987/88",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Millions,,,,,,,,,,,,,,,,
Year,,Estimation method1,London2,English metropolitan areas,English non-metropolitan areas,England excluding London,Scotland,Wales,Great Britain excluding London,,,,,,,,,,,,,,,,
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,
1987/88,,,..,512,844,"1,356",281,81,"1,718",,,,,,,,,,,,,,,,
1988/89,,,..,527,856,"1,383",281,89,"1,753",,,,,,,,,,,,,,,,
1989/90,,,..,547,859,"1,406",289,94,"1,789",,,,,,,,,,,,,,,,
1990/91,,,..,555,859,"1,414",292,98,"1,804",,,,,,,,,,,,,,,,
1991/92,,,..,569,849,"1,418",304,94,"1,816",,,,,,,,,,,,,,,,
1992/93,,,..,584,857,"1,441",301,91,"1,833",,,,,,,,,,,,,,,,
1993/94,,,..,606,870,"1,476",307,98,"1,881",,,,,,,,,,,,,,,,
1994/95,,,..,631,889,"1,520",318,98,"1,936",,,,,,,,,,,,,,,,
1995/96,,,..,601,908,"1,509",295,99,"1,903",,,,,,,,,,,,,,,,
1996/97,,,..,602,929,"1,531",311,95,"1,937",,,,,,,,,,,,,,,,
1997/98,,,..,604,897,"1,501",310,92,"1,903",,,,,,,,,,,,,,,,
1998/99,,,..,601,918,"1,519",298,88,"1,905",,,,,,,,,,,,,,,,
1999/00,,,..,580,953,"1,533",307,94,"1,934",,,,,,,,,,,,,,,,
2000/01,,,..,573,923,"1,496",314,97,"1,907",,,,,,,,,,,,,,,,
2001/02,,,..,561,866,"1,427",306,95,"1,828",,,,,,,,,,,,,,,,
2002/03,,,..,549,841,"1,390",311,89,"1,790",,,,,,,,,,,,,,,,
2003/04,,,..,509,823,"1,332",302,85,"1,719",,,,,,,,,,,,,,,,
2004/05,,Old,..,491,803,"1,294",301,84,"1,679",,,,,,,,,,,,,,,,
2004/05,,New,..,510,784,"1,295",300,89,"1,684",,,,,,,,,,,,,,,,
2005/06,,,..,508,786,"1,294",308,88,"1,691",,,,,,,,,,,,,,,,
2006/07,,,..,504,774,"1,277",307,84,"1,668",,,,,,,,,,,,,,,,
2007/08,,,..,513,776,"1,289",310,82,"1,681",,,,,,,,,,,,,,,,
2008/09,,,..,500,775,"1,275",311,84,"1,670",,,,,,,,,,,,,,,,
2009/10,,,..,476,778,"1,254",302,81,"1,637",,,,,,,,,,,,,,,,
2010/11,,,..,474,785,"1,259",280,80,"1,620",,,,,,,,,,,,,,,,
2011/12,,,..,476,797,"1,274",279,82,"1,635",,,,,,,,,,,,,,,,
Local authority supported,,,,,,,,,,,,,,,,,,,,,,,,,
1987/88,,,..,105,172,277,48,24,349,,,,,,,,,,,,,,,,
1988/89,,,..,107,171,278,44,29,351,,,,,,,,,,,,,,,,
1989/90,,,..,107,181,288,47,26,361,,,,,,,,,,,,,,,,
1990/91,,,..,95,176,271,44,25,340,,,,,,,,,,,,,,,,
1991/92,,,..,93,186,279,51,26,356,,,,,,,,,,,,,,,,
1992/93,,,..,95,183,278,46,27,351,,,,,,,,,,,,,,,,
1993/94,,,..,87,188,275,54,32,361,,,,,,,,,,,,,,,,
1994/95,,,..,89,190,279,51,27,357,,,,,,,,,,,,,,,,
1995/96,,,..,94,193,287,54,24,365,,,,,,,,,,,,,,,,
1996/97,,,..,90,187,277,57,25,359,,,,,,,,,,,,,,,,
1997/98,,,..,93,186,279,58,25,362,,,,,,,,,,,,,,,,
1998/99,,,..,84,206,290,60,30,380,,,,,,,,,,,,,,,,
1999/00,,,..,81,206,287,56,29,372,,,,,,,,,,,,,,,,
2000/01,,,..,81,210,291,56,29,376,,,,,,,,,,,,,,,,
2001/02,,,..,85,236,321,62,31,414,,,,,,,,,,,,,,,,
2002/03,,,..,82,247,329,63,35,427,,,,,,,,,,,,,,,,
2003/04,,,..,87,246,333,67,28,428,,,,,,,,,,,,,,,,
2004/05,,Old,..,85,274,359,56,32,447,,,,,,,,,,,,,,,,
2004/05,R,New,..,82,276,358,59,40,457,,,,,,,,,,,,,,,,
2005/06,R,,..,82,284,366,66,39,471,,,,,,,,,,,,,,,,
2006/07,R,,..,85,291,377,77,40,494,,,,,,,,,,,,,,,,
2007/08,R,,..,85,292,377,79,42,498,,,,,,,,,,,,,,,,
2008/09,R,,..,90,302,392,74,42,509,,,,,,,,,,,,,,,,
2009/10,R,,..,95,291,386,74,44,504,,,,,,,,,,,,,,,,
2010/11,R,,..,95,287,382,66,44,492,,,,,,,,,,,,,,,,
2011/12,,,..,88,258,346,58,35,440,,,,,,,,,,,,,,,,
1 Break in the local bus series (outside London) due to changes in the estimation methodology from 2004/05,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Buses in London operate under a different regulatory model to the rest of the country, and comparisons on a service type basis would",,,,,,,,,,,,,,,,,,,,,,,,,
have little meaning. London figures are therefore excluded from this table.,,,,,,,,,,,,,,,,,,,,,,,,,
R Previously published figures have been revised.  For details of the revisions (which include planned updates) please see the technical information,,,,,,,,,,,,,,,,,,,,,,,,,
   (link below),,,,,,,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,"Source: DfT Public Service Vehicle Survey, Transport for London",,,,,,,,,,,,,,,,
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,,,Last updated: 15 November 2012,,,,,,,,,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/series/buses/bus-notes-definitions.pdf),,,,,,,,,Next update: Autumn 2013,,,,,,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,


,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
