Department for Transport statistics,,,,,,,,,,,,
Bus Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/bus-statistics),,,,,,,,,,,,
Table BUS0501b,,,,,,,,,,,,
"Estimated operating revenue1 (at 2011/12 prices2) for local bus services by revenue type and metropolitan area status: England, annual from 2004/05",,,,,,,,,,,,
,,,,,,£ Millions,,,,,,
Area / Financial Year,,"Passenger 
fare receipts3","Gross Public 
Transport Support4","Concessionary 
Travel5","Bus Service 
Operators Grant6",Total estimated operating revenue1,,,,,,
England,,,,,,,,,,,,
2004/05,R,"2,722","1,103",574,411,"4,809",,,,,,
2005/06,R,"2,827","1,180",555,420,"4,982",,,,,,
2006/07,R,"2,767","1,224",815,413,"5,219",,,,,,
2007/08,R,"2,813","1,251",886,431,"5,380",,,,,,
2008/09,R 8,"2,835","1,350",990,452,"5,627",,,,,,
2009/10,R 9,"2,883","1,294","1,021",453,"5,651",,,,,,
2010/11,R,"2,951","1,085","1,027",430,"5,494",,,,,,
2011/12,P,"3,005",994,995,430,"5,425",,,,,,
London7,,,,,,,,,,,,
2004/05,R,859,656,163,107,"1,786",,,,,,
2005/06,R,911,689,174,110,"1,884",,,,,,
2006/07,R,946,694,182,109,"1,930",,,,,,
2007/08,R,957,727,193,113,"1,990",,,,,,
2008/09,R 8,942,775,193,121,"2,031",,,,,,
2009/10,R 9,990,729,193,118,"2,030",,,,,,
2010/11,R,"1,083",578,195,110,"1,967",,,,,,
2011/12,,"1,117",519,210,111,"1,956",,,,,,
English metropolitan areas,,,,,,,,,,,,
2004/05,R,782,124,254,109,"1,268",,,,,,
2005/06,R,803,136,221,110,"1,269",,,,,,
2006/07,R,764,147,282,108,"1,302",,,,,,
2007/08,R,760,148,291,114,"1,312",,,,,,
2008/09,R 8,766,149,307,117,"1,340",,,,,,
2009/10,R 9,765,145,326,117,"1,352",,,,,,
2010/11,R,762,130,316,111,"1,319",,,,,,
2011/12,P,763,129,302,111,"1,306",,,,,,
English non-metropolitan areas,,,,,,,,,,,,
2004/05,R,"1,080",323,157,195,"1,755",,,,,,
2005/06,R,"1,113",356,160,200,"1,829",,,,,,
2006/07,R,"1,058",383,350,196,"1,987",,,,,,
2007/08,R,"1,096",377,402,203,"2,078",,,,,,
2008/09,R 8,"1,127",426,489,214,"2,256",,,,,,
2009/10,R 9,"1,128",421,503,218,"2,270",,,,,,
2010/11,R,"1,107",377,516,209,"2,209",,,,,,
2011/12,,"1,125",346,483,208,"2,163",,,,,,
"1. Excludes capital receipts, and other streams of bus operator revenue that are not directly related to the provision of local bus services ",,,,,,,,,,,,
"(e.g. income from advertising, private hire work, etc.)",,,,,,,,,,,,
2. Adjusted for inflation using GDP deflator (as at 27 September 2012).,,,,,,,,,,,,
"3. Only includes fare receipts retained by bus operators. On some tendered or supported services, fare receipts are passed to the local authority.",,,,,,,,,,,,
"4. Public Transport Support is the total of all local authorities' gross costs incurred in support of bus services, either directly or by subsidies to operators or",,,,,,,,,,,,
individuals.  The bulk of these costs will be accounted for by payments to operators providing tendered or supported bus services (including non-local services,,,,,,,,,,,,
