Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Statistics (http://www.dft.gov.uk/statistics/series/buses/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table BUS0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public service vehicle3 stock4 by type of vehicle2, local bus operators only1 : Great Britain, annual from 2004/05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,Buses4,Coaches 5,Minibuses 6,Total number of vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004/05,R,41.8,8.0,2.4,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005/06,R,42.0,7.8,2.2,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006/07,R,42.8,8.3,2.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007/08,R,42.6,8.6,2.2,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/09,R,42.8,8.8,1.8,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009/10,R,42.7,8.5,1.7,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/11,R,42.3,8.5,1.9,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011/12,,42.2,8.6,1.9,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 This table covers all operators who run local bus services, including those who also do non-local work (e.g. private hire, school contracts).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operators who do solely non-local work are excluded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Figures in this table differ from those on buses and coaches published in DfT's Vehicle Licencing Statistics for several reasons.,,,,,,,,,,
"The latter includes vehicles other than those kept by Public Service Vehicle operators, vehicles subject to a Statutory Off Road",,,,,,,,,,
"Notification (SORN) and vehicles operated under a special restricted licence as taxis, none of which are counted here.",,,,,,,,,,
3 Public Service Vehicles in the bus and coach taxation class having nine or more seats. Excludes ,,,,,,,,,,
community buses and PSVs operated under a special restricted licence as taxis. ,,,,,,,,,,
4 Buses are licenced for over 22 passengers (including standing).,,,,,,,,,,
5 Coaches have 17 or more seats (with no standing),,,,,,,,,,
6 Minibuses have 8 to 22 passengers (including standing),,,,,,,,,,
R Previously published figures have been revised.  For details of the revisions (which include planned updates) please see the,,,,,,,,,,
   technical information (link below),,,,,,,,,,
Telephone: 020 7944 3094,,,,,Source: DfT Public Service Vehicle Survey,,,,,
Email: bus.statistics@dft.gsi.gov.uk,,,,,Last updated: 15 November 2012,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/series/buses/bus-notes-definitions.pdf),,,,,Next update: Autumn 2013,,,,,
The figures in this table are National Statistics,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,
,,
,,
,,
,,
