Department for Transport statistics,,,,,,,,,
Light Rail Statistics (http://www.dft.gov.uk/statistics/series/light-rail-and-tram/),,,,,,,,,
,,,,,,,,,
Table LRT9902a [miles],,,,,,,,,
"Glasgow Underground statistics, annual from 1982/83",,,,,,,,,
,,,,,,,,,
,"Passenger 
journeys 
(millions)","Passenger 
miles
 (millions)","Loaded train or tram miles
[also referred to as vehicle miles] 
(millions)",Stations or stops served,"Passenger 
carriages 
or tramcars","Route miles open 
for passenger 
traffic","Passenger revenue at 2011/12 prices 
(£ millions)",,
1982/83,11.8,20.3,0.7,15,33,6.8,6.8,,
1983/84,12.3,21.5,0.7,15,33,6.8,8.2,,
1984/85,12.7,21.7,0.7,15,33,6.8,8.3,,
1985/86,13.1,22.5,0.7,15,33,6.8,7.9,,
1986/87,13.7,23.6,0.7,15,33,6.8,8.5,,
1987/88,13.6,24.3,0.7,15,33,6.8,8.5,,
1988/89,13.6,24.5,0.7,15,33,6.8,9.2,,
1989/90,13.5,24.3,0.7,15,33,6.8,8.9,,
1990/91,13.7,24.6,0.7,15,33,6.8,9.4,,
1991/92,13.6,24.4,0.7,15,33,6.8,9.4
1992/93,13.5,24.3,0.7,15,41,6.8,9.5
1993/94,14.3,25.7,0.7,15,41,6.8,10.1
1994/95,14.7,26.5,0.7,15,41,6.8,10.4
1995/96,14.3,25.7,0.7,15,41,6.8,11.3
1996/97,13.7,24.7,0.7,15,41,6.8,11.2
1997/98,14.1,28.1,0.7,15,41,6.8,11.7
1998/99,14.6,29.0,0.7,15,41,6.8,12.3
1999/00,14.7,29.2,0.7,15,41,6.8,13.0
2000/01,14.4,28.6,0.7,15,41,6.8,13.0
2001/02,13.8,27.4,0.7,15,41,6.8,12.9
2002/03,13.4,26.6,0.7,15,41,6.8,12.6
2003/04,13.3,26.5,0.7,15,41,6.8,12.6
2004/05,13.3,26.5,0.7,15,41,6.8,12.9
2005/06,13.2,26.2,0.7,15,41,6.5,12.9
2006/07,13.5,26.8,0.7,15,41,6.5,13.9
2007/08,14.5,28.8,0.8,15,41,6.5,14.2
2008/09,14.1,28.1,0.8,15,41,6.5,15.7
2009/10,13.1,26.0,0.7,15,41,6.5,14.8
2010/11,13.0,25.9,0.7,15,41,6.5,14.5
2011/12,12.9,25.6,0.8,15,41,6.5,14.3
Telephone: 020 7944 3094,,,,,,,Source: DfT Light Rail and Tram Survey
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,Last updated: 19 July 2012
Notes and Definitions (http://assets.dft.gov.uk/statistics/series/light-rail-and-tram/light-rail-notes.pdf),,,,,,,Next update: Summer 2013
The figures in this table are outside the scope of National Statistics,,,,,,,
