Department for Transport Statistics,,,,,,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,,,,,,
,,,,,,,,,,,,
Table RAI0104 (alternative number TSGB0604),,,,,,,,,,,,
"National railways: route1 and stations open for traffic at end of year, annual from 2000/01",,,,,,,,,,,,
,,,,,,,,,,,,Kilometres/number
,2000/01,2001/02,2002/03,2003/04,2004/053,2005/06,2006/07,2007/083,2008/09,2009/10,2010/11,2011/12
Route open for traffic:,,,,,,,,,,,,
   Electrified,"5,167","5,167","5,167","5,200","5,200","5,205","5,250","5,250","5,250","5,239","5,262","5,261"
   Non-electrified ,"11,485","11,485","11,503","11,293","10,916","10,605","10,545","10,564","10,564","10,514","10,515","10,481"
All routes:,"16,652","16,652","16,670","16,493","16,116","15,810","15,795","15,814","15,814","15,753","15,777","15,742"
   Open for passenger traffic,"15,042","15,042","15,042","14,883","14,328","14,356","14,353","14,484","14,494","14,482","14,506","14,506"
   Open for freight traffic only,"1,610","1,610","1,610","1,610","1,788","1,454","1,442","1,330","1,320","1,271","1,271","1,236"
Passenger stations2,"2,508","2,508","2,508","2,507","2,508","2,510","2,520","2,516","2,516","2,516","2,532","2,535"
1. The length of route open for rail traffic is that managed by Network Rail (formerly Railtrack).,,,,,,,,,,,,
2. The number of stations shown are those on the national network.,,,,,,,,,,,,
3. Break in series due to change in methodology (see Notes and Definitions).,,,,,,,,,,,,
,,,,,,,,,,,,
Telephone: 020 7944 2419,,,,,,,,,,,,Source: Network Rail
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,,,,,Last updated: December 2012
,,,,,,,,,,,,Next updated: December 2013
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,


,,,,,,,,,,,,
,,,,,,,,,,,,
