Department for Transport statistics,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,
,,,,
Table RAI0210 (alternative number TSGB0607),,,,
Passengers in excess of capacity (PiXC)1 on a typical autumn weekday on,,,,
"London & South East train operators' services2,3: annual from 1990",,,,
Percentage of passengers in excess of capacity; 3-hour peaks; all London & South East operators,,,,
,,,Percentage,
 Year ,AM peak (07:00-09:59),PM peak (16:00-18:59),Both peaks,
1990,4.3%,2.2%,3.3%,
1991,3.8%,2.1%,3.0%,
1992,3.7%,1.5%,2.7%,
1993,3.3%,1.4%,2.5%,
1994,3.2%,1.0%,2.1%,
1995,3.0%,1.0%,2.1%,
1996,2.6%,1.2%,1.9%,
1997,3.9%,2.1%,3.1%
1998,3.7%,1.4%,2.7%
1999,3.8%,1.6%,2.8%
2000,5.1%,1.8%,3.6%
2001,5.0%,1.7%,3.6%
2002,3.7%,2.1%,2.9%
2003,3.8%,1.5%,2.7%
2004,4.1%,1.5%,2.9%
2005,4.0%,1.6%,2.9%
2006,4.7%,1.9%,3.4%
2007,4.2%,1.5%,3.0%
2008,4.0%,1.8%,3.0%
2009,2.9%,1.4%,2.2%
2010,4.0%,1.9%,3.0%
2011R,4.0%,2.2%,3.2%

R  2011 figures were revised in December 2012. Details of this revision can be found in the correction note,,,
    on the publication release page at the following link:,,,
https://www.gov.uk/government/publications/rail-passenger-numbers-and-crowding-on-weekdays-in-major-cities-in-england-and-wales-2011,,,
,,,

1  Percentage of standard class passengers in excess of the capacity on their train service. See Notes,,,
    and definitions for more information.,,,
2  Applies to autumn weekday commuter services on a typical weekday arriving in London during the,,,
"    AM peak, and those departing during the PM peak. The measure is derived from the number of",,,
"    passengers travelling in excess of capacity on all services, divided by the total number of people",,,
"    travelling, and expressed as a percentage.",,,
3  Several different methods have been used to calculate the standing allowances included in the,,,
"    capacities for different types of rolling stock over this period, so earlier figures may not be directly",,,
    comparable with more recent ones.,,,

Notes and definitions (https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/ 9078/rail-notes-definitions.pdf),,,
,,,
,,,
,,,Source: Passenger counts; Department for Transport and Transport for London

Telephone: 020 7944 2419,,,Last updated: 6 December 2012
Email: rail.stats@dft.gsi.gov.uk,,,Next updated: July 2013

The figures in this table are outside the scope of National Statistics,,,
