Department for Transport Statistics,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,
,,,,,,
Table RAI0302 (alternative number TSGB0625),,,,,,
Government support to the rail industry: annual from 1985/86,,,,,,
,,,,,,£ Million
Financial year,Central Government grants1,Passenger Transport Executive (PTE) grants,Direct rail support2,Other Government support3,Total government support,Freight grants
1985/86,849,78,0,61,988,7
1986/87,755,70,0,22,847,6
1987/88,796,68,0,-251,613,2
1988/89,551,70,0,-175,446,2
1989/90,479,84,0,232,795,1
1990/91,637,115,0,440,"1,192",4
1991/92,902,120,0,562,"1,584",1
1992/93,"1,194",107,0,870,"2,171",2
1993/94,926,166,0,535,"1,627",4
1994/95,"1,815",346,0,-464,"1,697",3
1995/964,"1,712",362,0,"-1,643",431,4
1996/974,"1,809",291,0,"-1,044","1,056",15
1997/98,"1,429",375,0,25,"1,829",29
1998/99,"1,196",337,0,53,"1,586",29
1999/00,"1,031",312,0,75,"1,418",23
2000/01,847,283,0,84,"1,214",36
2001/02,731,306,684,105,"1,826",57
2002/03,935,304,"1,166",183,"2,588",49
2003/04,"1,359",414,"1,670",179,"3,622",32
2004/05,878,389,"2,370",154,"3,791",26
2005/06,879,332,"3,366",24,"4,602",23
2006/07,"1,456",313,"4,463",76,"6,308",30
2007/08,"1,123",310,"3,673",187,"5,293",18
2008/09,273,317,"4,266",356,"5,213",21
2009/10,467,316,"3,798",38,"4,619",20
2010/11,-51,207,"3,680",125,"3,960",20
2011/12,-133,214,"3,744",76,"3,901",17
,,,,,,
1. Central Government grants involve payments to train operating companies and performance receipts received from,,,,,,
    train companies. Negative values reflect where the Government was in receipt of payments.,,,,,,
"2. Direct rail support comprises Network Grant payments to Network Rail, and includes payments to London and",,,,,,
    Continental Railways during the construction of the High Speed 1 route.,,,,,,
"3. Other Government support includes DfT support to the British Transport Police, Rail Pensions, Passenger Focus, the",,,,,,
    Rail Heritage Committee and a grant to British Rail to finance its residual activities.,,,,,,
"4. Following privatisation, the proceeds from the sales of rolling stock operating companies (ROSCOs) and British Rail",,,,,,
    non-passenger business in 1995-96 and 1996-97 are included in the Other Government support category.,,,,,,
,,,,,,
Telephone: 020 7944 2419,,,,,,"Source: Department for Transport, Transport Scotland and Welsh Assembly"
Email: rail.stats@dft.gsi.gov.uk,,,,,,Last updated: December 2012
,,,,,,Next updated: December 2013
The figures in this table are outside the scope of National Statistics,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
