Department for Transport Statistics,,,,,,,
Rail Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics),,,,,,,
,,,,,,,
Table RAI0303 (alternative number TSGB0626),,,,,,,
"Private investment in the rail industry 1,2: annual from 2006/07",,,,,,,
,,,,,,£ Million,
,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,
Track and Signalling,106,8,2,-4,0,1,
Rolling Stock,326,400,345,423,274,369,
Stations,155,78,28,12,28,33,
Other Investment,156,79,79,29,74,99,
Total Investment,743,566,455,460,377,503,
,,,,,,,
1. These figures exclude Network Rail investment.,,,,,,,
2. Negative numbers reflect the disposal of rail assets.,,,,,,,
,,,,,,,
,,,,,,Source: Office for National Statistics,
Telephone: 020 7944 2419,,,,,,Last updated: December 2012,
Email: rail.stats@dft.gsi.gov.uk,,,,,,Next updated: December 2013,
,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,
