Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic (http://www.dft.gov.uk/statistics/series/traffic/),,,,,,,,,,,,,,,,,,,,,,,,,
Table TRA0102a,,,,,,,,,,,,,,,,,,,,,,,,,
"Motor vehicle traffic (vehicle miles) by road class in Great Britain, from 1950 to 1993",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Billion vehicle miles,,,,,,,,,,,,,,,
,,Major roads,,,,,,,,,,,,,,,,,,,,,,,
,,,'A' roads,,,,Minor roads,,,,,,,,,,,,,,,,,,
Year,,Motorway 2,Non-built-up,Built-up,All 'A' roads,All major roads,Non-built-up,Built-up,All minor roads,All roads,,,,,,,,,,,,,,,
1950,,.,..  ,..  ,..  ,..  ,..  ,..  ,..  ,33.0,,,,,,,,,,,,,,,
1955,,.,..  ,..  ,..  ,..  ,..  ,..  ,..  ,47.8,,,,,,,,,,,,,,,
1960,,0.4,19.8,20.4,40.1,40.6,12.4,16.8,29.2,69.8,,,,,,,,,,,,,,,
1965,,2.4,27.1,29.6,56.7,59.1,..  ,..  ,42.0,101.1,,,,,,,,,,,,,,,
1970,,5.9,32.2,35.0,67.2,73.1,..  ,..  ,51.4,124.6,,,,,,,,,,,,,,,
1975,,13.6,37.3,36.8,74.1,87.7,23.5,32.8,56.3,144.0,,,,,,,,,,,,,,,
1980,,18.3,43.4,40.2,83.6,101.8,24.2,42.9,67.2,169.0,,,,,,,,,,,,,,,
1985,,23.6,53.9,41.3,95.2,118.8,27.0,46.7,73.6,192.4,,,,,,,,,,,,,,,
1990,,38.3,71.3,48.7,120.0,158.3,32.1,64.9,97.0,255.3,,,,,,,,,,,,,,,
1991,,37.9,72.7,49.3,122.1,159.9,31.5,64.2,95.8,255.8,,,,,,,,,,,,,,,
1992,,38.2,72.7,49.4,122.1,160.3,30.9,64.9,95.8,256.1,,,,,,,,,,,,,,,
1993,,39.7,73.4,48.5,121.9,161.6,28.3,66.3,94.6,256.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Prior to 1993, built-up roads are those with a speed limit of 40 mph or less (irrespective of whether there are buildings or not). ",,,,,,,,,,Source: DfT National Road Traffic Survey,,,,,,,,,,,,,,,
2 Includes trunk motorways and principal motorways,,,,,,,,,,Last updated: June 2011,,,,,,,,,,,,,,,
Telephone: 020 7944 3095,,,,,,,,,,,,,,,,,,,,,,,,,
Email: roadtraff.stats@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/traffic-estimates-2011/traffic-estimates-2011-notes.pdf),,,,,,,,,,,,,,,,,,,,,,,,,
The figures in this table are National Statistics.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
