Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic (http://www.dft.gov.uk/statistics/series/traffic),,,,,,,,,,,,,,,,,,,,,,,,,
Table TRA0202b,,,,,,,,,,,,,,,,,,,,,,,,,
"Motor vehicle traffic (vehicle kilometres) by road class in Great Britain, annual from 1993 to 2011",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Billion vehicle kilometres,,,,,,,,,,,,,,,
,,Major roads,,,,,,,,,,,,,,,,,,,,,,,
,,,A' roads,,,,Minor roads,,,,,,,,,,,,,,,,,,
Year,,Motorway 2,Rural,Urban,All 'A' roads,All major roads,Rural,Urban,All minor roads,All roads,,,,,,,,,,,,,,,
1993,,68.2,113.3,77.3,190.6,258.8,56.1,97.4,153.5,412.3,,,,,,,,,,,,,,,
1994,,70.7,116.5,78.5,195.1,265.8,57.6,98.1,155.7,421.5,,,,,,,,,,,,,,,
1995,,73.9,119.5,80.1,199.6,273.5,57.8,98.5,156.2,429.7,,,,,,,,,,,,,,,
1996,,78.3,123.5,80.9,204.4,282.7,58.9,99.6,158.5,441.1,,,,,,,,,,,,,,,
1997,,82.1,126.6,80.9,207.5,289.6,60.0,100.7,160.7,450.3,,,,,,,,,,,,,,,
1998,,85.7,128.7,81.3,210.0,295.7,60.4,102.4,162.8,458.5,,,,,,,,,,,,,,,
1999,,87.8,130.7,81.9,212.6,300.4,61.3,105.3,166.6,467.0,,,,,,,,,,,,,,,
2000,,88.3,130.0,81.7,211.7,300.0,61.3,104.8,166.1,466.2,,,,,,,,,,,,,,,
2001,,90.8,133.3,81.8,215.1,305.9,61.2,105.5,166.7,472.6,,,,,,,,,,,,,,,
2002,,92.6,136.4,82.2,218.6,311.2,63.9,108.6,172.5,483.7,,,,,,,,,,,,,,,
2003,,93.0,139.3,81.8,221.0,314.0,63.6,109.0,172.6,486.7,,,,,,,,,,,,,,,
2004,,96.6,141.3,82.8,224.1,320.7,64.9,108.3,173.3,493.9,,,,,,,,,,,,,,,
2005,,97.0,141.4,81.8,223.1,320.2,65.6,108.1,173.7,493.9,,,,,,,,,,,,,,,
2006,,99.5,143.6,82.5,226.1,325.5,67.9,107.6,175.5,501.1,,,,,,,,,,,,,,,
2007,,100.6,143.5,81.3,224.9,325.4,70.3,109.7,180.0,505.4,,,,,,,,,,,,,,,
2008,,100.1,142.8,80.1,222.8,323.0,70.3,107.3,177.6,500.6,,,,,,,,,,,,,,,
2009,,99.5,142.0,80.4,222.4,321.9,68.3,105.7,174.0,495.8,,,,,,,,,,,,,,,
2010,,98.2,139.8,79.7,219.5,317.7,68.1,102.1,170.2,487.9,,,,,,,,,,,,,,,
2011,,99.5,141.2,79.3,220.4,319.9,66.3,102.7,169.0,488.9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Urban roads: Major and minor roads within an urban area with a population of 10,000 or more. These are based on the 2001 urban settlements.  The definition for 'urban settlement' is in 'Urban and rural area definitions: a user guide which can be found on the CLG web site at: www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/urbanrural/",,,,,,,,,,,,,,,,,,,,,,,,,
2 Includes trunk motorways and principal motorways,,,,,,,,,,,,,,,,,,,,,,,,,
3.The 2011 estimates presented here were revised in August 2012 to correct for omitted data for a small number of sections of the major road network in Scotland. Further details are avaliable at  http://dft.gov.uk/statistics/series/traffic/ 2011 Road Traffic Estimates - Note of Revision Aug 2012.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3095,,,,,,,,,,,,,,,,,,,,,,,,,
Email: roadtraff.stats@dft.gsi.gov.uk,,,,,,,,,,Source: DfT National Road Traffic Survey,,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/traffic-estimates-2011/traffic-estimates-2011-notes.pdf),,,,,,,,,,Last updated: June 2012,,,,,,,,,
The figures in this table are National Statistics.,,,,,,,,,,Revised: August 2012,,,,,,,,,
,,,,,,,,,,Next update: June 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
